country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Australia	DOD East Asia and Pacific Region, Australia, Exchange Training,FY02	CMD & GEN STAFF OFF PREP		HQ 3 BDE LAVARACK BARRACKS	7/15/02	8/2/02	FT LEAVENWORTH KS 66027-1352	1	$0	21818
Australia	DOD East Asia and Pacific Region, Australia, Exchange Training,FY02	CMD & GEN STAFF OFF PREP		R1-3-A081 RUSSELL	7/15/02	8/2/02	FT LEAVENWORTH KS 66027-1352	1	$0	21818
Australia	DOD East Asia and Pacific Region, Australia, Exchange Training,FY02	INTERNATIONAL OFFICER PREP		R1-3-A081 RUSSELL	6/17/02	7/12/02	FT LEAVENWORTH KS 66027-1352	1	$0	21818
Australia	DOD East Asia and Pacific Region, Australia, Exchange Training,FY02	INTERNATIONAL OFFICER PREP		HQ 3 BDE LAVARACK BARRACKS	6/17/02	7/12/02	FT LEAVENWORTH KS 66027-1352	1	$0	21818
Australia	DOD East Asia and Pacific Region, Australia, Exchange Training,FY02	JCET	NSWU-1, 1/19 SFG, 1 SOS, SDVT-1	4th Royal Australian Regiment, Australian Special Air Services Regiment	8/10/02	8/31/02	Holsworthy, Jarvis Bay	50	$92,954	21818
Australia	DOD East Asia and Pacific Region, Australia, Exchange Training,FY02	U.S. ARMY SGT MAJOR PREP		SOLDIER CAREER AGENCY QUEENSCLIFF	7/22/02	8/9/02	FT BLISS TX 79918-8002	1	$0	21818
Australia	DOD East Asia and Pacific Region, Australia, Asia-Pacific Center,FY02	Executive Course 2002-1	U.S. military staff and faculty	Air Force; Austalian High Commission	1/21/02	4/11/02	Asia-Pacific Center for Security Studies	2	$2,338	21818
Brunei	DOD East Asia and Pacific Region, Brunei, Asia-Pacific Center,FY02	Executive Course 2002-1	U.S. military staff and faculty	Ministry of Foreign Affairs	1/21/02	4/11/02	Asia-Pacific Center for Security Studies	1	$1,169	21818
Brunei	DOD East Asia and Pacific Region, Brunei, Asia-Pacific Center,FY02	Executive Course 2002-2	U.S. military staff and faculty	Ministry of Defense	5/20/02	8/8/02	Asia-Pacific Center for Security Studies	1	$1,169	21818
Cambodia	DOD East Asia and Pacific Region, Cambodia, Africa Center for Strategic Studies (ACSS),FY02	Topical Seminar		Ministry of National Defense	5/19/02	5/25/02	Dakar, Senegal	1	$9,179	21818
China (Peoples Republic of)	DOD East Asia and Pacific Region, China (Peoples Republic of), Asia-Pacific Center,FY02	Executive Course 2002-1	U.S. military staff and faculty	Army; Ministry of Foreign Affairs	1/21/02	4/11/02	Asia-Pacific Center for Security Studies	4	$59,580	21818
Cook Islands	DOD East Asia and Pacific Region, Cook Islands, Asia-Pacific Center,FY02	Executive Course 2002-1	U.S. military staff and faculty	Police	1/21/02	4/11/02	Asia-Pacific Center for Security Studies	1	$14,438	21818
Cook Islands	DOD East Asia and Pacific Region, Cook Islands, Asia-Pacific Center,FY02	Executive Course 2002-2	U.S. military staff and faculty	Police	5/20/02	8/8/02	Asia-Pacific Center for Security Studies	1	$14,529	21818
Fiji	DOD East Asia and Pacific Region, Fiji, Asia-Pacific Center,FY02	Executive Course 2002-1	U.S. military staff and faculty	Army	1/21/02	4/11/02	Asia-Pacific Center for Security Studies	1	$14,074	21818
Fiji	DOD East Asia and Pacific Region, Fiji, Asia-Pacific Center,FY02	Executive Course 2002-2	U.S. military staff and faculty	Police; Army	5/20/02	8/8/02	Asia-Pacific Center for Security Studies	2	$27,663	21818
Indonesia	DOS East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET),FY02	MET CIV-MILITARY RELATIONS		DPR/COMMISSION I	8/26/02	8/30/02	Denpasar, Bali	21	$46,335	21818
Indonesia	DOS East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET),FY02	SR INTERNATIONAL DEF MGT		ID DOD RESEARCH AND DEVELOPMENT AGENCY	6/24/02	7/19/02	MONTEREY, CA 93943-5201	1	$9,968	21818
Indonesia	DOD East Asia and Pacific Region, Indonesia, Asia-Pacific Center,FY02	Executive Course 2002-1	U.S. military staff and faculty	Indonesian Institute of Sciences; Department of Defense; Police	1/21/02	4/11/02	Asia-Pacific Center for Security Studies	3	$41,883	21818
Indonesia	DOD East Asia and Pacific Region, Indonesia, Asia-Pacific Center,FY02	Executive Course 2002-2	U.S. military staff and faculty	Air Force; Navy; Army; Department of Foreign Affairs	5/20/02	8/8/02	Asia-Pacific Center for Security Studies	4	$56,627	21818
Japan	DOD East Asia and Pacific Region, Japan, Non-Security Assistance, Unified Command,FY02	JCET		Japanese Ground Self Defense Forces,1/1 SFG Eastern Army 1st Airborne Brigade	5/20/02	6/18/02	Camp Fuji, Camp Zama, Narashino Base	15	$23,300	21818
Japan	DOD East Asia and Pacific Region, Japan, Asia-Pacific Center,FY02	Executive Course 2002-1	U.S. military staff and faculty	Army	1/21/02	4/11/02	Asia-Pacific Center for Security Studies	1	$1,169	21818
Kiribati	DOD East Asia and Pacific Region, Kiribati, Asia-Pacific Center,FY02	Executive Course 2002-1	U.S. military staff and faculty	Police	1/21/02	4/11/02	Asia-Pacific Center for Security Studies	1	$16,311	21818
Kiribati	DOD East Asia and Pacific Region, Kiribati, Asia-Pacific Center,FY02	Executive Course 2002-2	U.S. military staff and faculty	Police	5/20/02	8/8/02	Asia-Pacific Center for Security Studies	1	$14,256	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Exchange Training,FY02	CMD & GEN STAFF OFF PREP		15TH DIVISION	7/15/02	8/2/02	FT LEAVENWORTH KS 66027-1352	1	$597	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Exchange Training,FY02	CMD & GEN STAFF OFF PREP		MND	7/15/02	8/2/02	FT LEAVENWORTH KS 66027-1352	1	$597	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Exchange Training,FY02	INTERNATIONAL OFFICER PREP		MND	6/17/02	7/12/02	FT LEAVENWORTH KS 66027-1352	1	$1,288	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Exchange Training,FY02	INTERNATIONAL OFFICER PREP		15TH DIVISION	6/17/02	7/12/02	FT LEAVENWORTH KS 66027-1352	1	$1,288	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Exchange Training,FY02	JCET	3/1 SFG, E/160 SOAR	5th Special Mission Group 22nd Battalion	10/15/01	11/17/01	Camp 6525, Boupyeong	24	$42,800	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Exchange Training,FY02	JCET	426 CA BN, 96 CA BN	1st SF BDE, 3rd SF BDE, 5th SMG, &th SF BDE, 9th SF BDE, 13 SF BDE, Special Warfare Training Group	7/7/02	7/31/02	Seoul	30	$33,731	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Exchange Training,FY02	JCET	353 SOG, 1 SOS, 17 SOS, 320 STS, E/160 SOAR, 6 SOS, 4 SOS	1st Special Forces Brigade	11/26/01	12/9/01	Osan AB, Sungnam, Seoul, Byupyong,	57 Buchon	$111,448	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Exchange Training,FY02	JCET	2/1 SFG, 353 SOG, E/160 SOAR	13th Special Forces Brigade	6/15/02	7/29/02	Seoul, Maesanri DZ, Pilsung Range,	26 Jeungpyong	$33,731	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Exchange Training,FY02	JCET	2/1 SFG, 353 SOG, E/160 SOAR	ROK 1st SF BDE	7/8/02	8/15/02	Incon	13	$100,385	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Exchange Training,FY02	JCET	1/1 SFG, 353 SOG, SF DET KOREA	707th Special Mission Battalion	12/1/01	12/20/01	Anderson	48	$421,400	21818
Korea - South (Republic of)	DOD East Asia and Pacific Region, Korea - South (Republic of), Asia-Pacific Center,FY02	Executive Course 2002-1	U.S. military staff and faculty	Air Force	1/21/02	4/11/02	Asia-Pacific Center for Security Studies	1	$1,169	21818
Korea - South (Republic of)	East Asia and Pacific Region, Korea - South (Republic of), Asia-Pacific Center, FY 02	Executive Course 2002-2	U.S. military staff and faculty	Ministry of Foreign Affairs and Trade; Army; Navy	5/20/02	8/8/02	Asia-Pacific Center for Security Studies	4	$4,676	21818
Laos	DOD East Asia and Pacific Region, Laos, Asia-Pacific Center,FY02	Executive Course 2002-2	U.S. military staff and faculty	Army; Ministry of Foreign Affairs	5/20/02	8/8/02	Asia-Pacific Center for Security Studies	2	$28,709	21818
Malaysia	DOD East Asia and Pacific Region, Malaysia, Non-Security Assistance, Unified Command,FY02	JCET	1/19 SFG, 353 SOG, 320 STS	4th Troop Yankee Squadron, 21st Commando Regiment, 21st Special Services Group	8/10/02	9/16/02	Camp Sungai Udang (Malaka) Subang	50 (RMAFB)	$99,216	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	ADV LANG PROFICIENCY SKILL		Education Officer, Workshop Training Center, Port Dickson	5/27/02	8/16/02	LACKLAND AFB, TX 78236	1	$6,831	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	AEROMEDICAL/ *		Medical Officer (Dr), RMAF Kuantan	4/24/02	5/7/02	RANDOLPH AFB, TX 78150-4302	1	$966	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	AEROSPACE MED PRI NON-DOD		Medical Officer (Dr), RMAF Kuantan	3/13/02	4/23/02	BROOKS AFB, TX 78235-5123	1	$3,115	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	AMPHIB PLAN SR OFF-INTL		Directing Staff, MAF Staff College	2/25/02	5/3/02	SAN DIEGO, CA 92155-5099	1	$5,954	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	AMPHIB PLAN SR OFF-INTL		Executive Officer, PASKAL, RMN Lumut	2/25/02	5/3/02	SAN DIEGO, CA 92155-5099	1	$5,914	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	AMPHIB PLAN SR OFF-INTL		Staff Officer Grade 2 Maritime, Joint Warfare Center	2/25/02	5/3/02	SAN DIEGO, CA 92155-5099	1	$5,954	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	ARMOR CAPTAINS CAREER		Staff Officer - 3, Armor Directorate	5/7/02	9/13/02	FT KNOX KY 40121-5234	1	$12,473	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	ARMOR CPT CAREER CRS PREP		Staff Officer - 3, Armor Directorate	4/9/02	4/26/02	FT KNOX KY 40121-5234	1	$3,367	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	CMD & GEN STAFF OFF PREP		Project Officer for Malaysian Army Intelligence Battalion	7/15/02	8/2/02	FT LEAVENWORTH KS 66027-1352	1	$1,766	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	DEF RES MGT CRS		Directing Staff - MAF Defence College	4/22/02	5/16/02	MONTEREY, CA 93943-5201	1	$5,800	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	DEF RES MGT CRS		Commanding Officer, Maritime Tactical Centre	4/22/02	5/16/02	MONTEREY, CA 93943-5201	1	$5,800	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	DEF RES MGT CRS		Principal Assistant Director, Veteran Affairs Dept.	5/20/02	6/14/02	MONTEREY, CA 93943-5201	1	$5,800	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	DEF RES MGT CRS		Staff Officer Grade 2, Defence Logistic Division (MAF HQ)	7/22/02	8/15/02	MONTEREY, CA 93943-5201	1	$5,720	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	DEF RES MGT CRS		Staff Officer-2, (Training), MAF HQ	8/19/02	9/13/02	MONTEREY, CA 93943-5201	1	$5,760	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	DEF RES MGT CRS		Standard Officer, No 17 Squadron	1/7/02	2/1/02	MONTEREY, CA 93943-5201	1	$5,800	21818
Malaysia	DOS East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET),FY02	FA OFF ADV PREP-ALLIED OFF		Battery Commander, 51 Royal Artillery Regiment	8/28/02	9/20/02	FT SILL OK 73503	1	$3,451	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	HIV/AIDS PLANNING/POLICY		Medical Officer (Dr), Health Services Div., MINDEF	12/10/01	12/14/01	MONTEREY, CA 93943-5301	1	$175	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	HIV/AIDS PLANNING/POLICY		Medical Officer (Dr), Health Services Div., MINDEF	12/10/01	12/15/01	MONTEREY, CA 93943-5301	1	$175	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	HIV/AIDS PLANNING/POLICY		Medical Officer (Dr), Health Services Div., MINDEF	12/10/01	12/14/01	MONTEREY, CA 93943-5301	1	$175	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	HIV/AIDS PLANNING/POLICY		Medical Officer (Dr), Health Services Div., MINDEF	12/10/01	12/14/01	MONTEREY, CA 93943-5301	1	$175	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	HIV/AIDS PLANNING/POLICY		Medical Officer (Dr), Health Services Div., MINDEF	12/10/01	12/14/01	MONTEREY, CA 93943-5301	1	$175	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	HOSTAGE NEGOTIATIONS		Staff Officer Gred 2 (Security), Department of Intelligence	6/3/02	6/14/02	FT LEONARD WOOD MO 65473-5000	1	$3,365	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	INT'L OFF PREP-INF CCC		Company Commander, 1st BN Royal Malay Regiment	9/16/02	9/20/02	FT BENNING GA 31905-5468	1	$1,133	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	INTERNATIONAL OFFICER PREP		Project Officer for Malaysian Army Intelligence Battalion	6/17/02	7/12/02	FT LEAVENWORTH KS 66027-1352	1	$2,625	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	INTL DEFENSE MGT CRS		Secretariat Director, Malaysian Armed Froces HQ	2/4/02	4/17/02	MONTEREY, CA 93943-5201	1	$15,429	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	INTL OFF SCH (FOR AC&SC)		SQN Pilot, No. 2 Squadron	6/17/02	7/26/02	MAXWELL AFB, AL 36112-6323	1	$6,625	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	INTL OFF SCH (FOR AWC)		Commanding Officer, No.19 Squadron	6/10/02	7/19/02	MAXWELL AFB, AL 36112-6323	1	$6,625	21818
Malaysia	East Asia and Pacific Region, Malaysia, International Military Education and Training (IMET), FY 02	LOG MGT DEV		Staff Officer Grade 2 (Systems Analyst), Defense Logistics Division	4/29/02	5/24/02	FT LEE VA 23801-1705	1	$2,881	21818
