country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Armenia	DOD NIS Region, Armenia, DoD Regional Centers for Strategic Studies,FY03	Conferences	N/A	Multi Service	12/2/2002	9/19/2003	Various	23	$39,687	34336
Armenia	DOD NIS Region, Armenia, DoD Regional Centers for Strategic Studies,FY03	Resident Course Training	N/A	Multi Service	10/1/2002	9/30/2003	Marshall Center, Garmisch, Germany	30	$220,998	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	ENGLISH LANGUAGE CRSE		Army	10/28/2002	6/13/2003	SAN ANTONIO TX 78236-5259	1	$20,308	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	ENGLISH LANGUAGE CRSE		Army	10/28/2002	1/10/2003	SAN ANTONIO TX 78236-5259	1	$8,712	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	ENGLISH LANGUAGE CRSE		Army	10/28/2002	1/10/2003	SAN ANTONIO TX 78236-5259	1	$8,712	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	ENGLISH LANGUAGE CRSE		Army	12/9/2002	9/12/2003	SAN ANTONIO TX 78236-5259	1	$23,299	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	ENGLISH LANGUAGE CRSE		Army	2/10/2003	7/11/2003	SAN ANTONIO TX 78236-5259	1	$14,245	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	ENGLISH LANGUAGE CRSE		Army	12/2/2002	9/5/2003	SAN ANTONIO TX 78236-5259	1	$23,299	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	INT'L INTEL OFF BASIC		Army	6/24/2003	9/10/2003	FT HUACHUCA AZ 85613-7000	1	$12,181	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	INT'L INTEL OFF BASIC		Army	1/23/2003	4/10/2003	FT HUACHUCA AZ 85613-7000	1	$12,247	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	INT'L INTEL OFF BASIC		Army	1/23/2003	4/10/2003	FT HUACHUCA AZ 85613-7000	1	$12,247	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	NATO STAFF OFF ORIEN CRS-C		Army	7/21/2003	8/1/2003	FT MCNAIR WASH DC 20319-5960	1	$6,371	34336
Armenia	DOS NIS Region, Armenia, IMET Multi-year,FY03	OJT OPERATIONS TNG-CONUS		Army	8/4/2003	8/29/2003	FT MCNAIR WASH DC 20319-5960	1	$7,424	34336
