country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Angola	DOD Africa Region, Angola, DoD Regional Centers for Strategic Studies, FY05	Energy and Security	10 USG representatives	Ministry of DefenseMinistry of Foreign AffairsMinistry of EnergyNational Police	3/6/2005	3/11/2005	Abuja, Nigeria	2	$56,798	75058
Angola	DOD Africa Region, Angola, DoD Regional Centers for Strategic Studies, FY05	Senior Leader Seminar	4 USG representatives	Ministry of DefenseMinistry of Foreign Affairs	6/19/2005	7/1/2005	Gaborone, Botswana	1	$19,228	75058
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET), FY05	GENERAL ENGLISH LANG TNG		Civilian, Ministry of Defense	4/26/2004	12/24/2004	LACKLAND AFB, TX 78236	1	$27,064	75058
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET), FY05	GENERAL ENGLISH LANG TNG		Civilian, Ministry of Defense	8/30/2004	10/8/2004	LACKLAND AFB, TX 78236	1	$17,015	75058
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET), FY05	GENERAL ENGLISH LANG TNG		Air Force	4/25/2005	7/22/2005	LACKLAND AFB, TX 78236	1	$14,634	75058
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET), FY05	GENERAL ENGLISH LANG TNG		Air Force	4/25/2005	7/22/2005	LACKLAND AFB, TX 78236	1	$14,634	75058
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET), FY05	INTL INTELL FELLOWS PGM		Air Force	6/17/2005	7/1/2005	WASHINGTON DC 20340	1	$9,974	75058
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET), FY05	INTL OFF SCH (FOR AC&SC)		Air Force	6/13/2005	7/22/2005	MAXWELL AFB, AL 36112	1	$7,162	75058
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET), FY05	LANGUAGE		Civilian, Ministry of Defense	10/11/2004	4/15/2005	LACKLAND AFB, TX 78236	1	$16,470	75058
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET), FY05	LANGUAGE		Civilian, Ministry of Defense	5/31/2004	12/3/2004	LACKLAND AFB, TX 78236	1	$15,560	75058
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET), FY05	LANGUAGE		Army, Ministry of Defense	5/31/2004	12/3/2004	LACKLAND AFB, TX 78236	1	$15,560	75058
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET), FY05	SPECIALIZED ENG LANG TNG		Air Force	4/4/2005	6/3/2005	LACKLAND AFB, TX 78236	1	$13,214	75058
Benin	DOD Africa Region, Benin, DoD Regional Centers for Strategic Studies, FY05	African DATT course	Africa Center for Strategic Studies	Ministry of Defense	11/15/2004	11/19/2004	Washington, D.C	1	$101	75058
Benin	DOD Africa Region, Benin, DoD Regional Centers for Strategic Studies, FY05	Next Generation Africa Mil	Africa Center for Strategic Studies	Ministry of Defense	4/25/2005	5/20/2005	Washington, D.C	1	$18,868	75058
Benin	DOD Africa Region, Benin, DoD Regional Centers for Strategic Studies, FY05	SALW Topical Seminar	9 USG representatives	Ministry of DefenseMinistry of Foreign AffairsNational Police	10/3/2004	10/8/2004	Kampala, Uganda	2	$31,494	75058
Benin	DOD Africa Region, Benin, DoD Regional Centers for Strategic Studies, FY05	Senior Leader Seminar	4 USG representatives	Ministry of DefenseMinistry of Foreign Affairs	6/19/2005	7/1/2005	Gaborone, Botswana	2	$38,456	75058
Benin	DOD Africa Region, Benin, Service Academies, FY05	Military Academy	USMA	Benin Army	7/1/2004	6/30/2005	West Point	1	$64,575	75058
