country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	cost	source
Angola 	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	National Assembly Deputy and President of the 2d Commission on Defense, Security, and Internal Order	6/11/2006	6/23/2006	BDF	1	4285	92084.htm
Angola 	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	Legal Advisor to the 2d Commission of the National Assembly	6/11/2006	6/23/2006	BDF	1	4285	92084.htm
Angola 	IMET - FY 2006 DoS Training	AIR COMD & STAFF COLLEGE	-	Air Force, Helicopter Regiment	8/3/2005	6/5/2006	MAXWELL AFB, AL	1	26568	92084.htm
Angola 	IMET - FY 2006 DoS Training	AMERICAN LANGUAGE COURSE	-	Air Force, Helicopter Regiment	3/6/2006	6/9/2006	LACKLAND AFB, TX	1	26657	92084.htm
Angola 	IMET - FY 2006 DoS Training	AMERICAN LANGUAGE CRS (ALC)	-	Navy, Maritime Zone 2, Luanda Naval Station	8/29/2005	12/29/2005	LACKLAND AFB, TX	1	21705	92084.htm
Angola 	IMET - FY 2006 DoS Training	AMERICAN LANGUAGE CRS (ALC)	-	Navy, Maritime Zone 2, Luanda Naval Station	5/15/2006	6/13/2006	LACKLAND AFB, TX	1	682	92084.htm
Angola 	IMET - FY 2006 DoS Training	GENERAL ENGLISH LANG TNG	-	Air Force, Helicopter Regiment	4/25/2005	12/30/2005	LACKLAND AFB, TX	1	28846	92084.htm
Angola 	IMET - FY 2006 DoS Training	GENERAL ENGLISH LANG TNG	-	Air Force, Helicopter Regiment	4/25/2005	10/7/2005	LACKLAND AFB, TX	1	21368	92084.htm
Angola 	IMET - FY 2006 DoS Training	INTL CRISIS CMD/CTRL	-	Navy, Maritime Zone 2, Luanda Naval Station	1/9/2006	1/20/2006	YORKTOWN, VA	1	3606	92084.htm
Angola 	IMET - FY 2006 DoS Training	INTL LEAD & MGT G-P-OLAM	-	Navy, Maritime Zone 2, Luanda Naval Station	1/23/2006	1/27/2006	YORKTOWN, VA	1	1343	92084.htm
Angola 	IMET - FY 2006 DoS Training	INTL MARITIME OFF	-	Navy, Maritime Zone 2, Luanda Naval Station	1/30/2006	4/7/2006	YORKTOWN, VA	1	13518	92084.htm
Angola 	IMET - FY 2006 DoS Training	INTL OFF SCH (FOR AC&SC)	-	Air Force, Helicopter Regiment	6/19/2006	7/28/2006	MAXWELL AFB, AL	1	6943	92084.htm
Angola 	IMET - FY 2006 DoS Training	LANGUAGE INSTRUCTOR/BASIC	-	Air Force, Helicopter Regiment	7/25/2005	1/27/2006	LACKLAND AFB, TX	2	33800	92084.htm
Angola 	IMET - FY 2006 DoS Training	LANGUAGE INSTRUCTOR/BASIC	-	Air Force, Helicopter Regiment	10/10/2005	4/14/2006	LACKLAND AFB, TX	1	16770	92084.htm
