country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	cost	source
Albania 	CTFP - FY 2006 DoD Training	CIV-MIL RESP TO TERRORISM	-	J-2 Directorate, MOD, Tirana	4/17/2006	4/28/2006	MONTEREY, CA	1	11628	92086.htm
Albania 	CTFP - FY 2006 DoD Training	CNTRTERRORISM FELLOWS PRGM	-	J-2, MOD	10/1/2005	4/21/2006	FORT MCNAIR, WASH DC	1	45224	92086.htm
Albania 	CTFP - FY 2006 DoD Training	CNTRTERRORISM FELLOWS PRGM	-	Integration Directorate, MOD, Tirana	10/1/2005	12/16/2005	FORT MCNAIR, WASH DC	1	16784	92086.htm
Albania 	CTFP - FY 2006 DoD Training	CNTRTERRORISM FELLOWS PRGM	-	Helicopter Regiment, Farka, Air Force	12/5/2005	8/18/2006	FORT MCNAIR, WASH DC	1	57492	92086.htm
Albania 	CTFP - FY 2006 DoD Training	MET CT-RESP TO TERRORISM	-	Shkodra; 5 miliatary officers, 15 police and 50 civilian observers. Korca; 4 military, 14 police and 150 civilian observers. Elbasan;5 military officers, 14 police and 98 observers	7/17/2006	7/25/2006	ALBANIA	57	53443	92086.htm
Albania 	CTFP - FY 2006 DoD Training	MTT CT - LEGAL ASPECTS	-	10 State Intel, 1 MOD, 11 Ministry of Finance, 8 State Police, 4 custom, 9 general prosecutors office, 4 high inspector of property office	9/25/2006	9/29/2006	ALBANIA	47	41370	92086.htm
Albania 	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	Integration Directorate, MOD, Tirana	8/28/2006	9/8/2006	BDH	1	2700	92086.htm
Albania 	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	Prime Minister's Office, Tirana	8/28/2006	9/8/2006	BDH	1	2700	92086.htm
Albania 	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	State Intel Service, Tirana	9/13/2006	9/16/2006	BDH	1	1876	92086.htm
Albania 	FMF - FY 2006 DoS Training	DLI ENGLISH LANGUAGE TECH	-	Training and Doctrine Command,	9/14/2005	12/19/2005	VARIOUS	24	80857	92086.htm
Albania 	FMF - FY 2006 DoS Training	GENERAL ENGLISH LANG TNG	-	Rapid Reaction Brigade, Zall Herr, Tirana	8/15/2005	10/7/2005	LACKLAND AFB, TX	1	10925	92086.htm
Albania 	FMF - FY 2006 DoS Training	LANGUAGE INSTRUCTOR/ADV	-	Civilian Protection Base, TIRANA	8/15/2005	12/2/2005	LACKLAND AFB, TX	1	17330	92086.htm
Albania 	FMF - FY 2006 DoS Training	LANGUAGE INSTRUCTOR/ADV	-	Rapid Reaction Brigade, Zall Herr, Tirana	10/10/2005	1/27/2006	LACKLAND AFB, TX	1	2450	92086.htm
Albania 	FMF - FY 2006 DoS Training	LANGUAGE INSTRUCTOR/BASIC	-	LOGISTIC COMMAND, Tirana	7/25/2005	1/27/2006	LACKLAND AFB, TX	1	20610	92086.htm
Albania 	FMF - FY 2006 DoS Training	LANGUAGE INSTRUCTOR/BASIC	-	SIGINT Center, SAUK, Tirana	7/25/2005	1/27/2006	LACKLAND AFB, TX	1	16660	92086.htm
Albania 	FMF - FY 2006 DoS Training	LANGUAGE INSTRUCTOR/BASIC	-	Infantry Brigade, Kukes	8/22/2005	2/24/2006	LACKLAND AFB, TX	1	20610	92086.htm
Albania 	FMF - FY 2006 DoS Training	MTT PORT SECURITY, VUL ASM	-	10 from 1-st Naval District Durres; 5 from Custom in Durres; 5 from Port Security Durres; 4 Border Police in Durres	11/14/2005	11/18/2005	YORKTOWN, VA	24	0	92086.htm
Albania 	IMET - FY 2006 DoS Training	AIR COMD & STAFF COLLEGE	-	J-7, Staff Officer, Ministry of Defense, Tirana	8/3/2005	6/5/2006	MAXWELL AFB, AL	1	44404	92086.htm
Albania 	IMET - FY 2006 DoS Training	AMERICAN LANGUAGE CRS (ALC)	-	J-7 Directorate, MOD, Tirana	10/31/2005	2/3/2006	LACKLAND AFB, TX	1	12378	92086.htm
Albania 	IMET - FY 2006 DoS Training	AMERICAN LANGUAGE CRS (ALC)	-	J-6, MOD, Tirana	6/19/2006	9/22/2006	LACKLAND AFB, TX	1	12042	92086.htm
Albania 	IMET - FY 2006 DoS Training	AMERICAN LANGUAGE CRS (ALC)	-	J-7, MOD, Tirana	6/19/2006	9/22/2006	LACKLAND AFB, TX	1	2098	92086.htm
Albania 	IMET - FY 2006 DoS Training	ARMY WAR COLLEGE (RES CRS)	-	Miltary University, Tirana, Albania	8/12/2005	6/10/2006	CARLISE BARRACKS, PA	1	52812	92086.htm
Albania 	IMET - FY 2006 DoS Training	ARNG PRE-RANGER	-	Commando Regiment, Zall Herr, Tirana	8/12/2006	8/27/2006	FORT BENNING, GA	1	6970	92086.htm
Albania 	IMET - FY 2006 DoS Training	CMD & GEN STAFF OFF PREP	-	Training Center, Bonavia, Vlore	7/25/2006	8/11/2006	FORT LEVENWORTH, KS	1	4622	92086.htm
Albania 	IMET - FY 2006 DoS Training	COMB STRAT INTEL TNG PRGM	-	Troops School, Tirana	1/9/2006	2/24/2006	WASHINGTON, DC	1	11222	92086.htm
Albania 	IMET - FY 2006 DoS Training	COMBINED LOG CCC - QM	-	1-st Naval District, Durres	9/19/2005	10/21/2005	US ARMY QM CNT & SCHOOL (VA)	1	4160	92086.htm
Albania 	IMET - FY 2006 DoS Training	COMBINED LOG CCC - QM	-	Commando Rogiment, Zall Herr, Tirana	7/31/2006	9/8/2006	US ARMY QM CNT & SCHOOL (VA)	1	5166	92086.htm
Albania 	IMET - FY 2006 DoS Training	COMBINED LOG CPT CAREER	-	1-st Naval District, Durres	10/24/2005	12/9/2005	FORT LEE, VA	1	6080	92086.htm
Albania 	IMET - FY 2006 DoS Training	COMBINED LOG CPT CAREER	-	Commando Rogiment, Zall Herr, Tirana	6/19/2006	7/28/2006	FORT LEE, VA	1	5932	92086.htm
Albania 	IMET - FY 2006 DoS Training	DEF ACQUISITION MGMT	-	Ministry of Defense, Tirana	10/24/2005	11/4/2005	SHAWNEE, KS	1	9586	92086.htm
Albania 	IMET - FY 2006 DoS Training	DRILL SERGEANT	-	Commando Regiment, Zall Herr, Tirana	6/28/2006	8/29/2006	FORT LEONARD WOOD, MO	1	4820	92086.htm
Albania 	IMET - FY 2006 DoS Training	ENGLISH LANGUAGE CRSE	-	Rapid Reaction Brigade, Tirana	1/23/2006	3/17/2006	LACKLAND AFB, TX	1	8283	92086.htm
Albania 	IMET - FY 2006 DoS Training	ENGLISH LANGUAGE CRSE	-	Logistic Command, Tirana	2/20/2006	5/12/2006	LACKLAND AFB, TX	1	10651	92086.htm
Albania 	IMET - FY 2006 DoS Training	ENGLISH LANGUAGE CRSE	-	Commando Regiment, Zall Herr, Tirana	4/10/2006	6/16/2006	LACKLAND AFB, TX	1	9293	92086.htm
Albania 	IMET - FY 2006 DoS Training	GENERAL ENGLISH LANGUAGE	-	Civilian Protection Base, Tirana	12/26/2005	4/7/2006	LACKLAND AFB, TX	1	13002	92086.htm
Albania 	IMET - FY 2006 DoS Training	GENERAL ENGLISH LANGUAGE	-	Ministry of Defense, Tirana	12/26/2005	4/7/2006	LACKLAND AFB, TX	1	13002	92086.htm
Albania 	IMET - FY 2006 DoS Training	INFANTRY CAPTS CAREER CRS	-	Commando Regiment, Zall Herr Tirana	9/15/2005	2/24/2006	FORT BENNING, GA	1	16311	92086.htm
Albania 	IMET - FY 2006 DoS Training	INFANTRY OFFICER BASIC	-	Platoon Commander at the Log Support Command, Tirana	6/13/2005	10/4/2005	FORT BENNING, GA	1	12531	92086.htm
Albania 	IMET - FY 2006 DoS Training	INFANTRYMAN BNCOC	-	Rapid Reaction Brigade, Tirana	3/27/2006	5/18/2006	FORT BENNING, GA	1	3784	92086.htm
Albania 	IMET - FY 2006 DoS Training	INT OFR TACT INTEL - EUCOM	-	Rapid Reaction Brigade, Zall Herr, Tirana	7/17/2006	8/28/2006	FORT HUACHUCA, AZ	1	12246	92086.htm
Albania 	IMET - FY 2006 DoS Training	INT OFR TACT INTEL - EUCOM	-	SIGINIT Center, Sauk Tirana	7/17/2006	8/28/2006	FORT HUACHUCA, AZ	1	12246	92086.htm
Albania 	IMET - FY 2006 DoS Training	INT OFR TACT INTEL - EUCOM	-	Rapid Reaction Brigade, Zall Herr, Tirana	7/17/2006	8/28/2006	FORT HUACHUCA, AZ	1	12246	92086.htm
Albania 	IMET - FY 2006 DoS Training	INT OFR TACT INTEL - EUCOM	-	Commando Regiment, Zall Herr, Tirana	7/17/2006	8/28/2006	FORT HUACHUCA, AZ	1	12246	92086.htm
Albania 	IMET - FY 2006 DoS Training	INT OFR TACT INTEL - EUCOM	-	SIGINIT Center, Sauk, Tirana	7/17/2006	8/28/2006	FORT HUACHUCA, AZ	1	12246	92086.htm
Albania 	IMET - FY 2006 DoS Training	INT OFR TACT INTEL - EUCOM	-	Rapid Reaction Brigade, Zall Herr, Tirana	7/17/2006	8/28/2006	FORT HUACHUCA, AZ	1	12246	92086.htm
Albania 	IMET - FY 2006 DoS Training	INT OFR TACT INTEL - EUCOM	-	SIGINIT Center, Sauk Tirana	7/17/2006	8/28/2006	FORT HUACHUCA, AZ	1	12246	92086.htm
Albania 	IMET - FY 2006 DoS Training	INT OFR TACT INTEL - EUCOM	-	J-2, MOD, Tirana	7/17/2006	8/28/2006	FORT HUACHUCA, AZ	1	12246	92086.htm
Albania 	IMET - FY 2006 DoS Training	INTERMEDIATE LEVEL EDUC	-	Specialist at the Defense Policy and Integration Directorate, MOD	8/15/2005	6/16/2006	FORT LEVENWORTH, KS	1	40689	92086.htm
Albania 	IMET - FY 2006 DoS Training	INTL DEFENSE MGT CRS	-	Human Resources Management Directorate, MOD, Tirana	9/26/2005	12/9/2005	MONTEREY, CA	1	22446	92086.htm
Albania 	IMET - FY 2006 DoS Training	INTL DEFENSE MGT CRS	-	J-4 Director, MOD, Tirana	9/26/2005	12/9/2005	MONTEREY, CA	1	22446	92086.htm
Albania 	IMET - FY 2006 DoS Training	INTL DEFENSE MGT CRS	-	J-7 Directorate, MOD, Tirana	2/6/2006	4/19/2006	MONTEREY, CA	1	21388	92086.htm
Albania 	IMET - FY 2006 DoS Training	INT'L INTEL OFF BASIC	-	Commando Regiment, Zall Herr, Tirana	8/2/2005	10/26/2005	FORT HUACHUCA, AZ	1	14360	92086.htm
Albania 	IMET - FY 2006 DoS Training	INTL MARITIME OFF	-	1-st Naval District, Durres, Durres	10/3/2005	12/9/2005	YORKTOWN, VA	1	16794	92086.htm
Albania 	IMET - FY 2006 DoS Training	INTL MARITIME OFF	-	1-st Naval District, Durres	6/12/2006	8/18/2006	YORKTOWN, VA	1	16774	92086.htm
Albania 	IMET - FY 2006 DoS Training	INTL MARITIME OFF	-	1-st Naval District, Durres	6/12/2006	8/18/2006	YORKTOWN, VA	1	16774	92086.htm
Albania 	IMET - FY 2006 DoS Training	INTL MIL LAW DEV PRG-ILOMO	-	Civilian Protection Base, Tirana	4/10/2006	6/30/2006	NEWPORT, RI	1	23136	92086.htm
Albania 	IMET - FY 2006 DoS Training	INTL MIL LAW DEV PRG-ILOMO	-	Ministry of Defense, Tirana	4/10/2006	6/30/2006	NEWPORT, RI	1	23135	92086.htm
Albania 	IMET - FY 2006 DoS Training	INTL MIL STUD PREP CRS	-	Training Center, Bonavia, Vlore	7/11/2006	7/24/2006	FORT LEVENWORTH, KS	1	8249	92086.htm
Albania 	IMET - FY 2006 DoS Training	INT'L OFF LOG PREP - CLC3	-	Commando Rogiment, Zall Herr, Tirana	6/5/2006	6/16/2006	FORT LEE, VA	1	7253	92086.htm
