country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	cost	source
Algeria	CTFP - FY 2006 DoD Training	699 SPECIAL OPERATIONS - MS	-	41st Special Forces Company, 4th Military Region, Biskra	7/5/2006	9/30/2006	MONTEREY, CA	1	30697	92087.htm
Algeria	CTFP - FY 2006 DoD Training	ARMY WAR COLLEGE - CT ONLY	-	1st Military Region HQ, Algerian Army	10/1/2005	6/10/2006	CARLISE BARRACKS, PA	1	11974	92087.htm
Algeria	CTFP - FY 2006 DoD Training	CNTRTERRORISM FELLOWS PRGM	-	Naval Troop Division, Algerian Navy HQ, Algiers	8/7/2006	9/30/2006	FORT MCNAIR, WASH DC	1	17639	92087.htm
Algeria	CTFP - FY 2006 DoD Training	CNTRTERRORISM FELLOWS PRGM	-	5th Para Commando Regiment, 5th Military Region, Setif	8/7/2006	9/30/2006	FORT MCNAIR, WASH DC	1	17639	92087.htm
Algeria	CTFP - FY 2006 DoD Training	NWC INT'L FELLOWS -CT ONLY	-	Algerian Army HQ, Algiers	10/1/2005	6/7/2006	FORT MCNAIR, WASH DC	1	20723	92087.htm
Algeria	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	Ministry of Foreign Affairs	6/11/2006	6/23/2006	BDF	1	4285	92087.htm
Algeria	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	Defense Attache, Algerian Embassy, Washington D.C.	6/11/2006	6/23/2006	BDF	1	4285	92087.htm
Algeria	CTFP - FY 2006 DoD Training	SPEC ENG TRNG (SET)	-	41st Special Forces Company, 4th Military Region, Biskra	4/17/2006	6/16/2006	LACKLAND AFB, TX	1	9372	92087.htm
Algeria	CTFP - FY 2006 DoD Training	SPECIALIZED ENG LANG TNG	-	Naval Troop Division, Algerian Navy HQ, Algiers	6/5/2006	8/4/2006	LACKLAND AFB, TX	1	2790	92087.htm
Algeria	IMET - FY 2006 DoS Training	ADVANCED ENGLISH LANG. PGM	-	Research and Development Center, HQ Air Defense	2/6/2006	5/26/2006	LACKLAND AFB, TX	1	10211	92087.htm
Algeria	IMET - FY 2006 DoS Training	ADVANCED ENGLISH LANG. PGM	-	322nd Squadron, Blida Air Base, 1st Military Region	2/6/2006	5/26/2006	LACKLAND AFB, TX	1	10211	92087.htm
Algeria	IMET - FY 2006 DoS Training	AIR COMD & STAFF COLLEGE	-	Unk Squadron, Mecheria Air Base, 3d Military Region	8/3/2005	6/5/2006	MAXWELL AFB, AL	1	44404	92087.htm
Algeria	IMET - FY 2006 DoS Training	AIR WAR COLLEGE	-	193d Squadron, Ouargla Air Base, 4th Military Region	7/26/2005	5/30/2006	MAXWELL AFB, AL	1	50620	92087.htm
Algeria	IMET - FY 2006 DoS Training	AMERICAN LANGUAGE CRS (ALC)	-	5th Maritime Battalion, Central Maritime Zone, 1st Military Region	11/14/2005	2/10/2006	LACKLAND AFB, TX	1	11772	92087.htm
Algeria	IMET - FY 2006 DoS Training	AMERICAN LANGUAGE CRS (ALC)	-	Patrol Boat 356, Coast Guard Territorial Group, Annaba	5/1/2006	7/21/2006	LACKLAND AFB, TX	1	11224	92087.htm
Algeria	IMET - FY 2006 DoS Training	BASIC OFFICER CRS USMC	-	2nd Marine Battalion, Central Maritime Zone, 1st Military Region	11/28/2005	6/8/2006	QUANTICO, VA	1	17368	92087.htm
Algeria	IMET - FY 2006 DoS Training	CMD & GEN STAFF OFF PREP	-	5th Armored Regiment, 12th Mechanized Infantry Division, 1st Military Region	1/30/2006	2/8/2006	FORT LEVENWORTH, KS	1	3968	92087.htm
Algeria	IMET - FY 2006 DoS Training	CMD & GEN STAFF OFF PREP	-	HQ 3rd Military Region	7/25/2006	8/11/2006	FORT LEVENWORTH, KS	1	4622	92087.htm
Algeria	IMET - FY 2006 DoS Training	COMMAND & STAFF COLL USMC	-	Mers El Kebir Naval Base, Western Maritime Zone, 2nd Military Region	7/18/2005	6/7/2006	QUANTICO, VA	1	66284	92087.htm
Algeria	IMET - FY 2006 DoS Training	ENGLISH LANGUAGE CRSE	-	5th Armored Regiment, 12th Mechanized Infantry Division, 1st Military Region	10/3/2005	12/30/2005	LACKLAND AFB, TX	1	10834	92087.htm
Algeria	IMET - FY 2006 DoS Training	ENGLISH LANGUAGE CRSE	-	12th Para Commando Regiment	4/3/2006	5/12/2006	LACKLAND AFB, TX	1	6821	92087.htm
Algeria	IMET - FY 2006 DoS Training	ENGLISH LANGUAGE CRSE	-	Air Defense Division, 2nd Military Region	5/1/2006	6/9/2006	LACKLAND AFB, TX	1	6753	92087.htm
Algeria	IMET - FY 2006 DoS Training	ENGLISH LANGUAGE CRSE	-	HQ 3rd Military Region	5/8/2006	6/16/2006	LACKLAND AFB, TX	1	6753	92087.htm
Algeria	IMET - FY 2006 DoS Training	ENGLISH LANGUAGE CRSE	-	Signal Management Corps, SOB, 3d Military Region, Bacher	8/14/2006	9/22/2006	LACKLAND AFB, TX	1	6753	92087.htm
Algeria	IMET - FY 2006 DoS Training	GENERAL ENGLISH LANG TNG	-	Research and Development Center, HQ Air Defense	11/21/2005	2/3/2006	LACKLAND AFB, TX	1	9827	92087.htm
Algeria	IMET - FY 2006 DoS Training	GENERAL ENGLISH LANG TNG	-	322nd Squadron, Blida Air Base, 1st Military Region	11/21/2005	2/3/2006	LACKLAND AFB, TX	1	9874	92087.htm
Algeria	IMET - FY 2006 DoS Training	GENERAL ENGLISH LANG TNG	-	Air Defence Aviation Division, Air Force HQ, Cheraga	4/17/2006	5/26/2006	LACKLAND AFB, TX	1	6752	92087.htm
Algeria	IMET - FY 2006 DoS Training	GENERAL ENGLISH LANG TNG	-	Office of External Relations and Cooperation, Algiers	7/3/2006	9/15/2006	LACKLAND AFB, TX	1	9907	92087.htm
Algeria	IMET - FY 2006 DoS Training	GENERAL ENGLISH LANG TNG	-	Basic Infantry School, 1st Military Region, Cherchell	8/7/2006	9/15/2006	LACKLAND AFB, TX	1	5374	92087.htm
