country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Afghanistan	CTFP - FY 2007 DoD Training	AMERICAN LANGUAGE COURSE	US unit not specified in 2007-2008 report	Navy	10/1/2006	4/6/2007	DLIELC, LACKLAND AFB TX	1	16872 	126577
Afghanistan	CTFP - FY 2007 DoD Training	ARMY WAR COL (RES CRS)-CT	US unit not specified in 2007-2008 report	Army	10/1/2006	6/9/2007	ARMY WAR COLLEGE	1	37243 	126577
Afghanistan	CTFP - FY 2007 DoD Training	CNTRTERRORISM FEL PRGM-CT	US unit not specified in 2007-2008 report	Army	7/23/2007	9/30/2007	NATIONAL DEFENSE UNIVERSITY	1	17681 	126577
Afghanistan	CTFP - FY 2007 DoD Training	ENGLISH LANGUAGE CRSE	US unit not specified in 2007-2008 report	Army	11/20/2006	7/13/2007	DLIELC, LACKLAND AFB TX	1	111255 	126577
Afghanistan	CTFP - FY 2007 DoD Training	INFANTRY CAPTAINS CAREER COURSE	US unit not specified in 2007-2008 report	Army	10/1/2006	12/13/2006	INFANTRY SCHOOL	1	11149 	126577
Afghanistan	CTFP - FY 2007 DoD Training	INTL MIL LAW DEV PRG-ILOMO	US unit not specified in 2007-2008 report	Navy	4/9/2007	6/29/2007	NEWPORT, RI	1	23233 	126577
Afghanistan	CTFP - FY 2007 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2007-2008 report	Army	11/29/2006	12/6/2006	ASIA PACIFIC CTR FOE SECURITY STUDIES	1	1940 	126577
Afghanistan	CTFP - FY 2007 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2007-2008 report	Army	1/22/2007	2/2/2007	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	8	116000 	126577
Afghanistan	CTFP - FY 2007 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2007-2008 report	Army	8/7/2007	8/23/2007	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	2	2 	126577
Afghanistan	CTFP - FY 2007 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2007-2008 report	Army	8/26/2007	8/31/2007	MARSHALL CENTER	2	5000 	126577
Afghanistan	CTFP - FY 2007 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2007-2008 report	Army	9/17/2007	9/29/2007	MARSHALL CENTER	8	68504 	126577
Afghanistan	CTFP - FY 2007 DoD Training	SENIOR EXECUTIVE SEMINAR (SES)	US unit not specified in 2007-2008 report	Army	8/22/2007	8/29/2007	MARSHALL CENTER	4	10400 	126577
Afghanistan	CTFP - FY 2007 DoD Training		US unit not specified in 2007-2008 report					31	$419,279 	126577
Afghanistan	FMF - FY 2007 DoS Training	ARNG PRE-RANGER COURSE	US unit not specified in 2007-2008 report	Army	2/17/2007	3/4/2007	ARNG WARRIOR TRNG CTR	1	807 	126577
Afghanistan	FMF - FY 2007 DoS Training	ENGLISH LANGUAGE CRSE	US unit not specified in 2007-2008 report	Army	8/21/2006	12/29/2006	AIR FORCE SECURITY ASSISTANCE TRAINING	1	5670 	126577
Afghanistan	FMF - FY 2007 DoS Training	ENGLISH LANGUAGE CRSE	US unit not specified in 2007-2008 report	Army	1/22/2007	8/17/2007	DLIELC, LACKLAND AFB TX	1	24376 	126577
Afghanistan	FMF - FY 2007 DoS Training	ENGLISH LANGUAGE CRSE	US unit not specified in 2007-2008 report	Army	2/5/2007	9/28/2007	DLIELC, LACKLAND AFB TX	1	26912 	126577
Afghanistan	FMF - FY 2007 DoS Training	ENGLISH LANGUAGE CRSE	US unit not specified in 2007-2008 report	Army	3/19/2007	8/24/2007	DLIELC, LACKLAND AFB TX	1	19844 	126577
Afghanistan	FMF - FY 2007 DoS Training	FIELD ARTY CAPTAINS CAREER	US unit not specified in 2007-2008 report	Army	6/13/2006	11/2/2006	FIELD ARTILLERY SCHOOL	1	6829 	126577
Afghanistan	FMF - FY 2007 DoS Training	ILE OFFICER PREP	US unit not specified in 2007-2008 report	Army	1/29/2007	2/9/2007	COMMAND & GENERAL STAFF COLLEGE	1	3787 	126577
Afghanistan	FMF - FY 2007 DoS Training	INFANTRY BASIC OFFICER LDR	US unit not specified in 2007-2008 report	Army	9/29/2006	1/17/2007	INFANTRY SCHOOL	1	3149 	126577
Afghanistan	FMF - FY 2007 DoS Training	INSTRUCTOR TNG COURSE	US unit not specified in 2007-2008 report	Army	3/19/2007	4/3/2007	INFANTRY SCHOOL	1	508 	126577
Afghanistan	FMF - FY 2007 DoS Training	INTERMEDIATE LEVEL EDUC	US unit not specified in 2007-2008 report	Army	2/13/2006	12/15/2006	COMMAND & GENERAL STAFF COLLEGE	1	10482 	126577
Afghanistan	FMF - FY 2007 DoS Training	INTERNATIONAL OFFICER PREPARATORY	US unit not specified in 2007-2008 report	Army	1/10/2007	1/25/2007	COMMAND & GENERAL STAFF COLLEGE	1	4363 	126577
Afghanistan	FMF - FY 2007 DoS Training	LANGUAGE INSTRUCTOR/BASIC	US unit not specified in 2007-2008 report	Army	5/29/2006	12/1/2006	DLIELC, LACKLAND AFB TX	1	8220 	126577
Afghanistan	FMF - FY 2007 DoS Training	MILITARY POLICE BASIC OFFICER LEADER	US unit not specified in 2007-2008 report	Army	10/2/2006	12/15/2006	MILITARY POLICE SCHOOL	1	2463 	126577
Afghanistan	FMF - FY 2007 DoS Training	OBS MED/HEALTH/HYG-CONUS	US unit not specified in 2007-2008 report	Army	7/24/2006	7/27/2007	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	54395 	126577
Afghanistan	FMF - FY 2007 DoS Training	OBS OPERATIONS TNG-CONUS	US unit not specified in 2007-2008 report	Army	1/22/2007	2/16/2007	ARNG WARRIOR TRNG CTR	1	1600 	126577
