country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Albania	CTFP - FY 2008 DoD Training	CIV-MIL RESPONSE TO TERRORISM	US unit not specified in 2008-2009 report	Ministry of Finance	9/8/2008	9/19/2008	CIVIL-MILITARY RELATIONS NPS CENTER FOR MONTEREY CA	1	10628 	152768
Albania	CTFP - FY 2008 DoD Training	COMB STRAT INTEL TRAINING PROGRAM	US unit not specified in 2008-2009 report	Albanian SIGINT Center, SAUK, Tirana	1/14/2008	2/29/2008	Defense Intelligence Agency (CSITP)	1	11376 	152768
Albania	CTFP - FY 2008 DoD Training	COUNTERTERRORISM FELLOWSHIP PROGRAM	US unit not specified in 2008-2009 report	J-2, MOD, Tirana	10/1/2007	6/12/2008	NATIONAL DEFENSE UNIVERSITY	1	70517 	152768
Albania	CTFP - FY 2008 DoD Training	CT- REGIONAL CIV-MIL - MET	US unit not specified in 2008-2009 report	TRADOC, Defense Academy, Tirana, Albania	9/8/2008	9/12/2008	SLOVENIA (IN COUNTRY TRAINING)	1	1200 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	State Intell Service, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	State Intell Service, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Military Intell Directorate, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Ministry of Finanace, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	SIGINT Center, Sauk, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Military Intell Directorate, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	State Intell Service, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Ministry of interior, tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	J-2, Ministry of Defense, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	State Intell Service	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Military Intell directorate, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	J-2, Ministry of Defense, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	State Intell Service, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Military Intell Directorate, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Military Intell Directorate	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	State Intell service, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Military Intell Directorate, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Military Intell directorate, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Military Intell Directorate, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	State Police, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Military Intell Directorate, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Ministry of Interior, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	State intell service, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	military Intell Directorate, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	SIGINT Center, Sauk, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	66170 	152768
Albania	CTFP - FY 2008 DoD Training	CT-RESP TO TERRORISM - MET	US unit not specified in 2008-2009 report	Ministry of Interior, Tirana	6/9/2008	6/13/2008	ALBANIA (IN COUNTRY TRAINING)	1	0 	152768
