country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report		9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING) Angolan	1		155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
Angola	IMET-1 - FY 2009 DoS Training	MET ACQUISITION PHASE III	US unit not specified in 2009-2010 report	For	9/21/2009	9/24/2009	ANGOLA (IN COUNTRY TRAINING)	1	0 	155997
