country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Afghanistan	ALP - Fiscal Year 2012 Department of Defense Training	T-6 ALP Scholarship	COLUMBU.S. AFB MS	Army Air Corps	4/5/2011	4/27/2012	COLOMBUS AFB MS	1	$35,394 	213468
Afghanistan	ALP - Fiscal Year 2012 Department of Defense Training	T-6 ALP Scholarship	COLUMBU.S. AFB MS	Ministry of Defense	5/18/2011	5/23/2012	COLOMBUS AFB MS	1	$36,178 	213468
Afghanistan	ALP - Fiscal Year 2012 Department of Defense Training	Fiscal Year 2012 Program Totals						2	$71,572 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	ALC SpecialIzed English Training Only	DLIELC, LACKLAND AFB TX	National Directorate of Security	7/9/2012	9/7/2012	DLIELC, LACKLAND AFB TX	1	$9,851 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	American Language Course GET and SET	DLIELC, LACKLAND AFB TX	National Directorate of Security (NDS)	3/26/2012	7/13/2012	DLIELC, LACKLAND AFB TX	1	$24,350 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	American Language CRS General English Training Only	DLIELC, LACKLAND AFB TX	National Directorate of Security	5/21/2012	8/10/2012	DLIELC, LACKLAND AFB TX	1	$19,901 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	American Language CRS General English Training Only	DLIELC, LACKLAND AFB TX	National Directorate of Security	6/18/2012	7/6/2012	DLIELC, LACKLAND AFB TX	1	$11,636 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	ASC12-1 - Advanced Security Cooperation Course	APSS	National Directorate of Security	5/2/2012	6/5/2012	Honolulu, Hawaii, United States	1	$5,979 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	ASC12-1 - Advanced Security Cooperation Course	APSS	National Security Council	5/2/2012	6/5/2012	Honolulu, Hawaii, United States	1	$5,899 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	CIV-MIL RESP to Terrorism	CENTER FOR CIVIL-MILITARY RELATIONS MONTEREY CA	National Directorate of Security	9/10/2012	9/21/2012	CIVIL-MILITARY RELATIONS NPS CENTER FOR MONTEREY CA	1	$9,859 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	Combating Terrorism Language Program (CTLP)	MARSHALL CENTER	National Directorate of Security	1/6/2012	2/9/2012	MARSHALL CENTER	1	$8,250 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	Combating Terrorism Language Program (CTLP)	MARSHALL CENTER	Office of National Security Council	1/6/2012	2/9/2012	MARSHALL CENTER	1	$8,250 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	Combating Terrorism Language Program (CTLP)	MARSHALL CENTER	Office of National Security Council (ONSC)	1/6/2012	2/9/2012	MARSHALL CENTER	1	$8,250 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	Combating Terrorism Language Program (CTLP)	MC	National Directorate of Security (NDS)	2/17/2012	3/22/2012	Garmisch-Partenkirchen, Germany	1	$11,595 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	Combating Terrorism Language Program (CTLP)	MC	Office of National Security Council	2/17/2012	3/22/2012	Garmisch-Partenkirchen, Germany	1	$13,312 	213468
Afghanistan	CTFP - Fiscal Year 2012 Department of Defense Training	Combating Terrorism Language Program (CTLP)	MARSHALL CENTER	National Directorate of Security (NDS)	2/17/2012	3/22/2012	MARSHALL CENTER	1	$8,250 	213468
