country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Algeria	CTFP - Fiscal Year 2015 Department of Defense Training	American Language Course General English Training Only	DLIELC, Lackland AFB TX	Algerian Land Forces Command	7/13/2015	9/18/2015	Lackland AFB, TX, US	1	$20,698 	265162
Algeria	CTFP - Fiscal Year 2015 Department of Defense Training	COMB STRAT INTEL Training Program	Defense Intelligence Agency (CSITP)	National Security Department	9/29/2014	11/14/2014	DIA, Washington, DC, DC, US	1	$21,010 	265162
Algeria	CTFP - Fiscal Year 2015 Department of Defense Training	Combating Terrorism Executive Seminar - Senior LEV	Near E-S Asia CTR For Security Studies (NDU)	Office Of the Chief Of Staff	6/1/2015	6/12/2015	Ft. Mcnair, NDU, DC, US	1	$9,000 	265162
Algeria	CTFP - Fiscal Year 2015 Department of Defense Training	Combating Terrorism Language Program (CTLP)	Marshall Center	National Security Department	1/22/2015	2/24/2015	Garmisch, GY	2	$38,446 	265162
Algeria	CTFP - Fiscal Year 2015 Department of Defense Training	Comprehensive Security Responses To Terrorism	Asia Pacific CTR For Security Studies	Intelligence And Security Department	2/11/2015	3/13/2015	Honolulu, HI, US	1	$11,000 	265162
Algeria	CTFP - Fiscal Year 2015 Department of Defense Training	International Counterterrorism Fellows Program (PREP)	National Defense University	Algerian Land Froces Command	7/6/2015	8/3/2015	Ft. Mcnair, NDU, DC, US	1	$29,222 	265162
Algeria	CTFP - Fiscal Year 2015 Department of Defense Training	International INTELL Fellows PGM	Defense Intelligence Agency	Algerian Intelligence Department	8/20/2015	9/4/2015	DIA, Washington, DC, DC, US	1	$9,082 	265162
Algeria	CTFP - Fiscal Year 2015 Department of Defense Training	Program On CYBER Security Studies (PCSS)	Marshall Center	National Gendarmerie Forensics Laboratory	12/4/2014	12/19/2014	Garmisch, GY	1	$9,412 	265162
Algeria	CTFP - Fiscal Year 2015 Department of Defense Training	Program On Terrorism And Security Studies	Marshall Center	National Security Department	2/25/2015	3/25/2015	Garmisch, GY	2	$31,482 	265162
Algeria	CTFP - Fiscal Year 2015 Department of Defense Training	Strategic INTEL Leaders Course	Defense Intelligence Agency	Algerian Counter Intelligence Agency	4/23/2015	5/23/2015	DIA, Washington, DC, DC, US	1	$13,122 	265162
