country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Antigua and Barbuda	FMF - Fiscal Year 2018 Department of State Training	Boatswains Mate A	COGARD Training Center Yorktown VA	Antigua Barbuda Defense Force	2/5/2018	5/11/2018	Yorktown, VA, US	1	$12,739 	FMT_Volume-I_FY2018_2019
Antigua and Barbuda	FMF - Fiscal Year 2018 Department of State Training	Caterpillar 3508 Operator/Maintenance	COGARD Training Center Yorktown VA	Antigua And Barbuda Defense Force	2/26/2018	3/2/2018	Yorktown, VA, US	1	$4,533 	FMT_Volume-I_FY2018_2019
Antigua and Barbuda	FMF - Fiscal Year 2018 Department of State Training	Diesel Systems Overhaul And Maintenance (DSOM)	U S NAV Small Craft Instructor And TECH Training School S	Antigua Coast Guard	10/6/2017	11/30/2017	Stennis Space Center, MS, US	1	$14,797 	FMT_Volume-I_FY2018_2019
Antigua and Barbuda	FMF - Fiscal Year 2018 Department of State Training	Hydraulic SYS And EQUIP	COGARD Training Center Yorktown VA	Antigua And Barbuda Defense Force	8/20/2018	8/31/2018	Yorktown, VA, US	1	$5,206 	FMT_Volume-I_FY2018_2019
Antigua and Barbuda	FMF - Fiscal Year 2018 Department of State Training	International Maritime Search And Rescue Planning	COGARD Training Center Yorktown VA	Antigua And Barbuda Defense Force Coast Guard	12/4/2017	12/15/2017	Yorktown, VA, US	1	$5,269 	FMT_Volume-I_FY2018_2019
Antigua and Barbuda	FMF - Fiscal Year 2018 Department of State Training	International Small Arms Maintenance (ISAM)	U S NAV Small Craft Instructor And TECH Training School S	Antigua And Barbuda Defense Force	2/9/2018	3/8/2018	Stennis Space Center, MS, US	1	$11,766 	FMT_Volume-I_FY2018_2019
Antigua and Barbuda	FMF - Fiscal Year 2018 Department of State Training	Legal Aspects Of Combating Terrorism (LCT)	Defense Institute Of International Legal STUD	Antigua And Barbuda Defense Force	3/19/2018	4/5/2018	DIILS, Newport, RI, US	1	$13,043 	FMT_Volume-I_FY2018_2019
Antigua and Barbuda	FMF - Fiscal Year 2018 Department of State Training	Machinery Technician A	COGARD Training Center Yorktown VA	Antigua Defense Force	2/20/2018	5/18/2018	Yorktown, VA, US	1	$12,136 	FMT_Volume-I_FY2018_2019
Antigua and Barbuda	FMF - Fiscal Year 2018 Department of State Training	Marine Inspector Domestic	COGARD Training Center Yorktown VA	Antigua And Barbuda Defense Force	3/22/2018	4/26/2018	Yorktown, VA, US	1	$6,974 	FMT_Volume-I_FY2018_2019
Antigua and Barbuda	FMF - Fiscal Year 2018 Department of State Training	Officer Candidate School	U. S. Coast Guard Academy New London CT	Antigua And Barbuda Coast Guard	1/24/2018	5/17/2018	New London, CT, US	1	$22,804 	FMT_Volume-I_FY2018_2019
