country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Angola	DoS Africa Region, Angola, Africa Center for Strategic Studies, FY01	Senior Leader Seminar		Ministry of Foreign Affairs MOD	1/29/01	2/9/01	2 Libreville Gabon		$9,667	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	AIRBORNE		Army, Ground Forces, 1st Batallion, Combined-Arms	5/7/01	5/12/01	1 FT BENNING GA 31905-5468		$1,296	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	AMERICAN LANGUAGE COURSE		Air Force, on training in the US	1/22/01	6/8/01	1 LACKLAND AFB, TX 78236		$18,241	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	AMERICAN LANGUAGE COURSE		on training in the US	4/9/01	8/24/01	1 LACKLAND AFB, TX 78236		$13,944	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	AMERICAN LANGUAGE CRS		Navy, Posted at General Chief of Staff Headquarters	5/7/01	9/21/01	1 LACKLAND AFB, TX 78236-5259		$14,044	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	AMERICAN LANGUAGE CRS		Navy, Posted at Genreal Chief of Staff Headquarters	11/27/00	1/5/01	1 LACKLAND AFB, TX 78236-5259		$10,485	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	ENGLISH LANGUAGE CRSE		Army, Ground Forces, 1st Batallion, Combined-Arms	12/11/00	4/27/01	1 SAN ANTONIO TX 78236-5259		$14,607	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	ENGLISH LANGUAGE CRSE		Army, Ground Forces, 1st Balallion, Military Engineering	4/16/01	8/31/01	1 SAN ANTONIO TX 78236-5259		$14,607	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	INTL OFF SCH (FOR AC&SC)		Air Force, on training in the US	6/18/01	7/27/01	1 MAXWELL AFB, AL 36112-6323		$10,509	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	INTL OFF SCH (FOR AC&SC)		Air Force, on training in the US	6/18/01	7/27/01	1 MAXWELL AFB, AL 36112-6323		$6,870	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	JOINT TRANSITION COURSE		Navy, General Chief of Staff Headquarters	7/2/01	7/6/01	1 NORFOLK, VA 23511-1702		$2,081	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	JT/COMB STAFF OFFICER SCHL		Navy, General Chief of Staff Headquarters	7/9/01	9/28/01	1 NORFOLK, VA 23511-1702		$10,425	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	LANG LAB MAINT / CASSETTE		Air Force, on training in the US	12/11/00	2/2/01	1 LACKLAND AFB, TX 78236		$4,871	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	MET REGIONAL DIILS		Navy (2), Air Force (2), National Gendarmerie (8), Ground Forces (8), Ministry of Foreign Aaffairs (4), Ministry of Interior (6), Red Cross (3), Ministry pf Justice (4), Ministry of National Defense (3)	7/23/01	7/27/01	45 Benin		$32,329	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	NAVAL STAFF COLLEGE		Navy, Posted at General Chief of Staff Headquarters	1/11/01	6/15/01	1 NEWPORT, RI 02841-1207		$22,587	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	OJT COMM/ELECT TNG-CONUS		Air Force, on training in the US	10/30/00	11/24/00	1		$2,903	10964
Benin	DoS Africa Region, Benin, International Military Education and Training (IMET), FY01	PATHFINDER		Army, Ground Forces, Combined-Arms	6/18/01	7/9/01	1 FT BENNING GA 31905-5468		$222	10964
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY01	SPECIALIZED ENG LANG TNG		Army, Posted at Ministry of National Defense	6/18/01	8/17/01	1 LACKLAND AFB, TX 78236		$8,708	10964
Benin	DoS Africa Region, Benin, African Crisis Response Initiative, FY01	ACRI FT-4	3RD SFGA	ARMY	4/30/01	5/25/01	634 BENIN		$450,000	10964
Benin	DoS Africa Region, Benin, Africa Center for Strategic Studies, FY01	Senior Leader Seminar		MOD Ministry of Foreign Affairs NGO	1/29/01	2/9/01	2 Libreville Gabon		$7,837	10964
Benin	DoS Africa Region, Benin, Africa Center for Strategic Studies, FY01	Sub-Regional Seminar		MOD MFA	8/20/01	8/24/01	3 Accra Ghana		$5,072	10964
