country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Bangladesh	DoS South Asia Region, Bangladesh, Near East South Asia Center, FY01	Executive Seminar ES 01-01		Army (Open to all branches)	5/7/01	5/25/01	1 NESA Center		$9,675	10969
Bangladesh	DoS South Asia Region, Bangladesh, Near East South Asia Center, FY01	Inaugural Seminar		Army (Open to all branches)	10/31/00	11/2/00	1 National Defense University		$7,536	10969
Bangladesh	DoS South Asia Region, Bangladesh, Near East South Asia Center, FY01	Senior Executive Seminar		Army (Open to all branches)	7/23/01	7/27/01	1 NESA Center		$10,559	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	ADJUTANT GEN CAPT'S CAREER		54, East Bengal Regiment	5/7/01	9/12/01	1 FT JACKSON SC 29207-7040		$15,025	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	AIR DEF ARTY OFF ADV		21 Air Defence Artillery Regiment	1/19/01	5/25/01	1 FT BLISS TX 79916-1001		$8,991	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	AIRBORNE		1 Parachute Commando Battalion	4/9/01	4/27/01	1 FT BENNING GA 31905-5468		$2,342	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	ALLIED OFF PREP-INF OAC		14 East Bengal Regiment	3/12/01	3/16/01	1 FT BENNING GA 31905-5468		$1,533	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	AMPHIB PLAN SR OFF-INTL		BNS Madhumati	2/26/01	5/4/01	1 SAN DIEGO, CA 92155-5099		$6,540	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	ARMOR CAPTAINS CAREER		Armour Directorate, Army Headquarters	1/22/01	5/25/01	1 FT KNOX KY 40121-5234		$10,841	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	ARMOR CPT CAREER CRS PREP		Armour Directorate, Army Headquarters	1/8/01	1/19/01	1 FT KNOX KY 40121-5234		$3,080	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	BASIC DIVING OFFICER		BNS Haji Mohsin	6/18/01	7/17/01	1 PANAMA CITY, FL 32407-7016		$3,111	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	COMB LOG OFF		Army Headquarters	5/4/01	6/8/01	1 APG MD 21005-5299		$4,327	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	COMBAT ENGR OFFICER USMC		Coast Guard Headquarters	4/4/01	7/11/01	1 CAMP LEJEUNE, NC 28542-0069		$7,739	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	COMBINED LOG CPT CAREER		Army Headquarters	6/11/01	7/26/01	1 FT LEE VA 23801-1705		$4,028	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	COMBINED LOG CPT CAREER		Army Headquarters	3/19/01	5/1/01	1 FT LEE VA 23801-1705		$3,619	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	CONTR BRIDGE SIMULATOR		BNS Tawfiq	8/16/01	8/17/01	1 SAN DIEGO, CA 92155-5490		$3,825	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	FA OFF ADV PREP-ALLIED OFF		Bangladesh Military Academy	4/12/01	5/4/01	1 FT SILL OK 73503		$3,823	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	FIELD ARTY CAPTAINS CAREER		Bangladesh Military Academy	5/8/01	9/13/01	1 FT SILL OK 73503		$11,816	10969
Bangladesh	DoS South Asia Region, Bangladesh, International Military Education and Training (IMET), FY01	FLT SAFETY OFF (SATP/FSO)		BAF Base, Bashar	6/22/01	8/31/01	1 KIRTLAND AFB, NM 87117-5608		$9,072	10969
