country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Bangladesh	DOD South Asia Region, Bangladesh, Near East South Asia Center(NESA),FY02	Executive Seminar ES 01-02		Air Force (Open to all branches)	10/22/01	11/9/01	NESA Center, Washington, D.C.	1	$5,650	21822
Bangladesh	DOD South Asia Region, Bangladesh, Near East South Asia Center(NESA),FY02	Executive Seminar ES 02-02		Army + Navy (Open to all branches)	1/14/02	2/1/02	NESA Center, Washington, D.C.	2	$10,870	21822
Bangladesh	DOD South Asia Region, Bangladesh, Near East South Asia Center(NESA),FY02	Executive Seminar ES 03-02		Air Force + Ministry of Foreign Affairs (Open to all branches)	4/8/02	4/26/02	NESA Center, Washington, D.C.	2	$11,645	21822
Bangladesh	DOD South Asia Region, Bangladesh, Near East South Asia Center(NESA),FY02	Executive Seminar ES 04-02		Army + Ministry of Defense (Open to all branches)	7/8/02	7/26/02	NESA Center, Washington, D.C.	2	$13,328	21822
Bangladesh	DOD South Asia Region, Bangladesh, Near East South Asia Center(NESA),FY02	JCET	2/1 SFG, 1/1 SFG, 426 CA BN	1st Para-commando BN HQ, Base Bahar-Dhaka, BNS Isha Khan-Chitagong, BNS Haji	7/7/02	8/18/02	Chittagong, Elephant Pt, Dhaka	185	$76,828	21822
Bangladesh	DOD South Asia Region, Bangladesh, Near East South Asia Center(NESA),FY02	Senior Executive Seminar		Air Force + Army (Open to all branches)	6/10/02	6/14/02	NESA Center, Washington, D.C.	2	$11,149	21822
Bangladesh	DOS South Asia Region, Bangladesh, International Military Education and Training (IMET),FY02	AIRBORNE		28, East Bengal Regiment	2/11/02	3/1/02	FT BENNING GA 31905-5468	1	$1,271	21822
Bangladesh	DOS South Asia Region, Bangladesh, International Military Education and Training (IMET),FY02	AIRBORNE		1 Para Commando Battalion	7/15/02	8/2/02	FT BENNING GA 31905-5468	1	$2,345	21822
Bangladesh	DOS South Asia Region, Bangladesh, International Military Education and Training (IMET),FY02	AIRBORNE		28, East Bengal Regiment	2/4/02	2/22/02	FT BENNING GA 31905-5468	1	$225	21822
Bangladesh	DOS South Asia Region, Bangladesh, International Military Education and Training (IMET),FY02	AIRCRAFT MAINTENANCE OFF		BAF Base Bashar, Dhaka	4/23/02	7/31/02	SHEPPARD AFB TX 76311-2367	1	$7,079	21822
Bangladesh	DOS South Asia Region, Bangladesh, International Military Education and Training (IMET),FY02	AIRFIELD OPERATIONS OFFCR		School of Security & Intelligence, BAF	6/17/02	9/18/02	KEESLER AFB, MS 39534-2354	1	$6,145	21822
Bangladesh	DOS South Asia Region, Bangladesh, International Military Education and Training (IMET),FY02	AMERICAN LANGUAGE CRS		BNS Osman, Chittagong	11/12/01	7/5/02	LACKLAND AFB, TX 78236-5259	1	$19,516	21822
Bangladesh	DOS South Asia Region, Bangladesh, International Military Education and Training (IMET),FY02	AMPHIB PLAN SR OFF-INTL		BNS Bhatiary, Chittagong	2/25/02	5/3/02	SAN DIEGO, CA 92155-5099	1	$6,614	21822
