country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	BOATSWAINS MATE A		Coast Guard	8/12/02	9/27/02	YORKTOWN, VA 23690-5000	1	$7,952	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	CIV-MIL SID - SOUTHCOM		Special Service unit	2/4/02	2/15/02	HURLBURT FIELD, FL 32544-5826	1	$4,473	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	CIV-MIL SID - SOUTHCOM		Defense Force	2/4/02	2/15/02	HURLBURT FIELD, FL 32544-5826	1	$4,473	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	COXSWAIN C		Coast Guard	2/25/02	3/22/02	YORKTOWN, VA 23690-5000	1	$3,827	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	CREWMAN SMALL BOAT		Coast Guard	2/11/02	2/22/02	YORKTOWN, VA 23690-5000	1	$3,712	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	DAMAGE CONTROL A		Coast Guard	11/13/01	2/28/02	YORKTOWN, VA 23690-5000	1	$7,234	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	DIESEL ENGINE GM 8-645-E2		Coast Guard	7/22/02	8/4/02	YORKTOWN, VA 23690-5000	1	$967	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	DIVER SECOND CLASS		Defense Force	5/1/02	5/14/02	PANAMA CITY, FL 32407-7016	1	$6,885	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	ELECTRICIANS MATE A		Defense Force	8/5/02	8/14/02	YORKTOWN, VA 23690-5000	1	$2,609	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	FOOD SERVICE MGT		Special Service unit	5/29/02	6/25/02	FT LEE VA 23801-1509	1	$3,753	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	MACHINERY TECHNICIAN A		Coast Guard	4/29/02	7/19/02	YORKTOWN, VA 23690-5000	1	$6,348	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	OJT ENL MLE ATLANTIC AREA		Coast Guard	3/25/02	4/5/02	PORTSMOUTH, VA 23666-5004	1	$1,620	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	OJT ENL TECH SOUTHEAST		Defense Force	2/18/02	2/23/02	MIAMI, FL 33130	1	$1,220	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	OJT OPERATIONS TNG-CONUS		Defense Force	8/12/02	8/23/02	FT BENNING GA 31905-5468	1	$2,730	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	QUARTERMASTER A		Coast Guard	10/15/01	12/21/01	YORKTOWN, VA 23690-5000	1	$5,336	21823
Antigua And Barbuda (UK)	DOS Western Hemisphere Region, Antigua And Barbuda (UK), International Military Education and Training (IMET),FY02	REFRIGERATOR & AIR COND		Defense Force	1/7/02	2/15/02	YORKTOWN, VA 23690-5000	1	$4,182	21823
Antigua And Barbuda (UK)	DOD Western Hemisphere Region, Antigua And Barbuda (UK), Africa Center for Strategic Studies (ACSS),FY02	CHDS Programs	Center for Hemispheric Defense Studies	Ministry of Foreign Affairs, Royal Antigua Police Force, Grenville Radio, Government of Antigua and Barbuda	4/8/02	4/26/02	Washington, DC	4	$31,996	21823
Argentina	DOD Western Hemisphere Region, Argentina, Exchange Training,FY02	CMD & GEN STAFF OFF PREP		Political/Strategy Department, Army Headquarters Staff	7/15/02	8/2/02	FT LEAVENWORTH KS 66027-1352	1	$0	21823
Argentina	DOD Western Hemisphere Region, Argentina, Exchange Training,FY02	INTERNATIONAL OFFICER PREP		Political/Strategy Department, Army Headquarters Staff	6/17/02	7/12/02	FT LEAVENWORTH KS 66027-1352	1	$0	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	10 POS STUDENT CONSOLES		Language Dept Army Hq Staff	4/15/02	4/16/02		0	$32,900	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	AEROSPACE MED PRI NON-DOD		Air Regions Command	3/13/02	4/23/02	BROOKS AFB, TX 78235-5123	1	$3,303	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	AIRBORNE		601st Commando Company	5/20/02	6/7/02	FT BENNING GA 31905-5468	1	$3,477	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	AMERICAN LANGUAGE COURSE		V Air Brigade - Operations Group	2/11/02	5/3/02	LACKLAND AFB, TX 78236	1	$3,125	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	ARMOR CPT CAREER CRS PREP		Argentine Military Academy	7/8/02	7/26/02	FT KNOX KY 40121-5234	1	$910	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	CIV-MIL SID - SOUTHCOM		General Directorate for Logistics, MOD	2/4/02	2/15/02	HURLBURT FIELD, FL 32544-5826	1	$4,637	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	CIV-MIL SID - SOUTHCOM		Deputy Chief of Operations Office, Joint Staff	2/4/02	2/15/02	HURLBURT FIELD, FL 32544-5826	1	$4,637	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	COMP-BASED INSTRUCT DESIGN		Computer Science Management	5/14/02	6/14/02	SHEPPARD AFB TX 76311-2367	1	$4,061	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	DEPARTMENT RESOURCE MGT		National Defense School	10/22/01	12/7/01	FORT BENNING GA 31905-6245	1	$5,357	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	DEPARTMENT RESOURCE MGT		Puerto Belgrano Naval Base	10/22/01	12/7/01	FORT BENNING GA 31905-6245	1	$5,357	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	DEPARTMENT RESOURCE MGT		National Defense School	10/22/01	12/7/01	FORT BENNING GA 31905-6245	1	$5,357	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	DEPARTMENT RESOURCE MGT		Civilian Personnel Department, Office of the Chief of Personnel	10/22/01	12/7/01	FORT BENNING GA 31905-6245	1	$5,357	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	DEPARTMENT RESOURCE MGT		National Defense School	10/22/01	12/7/01	FORT BENNING GA 31905-6245	1	$5,357	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	DEPARTMENT RESOURCE MGT		National Defense School	10/22/01	12/7/01	FORT BENNING GA 31905-6245	1	$5,357	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	DEPARTMENT RESOURCE MGT		Directorate General for Policy	10/22/01	12/7/01	FORT BENNING GA 31905-6245	1	$5,357	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	DLI ENGLISH LANGUAGE TECH		Language Training Center at Naval Base Puerto Belgrano	8/12/02	8/30/02	Puerto Belgrano Naval Base, Argentina	9	$15,613	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	DLI ENGLISH LANGUAGE TECH		5 students from Naval Accademy 3 students from Naval War College	8/12/02	8/30/02	Buenos Aires, Argentina	0	$8,804	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	ENGINEER OFF CPT CAREER		Argentine Military Academy	5/6/02	9/11/02	FT LEONARD WOOD MO 65473-5000	1	$5,341	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	ENGINEER OPERATIONS		11th Engineer Battalion	4/22/02	6/28/02	FORT BENNING GA 31905-6245	1	$5,811	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	FA OFF ADV PREP-ALLIED OFF		Artillery School	4/12/02	5/6/02	FT SILL OK 73503	1	$1,386	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	FIELD ARTY CAPTAINS CAREER		Artillery School	5/8/02	9/13/02	FT SILL OK 73503	1	$4,095	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	FOOD SERVICE MGT		601st Commando Company	5/29/02	6/25/02	FT LEE VA 23801-1509	1	$3,963	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	GROUND DEFENSE SKILLS		Command Support Squadron	3/11/02	4/24/02	LACKLAND AFB, TX 78236-5706	1	$4,959	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	INFANTRY CAPTS CAREER CRS		NCO Academy	3/18/02	7/26/02	FT BENNING GA 31905-5468	1	$6,878	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	INSTRUCTOR TRAINING		4th Parachute Brigade	5/6/02	5/20/02	FORT BENNING GA 31905-6245	1	$1,580	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	INSTRUCTOR TRAINING		7th Artillery Group	5/6/02	5/20/02	FORT BENNING GA 31905-6245	1	$1,580	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	INSTRUCTOR TRAINING		601st Electronic Operations Batallion	5/6/02	5/20/02	FORT BENNING GA 31905-6245	1	$1,580	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	INSTRUCTOR TRAINING		601st Commando Company	5/6/02	5/20/02	FORT BENNING GA 31905-6245	1	$1,580	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	INSTRUCTOR TRAINING		14th Parachute Infantry Regiment	5/6/02	5/20/02	FORT BENNING GA 31905-6245	1	$1,580	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	INT'L INTEL OFF BASIC		9th Intelligence Company	3/18/02	6/3/02	FT HUACHUCA AZ 85613-7000	1	$11,264	21823
Argentina	DOS Western Hemisphere Region, Argentina, International Military Education and Training (IMET),FY02	INT'L OFF PREP-INF CCC		NCO Academy	3/11/02	3/15/02	FT BENNING GA 31905-5468	1	$177	21823
Argentina	Western Hemisphere Region, Argentina, International Military Education and Training (IMET), FY 02	INTL AIR WEAPONS CONTR CRS		Air Space Control and Surveillance Group	5/20/02	7/16/02	TYNDALL AFB, FL 32403-5016	1	$6,323	21823
Argentina	Western Hemisphere Region, Argentina, International Military Education and Training (IMET), FY 02	INTL DEFENSE MGT CRS		Revenue Forecasting Office, Ministry of Economy	2/4/02	4/17/02	MONTEREY, CA 93943-5201	1	$16,807	21823
