country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	cost	source
Antigua and Barbuda	CTFP - FY 2006 DoD Training	MET CT- REGIONAL CIV-MIL	-	Antigua Barbuda Defence Force	1/30/2006	2/3/2006	URUGUAY	1	3005	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	ARNG PRE-RANGER	-	Antigua and Barbuda Defence Force	4/15/2006	4/30/2006	FORT BENNING, GA	1	4845	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	BOARDING OFF (MLE-01)EIMET	-	ANTIGUA BARBUDA COAST GUARD	7/31/2006	9/8/2006	CHARLESTON, SC	1	6135	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	BOATSWAINS MATE A	-	ANTIGUA AND BARBUDA COAST GUARD	1/30/2006	4/14/2006	YORKTOWN, VA	1	13164	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	COXSWAIN COURSE	-	ANTIGUA AND BARBUDA COAST GUARD	4/17/2006	5/12/2006	YORKTOWN, VA	1	4548	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	ELECTRICIANS MATE A	-	Antigua Barbuda Defence Force	5/22/2006	9/29/2006	YORKTOWN, VA	1	11231	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	ELECTRONICS ADV DIGITAL	-	ANTIGUA BARBUDA DEFENCE FORCE	6/19/2006	7/14/2006	YORKTOWN, VA	1	2885	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	ELECTRONICS TECHNICIAN A	-	ANTIGUA BARBUDA DEFENCE FORCE	10/31/2005	6/2/2006	PETALUMA, CA	1	14234	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	OFFICER CANDIDATE SCHOOL	-	ANTIGUA BARBUDA COAST GUARD	3/23/2006	7/19/2006	NEW LONDON, CT	1	16459	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	OJT ENL MLE SOUTHEAST	-	Antigua and Barbuda Coast Guard	10/3/2005	10/7/2005	MIAMI, FL	1	1108	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	OJT TECHNICAL ENLISTED	-	ANTIGUA BARBUDA DEFENCE FORCE	6/5/2006	6/9/2006	YORKTOWN, VA	1	829	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	PORT SECURITYMAN A	-	Antigua Barbuda Defence Force	6/5/2006	7/21/2006	YORKTOWN, VA	1	4085	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	POWER GENERATION EQUIP RPR	-	ANTIGUA AND BARBUDA DEFENCE FORCE	2/21/2006	5/10/2006	ABERDEEN PROVING GROUNDS, MD	1	9592	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	QUARTERMASTER CLASS A	-	Antigua Barbuda Coast Guard	3/20/2006	4/24/2006	GREAT LAKES, IL	1	5660	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	RANGER	-	Antigua and Barbuda Defence Force	5/2/2006	6/30/2006	FORT BENNING, GA	1	4002	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	SEAPORT SECURITY ANTI-TERR	-	Antigua Barbuda Defence Force	5/22/2006	5/26/2006	YORKTOWN, VA	1	2547	92089.htm
Antigua and Barbuda	IMET - FY 2006 DoS Training	SMALL ARMS REPAIRER	-	Antigua Barbuda Defence Force	5/9/2006	7/25/2006	ABERDEEN PROVING GROUNDS, MD	1	7215	92089.htm
Antigua and Barbuda	INL - FY 2006 DoS Training	MTT WATERSIDE PORT SECUR	-	Antigua Barbuda Defence Force x4; Barbados Coast Guard x4 (not listed on their database); Grenada Marine Police x4 (not listed on their database)	10/17/2005	10/28/2005	YORKTOWN, VA	12	0	92089.htm
Antigua and Barbuda	Regional Centers - FY 2006 DoD Training	Caribbean Defense and Security Course	-	Center for Hemispheric Defense Studies	2/6/2006	2/17/2006	Kingston, Jamaica	1	6400	92089.htm
Argentina	CTFP - FY 2006 DoD Training	MTT MLE ADV BOARD OFF	-	4-Albatros Unit; 3-Delta Area Unit; 4-Law Enforcement, Maritime Protection; 4-Intellegence Service; 4-Buenos Aires Port Delegation; 3-Bahia Blanca Port Delegation; 2-Puerto Madryn Port Delegation	9/18/2006	9/30/2006	YORKTOWN, VA	24	35250	92089.htm
Argentina	CTFP - FY 2006 DoD Training	MTT PORT SEC/VUL ASM	-	4-Law Enforcement, Maritime Protection; 3-Buenos Aires Port Delegation;2-Mar del Plata Port Delegation; 3-Z�rate Port Delegation; 2-La Plata Port Delegation; 3-Rosario Port Delegation; 2-Boca del Riac	4/24/2006	4/30/2006	YORKTOWN, VA	24	23020	92089.htm
Argentina	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	National Security Commission	6/5/2006	6/23/2006	BDE	1	5570	92089.htm
Argentina	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	Commission of Intelligence Studies and Research	6/5/2006	6/23/2006	BDE	1	5570	92089.htm
Argentina	IMET - FY 2006 DoS Training	AIR WAR COLLEGE	-	Personnel Command, Air Force	7/26/2005	5/30/2006	MAXWELL AFB, AL	1	13500	92089.htm
Argentina	IMET - FY 2006 DoS Training	ANTITERRSM FOR PRTC LVL I	-	J II - Intelligence, Air Force	9/7/2006	9/14/2006	LACKLAND AFB, TX	1	310	92089.htm
Argentina	IMET - FY 2006 DoS Training	ANTITERRSM FRC PRTC LVL II	-	J II - Intelligence, Air Force	9/14/2006	9/21/2006	LACKLAND AFB, TX	1	310	92089.htm
Argentina	IMET - FY 2006 DoS Training	ARMY FORCE MANAGEMENT	-	Office of the Chief of Personnel, Army Hqs Staff	9/12/2005	10/7/2005	FORT BELVOIR, VA	1	3532	92089.htm
Argentina	IMET - FY 2006 DoS Training	ARMY FORCE MANAGEMENT	-	Planning Directorate, Army Hqs Staff	9/12/2005	10/7/2005	FORT BELVOIR, VA	1	3532	92089.htm
Argentina	IMET - FY 2006 DoS Training	ARMY FORCE MANAGEMENT	-	Planning Division, Office of the Chief of Operations, Army Hqs Staff	10/17/2005	11/8/2005	FORT BELVOIR, VA	1	5366	92089.htm
Argentina	IMET - FY 2006 DoS Training	ARMY FORCE MANAGEMENT	-	Strategic Planning Department, Army Hqs Staff	10/17/2005	11/8/2005	FORT BELVOIR, VA	1	5366	92089.htm
Argentina	IMET - FY 2006 DoS Training	C-130 SIM REFR(P/CP/FE)12SH	-	I Air Brigade, El Palomar, Air Force	4/18/2006	4/20/2006	MCCHORD AFB, WA	2	4240	92089.htm
Argentina	IMET - FY 2006 DoS Training	C-130 SIM REFR(P/CP/FE)12SH	-	Research and Development Department, Air Force	4/18/2006	4/20/2006	MCCHORD AFB, WA	1	2120	92089.htm
Argentina	IMET - FY 2006 DoS Training	C-130 SIM REFR(P/CP/FE)12SH	-	I Air Brigade, El Palomar, Air Force	5/16/2006	5/18/2006	MCCHORD AFB, WA	3	6360	92089.htm
Argentina	IMET - FY 2006 DoS Training	C-130 SIM REFR(P/CP/FE)12SH	-	I Air Brigade, El Palomar, Air Force	6/15/2006	6/17/2006	MCCHORD AFB, WA	3	6360	92089.htm
Argentina	IMET - FY 2006 DoS Training	COMB STRAT INTEL TNG PRGM	-	Military Joint Intelligence Institute	9/26/2005	11/10/2005	WASHINGTON, DC	1	8516	92089.htm
Argentina	IMET - FY 2006 DoS Training	COMBAT CASUALTY CARE	-	Mar del Plata Naval Base	9/7/2006	9/15/2006	FORT SAM HOUSTON, TX	1	2067	92089.htm
Argentina	IMET - FY 2006 DoS Training	COMBAT CASUALTY CARE	-	Naval Accademy	9/7/2006	9/15/2006	FORT SAM HOUSTON, TX	1	2067	92089.htm
Argentina	IMET - FY 2006 DoS Training	COMBAT CASUALTY CARE	-	Punta Indio Naval Aviation Base	9/7/2006	9/15/2006	FORT SAM HOUSTON, TX	1	2067	92089.htm
Argentina	IMET - FY 2006 DoS Training	COMMAND & STAFF COLL USMC	-	Naval Infantry Command	7/18/2005	6/7/2006	QUANTICO, VA	1	19781	92089.htm
Argentina	IMET - FY 2006 DoS Training	DEF RES MGT CRS	-	Plans and Budget Argentine Navy	8/21/2006	9/15/2006	MONTEREY, CA	1	9839	92089.htm
Argentina	IMET - FY 2006 DoS Training	DEF RES MGT CRS	-	Doctrine Department, J III - Planning, Air Force	8/21/2006	9/15/2006	MONTEREY, CA	1	9839	92089.htm
Argentina	IMET - FY 2006 DoS Training	DEF RES MGT CRS	-	Plans and Budget Argentine Navy	8/21/2006	9/15/2006	MONTEREY, CA	1	9839	92089.htm
Argentina	IMET - FY 2006 DoS Training	DISAM FOREIGN PURCHASER	-	Liaison Office at Wright Patterson AFB, Air Force	10/24/2005	11/4/2005	WRIGHT-PATTERSON AFB OH	1	1250	92089.htm
