country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Afghanistan	ALP - FY 2009 DoD Training	ALC ALP SCHOLARSHIP	US unit not specified in 2009-2010 report	Afghanistan Air Force	10/27/2008	3/13/2009	DLIELC, LACKLAND AFB TX	1	10610 	156001
Afghanistan	ALP - FY 2009 DoD Training	ORAL PROF AV ALP SCHLRSHP	US unit not specified in 2009-2010 report	Afghanistan Air Force	3/16/2009	8/14/2009	DLIELC, LACKLAND AFB TX	1	8281 	156001
Afghanistan	ALP - FY 2009 DoD Training	T-6 ALP SCHOLARSHIP	US unit not specified in 2009-2010 report	Air Corps	7/23/2008	7/2/2009	VARIOUS	1	21244 	156001
Afghanistan	ALP - FY 2009 DoD Training	FY 2009 Program Totals	US unit not specified in 2009-2010 report					3	$40,135 	156001
Afghanistan	CTFP - FY 2009 DoD Training	Afghanistan-Pakistan Confidence Building Seminar V	US unit not specified in 2009-2010 report	MOD Operation	3/16/2009 3/27/2009		NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	14000 	156001
Afghanistan	CTFP - FY 2009 DoD Training	Afghanistan-Pakistan Confidence Building Seminar V	US unit not specified in 2009-2010 report	Operation Department	3/16/2009 3/27/2009		NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	14000 	156001
Afghanistan	CTFP - FY 2009 DoD Training	Afghanistan-Pakistan Confidence Building Seminar V	US unit not specified in 2009-2010 report	MOD Intel Department	3/16/2009 3/27/2009		NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	14000 	156001
Afghanistan	CTFP - FY 2009 DoD Training	Afghanistan-Pakistan Confidence Building Seminar V	US unit not specified in 2009-2010 report	Intelligence Department		3/27/2009	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	14000 3/16/2009 	156001
Afghanistan	CTFP - FY 2009 DoD Training	ARMY WAR COLLEGE (RESIDENT COURSE)	US unit not specified in 2009-2010 report	MOD IG	8/4/2008	6/6/2009	ARMY WAR COLLEGE	1	59822 	156001
Afghanistan	CTFP - FY 2009 DoD Training	COMBATING TERRORISM EXECUTIVE SEMINAR (MID-LEVEL)	US unit not specified in 2009-2010 report	Ministry of Interior	6/16/2009 7/2/2009		NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	9000 	156001
Afghanistan	CTFP - FY 2009 DoD Training	COMBATING TERRORISM EXECUTIVE SEMINAR (MID-LEVEL)	US unit not specified in 2009-2010 report	Ministry of Interior	6/16/2009 7/2/2009		NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	9000 	156001
Afghanistan	CTFP - FY 2009 DoD Training	COMBATING TERRORISM LANGUAGE PROGRAM	US unit not specified in 2009-2010 report	President Protection Service	1/13/2009	2/13/2009	MARSHALL CENTER	1	5450 	156001
Afghanistan	CTFP - FY 2009 DoD Training	COMBATING TERRORISM LANGUAGE PROGRAM	US unit not specified in 2009-2010 report	President Protection Service	5/26/2009	6/26/2009	MARSHALL CENTER	1	5450 	156001
Afghanistan	CTFP - FY 2009 DoD Training	COMBATING TERRORISM LANGUAGE PROGRAM	US unit not specified in 2009-2010 report		5/26/2009	6/26/2009	MARSHALL CENTER Counter	1	5450 	156001
Afghanistan	CTFP - FY 2009 DoD Training	COMBATING TERRORISM LANGUAGE PROGRAM	US unit not specified in 2009-2010 report	Parliament	8/25/2009	9/25/2009	MARSHALL CENTER	1	5450 	156001
Afghanistan	CTFP - FY 2009 DoD Training	COMBATING TERRORISM LANGUAGE PROGRAM	US unit not specified in 2009-2010 report	Presidential Protection Service	8/25/2009	9/25/2009	MARSHALL CENTER	1	5450 	156001
Afghanistan	CTFP - FY 2009 DoD Training	ENGLISH LANGUAGE CRSE	US unit not specified in 2009-2010 report	Reserve Forces	1/19/2009	6/12/2009	DLIELC, LACKLAND AFB TX	1	20159 	156001
