country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	699 Special Operations -MS	NAVAL POSTGRADUATE SCHOOL MONTEREY CA	Algerian Land Forces	7/5/2011	9/30/2012	MONTEREY, CA	1	$138,094 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	American Language CRS General English Training Only	DLIELC, LACKLAND AFB TX	Algerian Naval Special Forces	2/20/2012	3/23/2012	DLIELC, LACKLAND AFB TX	1	$8,980 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	American Language CRS General English Training Only	DLIELC, LACKLAND AFB TX	Algerian Intelligence & Security Department	7/2/2012	9/14/2012	DLIELC, LACKLAND AFB TX	1	$16,720 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	American Language CRS General English Training Only	DLIELC, LACKLAND AFB TX	National Security Department	7/30/2012	9/7/2012	DLIELC, LACKLAND AFB TX	1	$11,060 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	CIV-MIL RESP to Terrorism	CENTER FOR CIVIL-MILITARY RELATIONS MONTEREY CA	National Security Department	9/10/2012	9/21/2012	CIVIL-MILITARY RELATIONS NPS CENTER FOR MONTEREY CA	1	$9,534 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	Combating Weapons of Mass Destruction & Terrorism	NESA	Ministry of Defense	5/7/2012	5/23/2012	Washington, DC, United States	1	$10,015 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	Countering Narcotics and the Illicit Commons	ACSS	Ministry of Interior and Local Goverments	2/13/2012	2/17/2012	Washington, DC, United States	1	$4,645 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	Countering Narcotics and the Illicit Commons	ACSS	Ministry of National Defense	2/13/2012	2/17/2012	Washington, DC, United States	1	$4,645 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	CTFP Homeland Defense Short Course	NATIONAL DEFENSE UNIVERSITY	Algerian Land Froces Command	9/6/2011	12/9/2011	NATIONAL DEFENSE UNIVERSITY	1	$43,434 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	International Anti-Terrorism/ANTI Piracy (IATP)	NETSAFA INTERNATIONAL TRAINING CENTER PENSACOLA FL	Algerian Navy	8/7/2012	8/24/2012	NETSAFA INTERNATIONAL TRAINING CENTER PENSACOLA FL	1	$7,724 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	International Counter Terrorism Fellows Program (PREP)	NATIONAL DEFENSE UNIVERSITY	104eme RMO	7/16/2012	8/20/2012	NATIONAL DEFENSE UNIVERSITY	1	$30,244 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	International Officer Tactical Intelligence	INTELLIGENCE SCHOOL	Intelligence and Security Department	8/13/2012	9/24/2012	INTELLIGENCE SCHOOL	1	$19,911 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	INTL Crisis CMD/CTRL	COGARD TRAINING CENTER YORKTOWN VA	Algerian Military Medical Department	7/9/2012	7/20/2012	COGARD TRAINING CENTER YORKTOWN VA	1	$8,263 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	NESA Executive Seminar 02-12	NESA	Ministry of National Defense	4/24/2012	5/8/2012	Washington, DC, United States	2	$22,300 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	NESA Senior Executive Seminar 01-12	NESA	Ministry of National Defense	2/6/2012	2/17/2012	Washington, DC, United States	1	$7,042 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	Next Generation of African Security Sector Leaders	ACSS	Ministry of National Defense	3/11/2012	3/30/2012	Washington, DC, United States	2	$30,682 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	Seminar on CBT WMD (SCWMD/T)	MARSHALL CENTER	UnderSecretary of Defense Office	3/2/2012	3/16/2012	MARSHALL CENTER	1	$2,500 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	Seminar on Combating Weapons of Mass Destruction and Terrorism	MC	Analysis and Studies Office	3/2/2012	3/16/2012	Garmisch-Partenkirchen, Germany	1	$3,433 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	Senior Executive Seminar (SES)	MARSHALL CENTER	Intelligence & Security Department	1/17/2012	1/27/2012	MARSHALL CENTER	1	$3,450 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	Senior Executive Seminar (SES) 12-01	MC	Analysis and Studies Office	1/17/2012	1/27/2012	Garmisch-Partenkirchen, Germany	1	$2,532 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	Senior Executive Seminar (SES) 12-01	MC	National Public Security Director	1/17/2012	1/27/2012	Garmisch-Partenkirchen, Germany	1	$2,658 	213466
Algeria	CTFP - Fiscal Year 2012 Department of Defense Training	Senior Leaders Seminar	ACSS	Ministry of National Defense	6/17/2012	6/29/2012	Washington, DC, United States	1	$9,421 	213466
