country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	ACSC Preparatory Course	Maxwell AFB, AL	Angola Air Force	6/4/2018	7/26/2018	Maxwell AFB, AL, US	1	$13,841 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	Advanced Language Proficiency Skills II (ALPS II)	DLIELC, Lackland AFB TX	Air Force Language Center	12/25/2017	3/16/2018	Lackland AFB, TX, US	1	$18,227 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	Advanced Language Proficiency Skills II (ALPS II)	DLIELC, Lackland AFB TX	Centros De Linguas	12/25/2017	3/16/2018	Lackland AFB, TX, US	1	$24,881 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	American Language Course General English Training Only	DLIELC, Lackland AFB TX	Army Academy	11/20/2017	3/2/2018	Lackland AFB, TX, US	1	$29,441 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	American Language Course General English Training Only	DLIELC, Lackland AFB TX	Angola Air Force	2/12/2018	5/25/2018	Lackland AFB, TX, US	1	$29,876 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	American Language Course General English Training Only	DLIELC, Lackland AFB TX	Angola Military Health Services	4/23/2018	6/8/2018	Lackland AFB, TX, US	1	$17,269 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	American Language Course General English Training Only	DLIELC, Lackland AFB TX	General Staff Health Post	4/23/2018	6/8/2018	Lackland AFB, TX, US	1	$17,269 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	American Language Course General English Training Only	DLIELC, Lackland AFB TX	Ministry Of Veterans Affairs	6/11/2018	8/3/2018	Lackland AFB, TX, US	1	$20,042 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	American Language Course GET And SET	DLIELC, Lackland AFB TX	Navy - Angolan Armed Force	2/5/2018	3/16/2018	Lackland AFB, TX, US	1	$15,918 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	Basic American Language Instructor Course (BALIC)	DLIELC, Lackland AFB TX	Angola Air Force Academy	9/11/2017	3/16/2018	Lackland AFB, TX, US	1	$40,624 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	Basic American Language Instructor Course (BALIC)	DLIELC, Lackland AFB TX	Technical Military School-ISTM	9/11/2017	3/16/2018	Lackland AFB, TX, US	1	$33,442 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	Basic American Language Instructor Course (BALIC)	DLIELC, Lackland AFB TX	Army Academy	3/5/2018	9/7/2018	Lackland AFB, TX, US	1	$40,636 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	EXEC Health Care RES Management Course	Defense INST. For MED. Operations (DIMO), Lackland A	Angola Military Health Services	6/11/2018	6/22/2018	San Antonio, TX, US	1	$3,802 	FMT_Volume-I_FY2018_2019
Angola	IMET-1 - Fiscal Year 2018 Department of State Training	EXEC Health Care RES Management Course	Defense INST. For MED. Operations (DIMO), Lackland A	General Staff Health Post	6/11/2018	6/22/2018	San Antonio, TX, US	1	$3,802 	FMT_Volume-I_FY2018_2019
