country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Angola	DOD Africa Region, Angola, DoD Regional Centers for Strategic Studies,FY03	Senior Leader Seminar	OSD, Joint Staff, NDU, USCENTCOM, MARFOREUR, FSI, COEDMHA	Ministry of Defense/Ministry of Foreign Affairs	2/24/2003	3/7/2003	Addis Ababa, Ethiopia	2	$26,213	34329
Angola	DOS Africa Region, Angola, International Military Education and Training (IMET),FY03	REG HLTH RES MGMT PRG PH I		Military Hospital, Ministry of Health, HIV/AIDS Clinic Cajueiros	7/15/2003	7/19/2003	VARIOUS	42	$7,906	34329
Benin	DOD Africa Region, Benin, DoD Regional Centers for Strategic Studies,FY03	Senior Leader Seminar	OSD, Joint Staff, NDU, USCENTCOM, MARFOREUR, FSI, COEDMHA	Ministry of Defense/Ministry of Foreign Affairs	2/24/2003	3/7/2003	Addis Ababa, Ethiopia	2	$26,625	34329
Benin	DOD Africa Region, Benin, DoD Regional Centers for Strategic Studies,FY03	West Africa Ministerial	DOS, USEUCOM, SOCEUR, USAID	Ministry of Defense/Ministry of Foreign Affairs	7/22/2003	7/23/2003	Dakar SK	3	$33,660	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	AIR COMD & STAFF COLLEGE		Air Force Command	8/8/2002	6/10/2003	MAXWELL AFB, AL 36112-6323	1	$25,393	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	AMERICAN LANGUAGE COURSE		Air Force	7/7/2003	7/25/2003	LACKLAND AFB, TX 78236	1	$6,460	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	AMERICAN LANGUAGE COURSE		Air Force	7/7/2003	8/22/2003	LACKLAND AFB, TX 78236	1	$8,752	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	AMERICAN LANGUAGE CRS(ALC)		Navy Command	5/19/2003	9/19/2003	LACKLAND AFB, TX 78236-5259	1	$15,342	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	CIV-MIL SID - AFRICA		Ministry of Defense	10/21/2002	11/1/2002	HURLBURT FIELD, FL 32544-5826	1	$6,256	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	CIV-MIL SID - AFRICA		Ministry of Foreign Affairs	10/21/2002	11/1/2002	HURLBURT FIELD, FL 32544-5826	1	$6,256	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	COMBINED LOG CCC-QM		Armies HQ Cot	9/17/2002	10/22/2002	FT LEE VA 23801-1509	1	$4,135	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	COMBINED LOG CPT CAREER		Armies HQ Cot	10/28/2002	12/12/2002	FT LEE VA 23801-1705	1	$4,933	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	ENGLISH LANGUAGE CRSE		Ground Forces Army	7/7/2003	7/18/2003	SAN ANTONIO TX 78236-5259	1	$5,653	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	ENGLISH LANGUAGE CRSE		Presidency	2/10/2003	6/27/2003	SAN ANTONIO TX 78236-5259	1	$14,673	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	ENGLISH LANGUAGE CRSE		Armies HQ Cot	10/14/2002	2/28/2003	SAN ANTONIO TX 78236-5259	1	$1,358	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	ENGLISH LANGUAGE CRSE		Ground Forces Army	12/23/2002	3/14/2003	SAN ANTONIO TX 78236-5259	1	$9,664	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	ENGLISH LANGUAGE CRSE		Naval Command	7/7/2003	8/8/2003	SAN ANTONIO TX 78236-5259	1	$7,162	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	ENGLISH LANGUAGE CRSE		National Gendarmaig	3/24/2003	5/27/2003	SAN ANTONIO TX 78236-5259	1	$1,358	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	INFANTRY CAPTS CAREER CRS		Armies HQ. Cot	8/5/2002	12/19/2002	FT BENNING GA 31905-5468	1	$13,564	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	INFANTRY OFFICER BASIC		Armies HQ Cot	3/24/2003	7/16/2003	FT BENNING GA 31905-5468	1	$14,000	34329
Benin	DOS Africa Region, Benin, International Military Education and Training (IMET),FY03	INT'L OFF PREP-INF CCC		Ground Forces Army	7/28/2003	8/1/2003	FT BENNING GA 31905-5468	1	$1,102	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	INTL OFF SCH & SOS		Armies HQ Cot	9/16/2002	12/11/2002	MAXWELL AFB, AL 36112-6323	1	$2,095	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	INTL OFF SCH & SOS		Presidency	4/7/2003	6/27/2003	MAXWELL AFB, AL 36112-6323	1	$13,310	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	LANGUAGE INSTRUCTOR/BASIC		Air Force	6/3/2002	12/6/2002	LACKLAND AFB, TX 78236	1	$19,226	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	MANAGING ENG LANG TNG(MELT		Armies HQ	8/19/2002	10/11/2002	LACKLAND AFB, TX 78236	1	$8,983	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	MET DIILS SEMINARS		Navy	6/16/2003	6/20/2003		30	$47,740	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	MET DRMI (MIDMC) REGIONAL		Ministry of Defense	1/13/2003	1/24/2003		1	$4,427	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	MET DRMI (MIDMC) REGIONAL		Ministry of Defense	1/13/2003	1/24/2003		1	$4,427	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	MET DRMI (MIDMC) REGIONAL		Ministry of Defense	1/13/2003	1/24/2003		1	$4,427	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	MET DRMI (MIDMC) REGIONAL		Ministry of Defense	1/13/2003	1/24/2003		1	$4,427	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	MET REGIONAL DIILS		Ministry of Defense	3/17/2003	3/21/2003		1	$2,467	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	MET REGIONAL DIILS		Ministry of Defense	3/17/2003	3/21/2003		1	$2,467	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	MET REGIONAL DIILS		Ministry of Defense	3/17/2003	3/21/2003		1	$2,467	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	SF QUAL (COLLECTIVE TNG)		Armies HQ Cot	1/25/2003	3/7/2003	FT BRAGG NC 28310	1	$4,584	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	SF QUAL (SF DET OFF)		Armies HQ Cot	9/30/2002	1/24/2003	FT BRAGG NC 28310	1	$9,054	34329
Benin	Africa Region, Benin, International Military Education and Training (IMET), FY03	SPECIALIZED ENG LANG TNG		Presidency	1/27/2003	3/28/2003	LACKLAND AFB, TX 78236	1	$11,234	34329
Botswana	DOD Africa Region, Botswana, Aviation Leadership Program,FY03	ORAL PROF AV ALP SCHLRSHP		AIR ARM 7 SQN	9/16/2002	3/7/2003	LACKLAND AFB, TX 78236	1	$9,633	34329
Botswana	DOD Africa Region, Botswana, DoD Regional Centers for Strategic Studies,FY03	Senior Leader Seminar	OSD, Joint Staff, NDU, USCENTCOM, MARFOREUR, FSI, COEDMHA	Ministry of Defense/Ministry of Foreign Affairs	2/24/2003	3/7/2003	Addis Ababa, Ethiopia	2	$24,662	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	ADA OFF BASIC		AIR DEFENCE ARTY REGIMENT	9/3/2002	11/13/2002	FT BLISS TX 79916-1001	1	$9,416	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	AIR COMD & STAFF COLLEGE		AIR ARM	8/8/2002	6/10/2003	MAXWELL AFB, AL 36112-6323	1	$25,346	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	AIR DEF ARTY CAPT CAREER		AIR DEFENCE	5/9/2003	9/16/2003	FT BLISS TX 79916-1001	1	$13,110	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	AIRFIELD MANAGEMENT APR		Air Defense Unit	7/24/2003	9/3/2003	KEESLER AFB, MS 39534-2354	1	$3,215	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	ARCRFT STRUCT MAINT APPR		AIR ARM	5/22/2003	9/16/2003	PENSACOLA, FL 32508-5142	1	$11,190	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	ARMOR CAPTAINS CAREER		205 ARMOURED REGIMENT	1/16/2003	5/23/2003	FT KNOX KY 40121-5234	1	$12,584	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	ARMOR CPT CAREER CRS PREP		205 ARMOURED REGIMENT	12/9/2002	1/10/2003	FT KNOX KY 40121-5234	1	$6,811	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	BASIC INSTRUCTOR COURSE		AIR ARM	6/18/2003	7/23/2003	SHEPPARD AFB TX 76311-2367	1	$5,960	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	CCC INTERNATION ENGR PREP		80 COMBAT ENGINEERS REGIMET	4/28/2003	5/9/2003	FT LEONARD WOOD MO 65473-5000	1	$4,565	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	CCC INTERNATION ENGR PREP		C.O.E/HQ	7/28/2003	8/8/2003	FT LEONARD WOOD MO 65473-5000	1	$4,565	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	CCMR EXEC PRGM IN DEC MK		HQ FINANCE BRANCH	6/9/2003	6/20/2003	MONTEREY, CA 93943-5001	1	$7,828	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	CIVIL AFFAIRS		COMMANDO UNIT	1/6/2003	2/4/2003	FT BRAGG NC 28310	1	$6,305	34329
Botswana	DOS Africa Region, Botswana, International Military Education and Training (IMET),FY03	CIV-MIL SID - AFRICA		INFANTRY	10/21/2002	11/1/2002	HURLBURT FIELD, FL 32544-5826	1	$5,120	34329
Botswana	Africa Region, Botswana, International Military Education and Training (IMET), FY03	CIV-MIL SID - AFRICA		INFANTRY	10/21/2002	11/1/2002	HURLBURT FIELD, FL 32544-5826	1	$5,120	34329
Botswana	Africa Region, Botswana, International Military Education and Training (IMET), FY03	CMD & GEN STAFF OFF PREP		AGRICULTURE AND CATERING	7/14/2003	8/15/2003	FT LEAVENWORTH KS 66027-1352	1	$3,804	34329
Botswana	Africa Region, Botswana, International Military Education and Training (IMET), FY03	COMBINED LOG CCC-QM		CORPS OF ARMAMENT SERVICE (CAS)	6/16/2003	7/21/2003	FT LEE VA 23801-1509	1	$4,358	34329
Botswana	Africa Region, Botswana, International Military Education and Training (IMET), FY03	COMBINED LOG CCC-TRANS		ARMOUR BDE HQ	11/6/2002	12/12/2002	FT EUSTIS VA 23604-5481	1	$4,816	34329
