country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Afghanistan	DOS South Asia Region, Afghanistan, Credit (Repayable),FY03	Afghan National Army	10th Mountain Division	10th Battalion	5/24/2003	7/31/2003	Kubul Military Training Center	609	$1,400,000	34337
Afghanistan	DOS South Asia Region, Afghanistan, Credit (Repayable),FY03	Afghan National Army	SF 5/19	8th Battalion	3/5/2003	5/10/2003	Kabul Military Training Center	635	$1,400,000	34337
Afghanistan	DOS South Asia Region, Afghanistan, Credit (Repayable),FY03	Afghan National Army	SF 5/19	7th Battalion	1/18/2003	3/27/2003	Kabul Military Training Center	603	$1,400,000	34337
Afghanistan	DOS South Asia Region, Afghanistan, Credit (Repayable),FY03	Afghan National Army	SF 5/19	9th Battalion	4/4/2003	6/12/2003	Kabul Military Training Center	595	$1,400,000	34337
Afghanistan	DOS South Asia Region, Afghanistan, Credit (Repayable),FY03	Afghan National Army	10th Mountain Division	11th Battalioin	7/19/2003	9/29/2003	Kabul Military Training Center	683	$1,400,000	34337
Afghanistan	DOS South Asia Region, Afghanistan, Credit (Repayable),FY03	Afghan National Army (	SF 5/19	6th Battalion	11/30/2002	2/9/2003	Kabul Military Training Center	595	$1,400,000	34337
Afghanistan	DOD South Asia Region, Afghanistan, DoD Regional Centers for Strategic Studies,FY03	Executive Seminar ES 01-03		Army (open to all branches)	10/15/2002	11/1/2002	Near East South Asia Center (NESA)	5	$22,327	34337
Afghanistan	DOD South Asia Region, Afghanistan, DoD Regional Centers for Strategic Studies,FY03	Executive Seminar ES 02-03		Interior Ministry, Foreign Ministry, Air Force (open to all branches)	1/27/2003	2/14/2003	Near East South Asia Center (NESA)	3	$22,161	34337
Afghanistan	DOD South Asia Region, Afghanistan, DoD Regional Centers for Strategic Studies,FY03	Executive Seminar ES 03-03		Foreign Ministry (open to all branches)	4/28/2003	5/16/2003	Near East South Asia Center (NESA)	1	$7,536	34337
Afghanistan	DOD South Asia Region, Afghanistan, DoD Regional Centers for Strategic Studies,FY03	Executive Seminar ES 04-03		Foreign Ministry (open to all branches)	7/14/2003	8/1/2003	Near East South Asia Center (NESA)	2	$14,354	34337
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET),FY03	CMD & GEN STAFF OFF PREP		Afghanistan National Army	7/14/2003	8/15/2003	FT LEAVENWORTH KS 66027-1352	1	$3,804	34337
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET),FY03	INTERNATIONAL OFFICER PREP		Afghanistan National Army	6/24/2003	7/11/2003	FT LEAVENWORTH KS 66027-1352	1	$6,072	34337
