country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	cost	source
Brunei	Regional Centers - FY 2006 DoD Training	Senior Executive Course 05-3	-	Ministry of Defense	12/12/2005	12/16/2005	Asia-Pacific Center for Security Studies	1	6524	92085.htm
Brunei	Regional Centers - FY 2006 DoD Training	Senior Executive Course 06-1	-	Royal Brunei Navy	5/1/2006	5/5/2006	Asia-Pacific Center for Security Studies	1	2127	92085.htm
Brunei	Regional Centers - FY 2006 DoD Training	Senior Executive Course 06-2	-	Ministry of Defence	7/24/2006	7/28/2006	Asia-Pacific Center for Security Studies	1	4409	92085.htm
Cambodia	CTFP - FY 2006 DoD Training	CIV-MIL RESP TO TERRORISM	-	Cambodia Intelligence and Research Dir.	9/11/2006	9/22/2006	MONTEREY, CA	1	10173	92085.htm
Cambodia	CTFP - FY 2006 DoD Training	MTT CT - LEGAL ASPECTS	-	Ministry of Justice Ministry of Foreign Affairs and Cooperation 911 Airborne Brigade Ministry of National Defense Military Court Ministry of National Defense Judge Office Ministry of Na	2/27/2006	3/3/2006	KAMPUCHEA (CAMBODIA)	69	39004	92085.htm
Cambodia	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	Immigration	3/20/2006	4/7/2006	BDG	1	5586	92085.htm
Cambodia	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	Army/Special Forces	5/22/2006	5/26/2006	BDI	1	1	92085.htm
Cambodia	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	National Police	5/22/2006	5/26/2006	BDI	1	1	92085.htm
Cambodia	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	Royal Gendarmerie	8/25/2006	9/15/2006	BDG	1	1	92085.htm
Cambodia	CTFP - FY 2006 DoD Training	REGIONAL CENTERS SEMINARS	-	Department of Anti-Terrorism, Ministry of Interior	8/25/2006	9/15/2006	BDG	1	1	92085.htm
