country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	INTERNATIONAL COUNTERTERRORISM FELLOWS PROGRAM	US unit not specified in 2010-2011 report	J-2 DIRECTORATE	7/20/2009	6/25/2010	NATIONAL DEFENSE UNIVERSITY	1	175186 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	LEGAL ASPECTS CMBTERRORISM	US unit not specified in 2010-2011 report	MINISTRY OF JUSTICE, TIRANA	3/15/2010	4/2/2010	NEWPORT, RI	1	13239 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	PROGRAM ON ADVANCED SECURITY STUDIES	US unit not specified in 2010-2011 report	STATE INTELL SERVICE	9/25/2009	12/18/2009	MARSHALL CENTER	1	11700 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	PROGRAM ON ADVANCED SECURITY STUDIES	US unit not specified in 2010-2011 report	ENGINIER CONSTRUCTION BATTALION	9/25/2009	12/18/2009	MARSHALL CENTER	1	11700 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	PROGRAM ON ADVANCED SECURITY STUDIES	US unit not specified in 2010-2011 report	SIGNAL BATTALION	9/25/2009	12/18/2009	MARSHALL CENTER	1	11700 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	PROGRAM ON ADVANCED SECURITY STUDIES	US unit not specified in 2010-2011 report	TRANSPORTATION BATTALION	9/25/2009	12/18/2009	MARSHALL CENTER	1	11700 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	PROGRAM ON TERRORISM SECURITY STUDIES (PTSS)	US unit not specified in 2010-2011 report	MILITARY INTELL SERVICE	2/12/2010	3/19/2010	MARSHALL CENTER	1	9350 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	PROGRAM ON TERRORISM SECURITY STUDIES (PTSS)	US unit not specified in 2010-2011 report	MINISSTRY OF JUSTICE, TIRANA, ALBANIA	6/25/2010	7/30/2010	MARSHALL CENTER	1	9350 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	SEMINAR ON TRANSATLANTIC CIVIL SECURITY (STACS)	US unit not specified in 2010-2011 report	J-5, GENERAL STAFF	2/2/2010	2/24/2010	MARSHALL CENTER	1	6000 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	SEMINAR ON TRANSATLANTIC CIVIL SECURITY (STACS)	US unit not specified in 2010-2011 report	GENERAL STAFF, TIRANA	6/8/2010	6/30/2010	MARSHALL CENTER	1	6000 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	SENIOR EXECUTIVE SEMINAR (SES)	US unit not specified in 2010-2011 report	MINISTRY OF DEFENSE, TIRANA	9/8/2010	9/16/2010	MARSHALL CENTER	1	3550 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	SPEC/OPS COMBATING TERRORISM	US unit not specified in 2010-2011 report	MILITARY INTELLEGENCE SERVICE, TIRANA	8/23/2010	9/3/2010	HURLBURT FIELD, FL	1	11025 	171511
Albania	CTFP - Fiscal Year 2010 Department of Defense Training	Fiscal Year 2010 Program Totals	US unit not specified in 2010-2011 report					12	$280,500 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	BOARDING OFF BASIC EIMET	US unit not specified in 2010-2011 report	BORDER POLICE, VLORE	7/19/2010	8/6/2010	USCG MARITIME LAW ENFORCEMENT ACAD FLETC CHARLESTON	1	4124 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	BOARDING OFF BASIC EIMET	US unit not specified in 2010-2011 report	NORTHERN FLOTILLA, DURRES	7/19/2010	8/6/2010	USCG MARITIME LAW ENFORCEMENT ACAD FLETC CHARLESTON	1	4124 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	INTL MARITIME OFF	US unit not specified in 2010-2011 report	SAUTHERN FLOTILLA, PASHALIMAN, VLORE	8/31/2009	12/4/2009	COGARD TRAINING CENTER YORKTOWN VA	1	17390 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	INTL MARITIME OFF	US unit not specified in 2010-2011 report	NORTHERN FLOTILLA, DURRES	8/31/2009	12/4/2009	COGARD TRAINING CENTER YORKTOWN VA	1	17390 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	INTL MARITIME OFF	US unit not specified in 2010-2011 report	SOUTH FLOTILLA, VLORE	3/15/2010	6/25/2010	COGARD TRAINING CENTER YORKTOWN VA	1	12066 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	INTL MARITIME OFF	US unit not specified in 2010-2011 report	NOTHFLOTILLA, DURRES	3/15/2010	6/25/2010	COGARD TRAINING CENTER YORKTOWN VA	1	12066 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	MET MLE BOARDING OFF ADV	US unit not specified in 2010-2011 report	SOUTHERN FLOTILLA, VLORA	5/24/2010	6/4/2010	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	MET MLE BOARDING OFF ADV	US unit not specified in 2010-2011 report	RENEA, TIRANA	5/24/2010	6/4/2010	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	MET MLE BOARDING OFF ADV	US unit not specified in 2010-2011 report	SOUTHERN FLOTILLA, VLORA	5/24/2010	6/4/2010	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	MET MLE BOARDING OFF ADV	US unit not specified in 2010-2011 report	DELTA FORCE, VLORA	5/24/2010	6/4/2010	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	MET MLE BOARDING OFF ADV	US unit not specified in 2010-2011 report	DELTA FORCE, VLORA	5/24/2010	6/4/2010	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	171511
Albania	DOHS/USCG - Fiscal Year 2010 Department of Homeland Security Training	MET MLE BOARDING OFF ADV	US unit not specified in 2010-2011 report	RENEA, TIRANA	5/24/2010	6/4/2010	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	171511
