country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Brunei	GPOI - Fiscal Year 2011 Department of State Training	Pre-deployment Training	N/A - N/A	MALBATT 3	11/29/2010	12/4/2010	Malaysian PTC, Port Dickson, MALAYSIA	11	$143,496 	197611
Brunei	GPOI - Fiscal Year 2011 Department of State Training	Fiscal Year 2011 Program Totals						11	$143,496 	197611
Brunei	Regional Centers - Fiscal Year 2011 Department of Defense Training	Strategic Impact of Media on Crisis Management Workshop	N/A - N/A	Borneo Bulletin, Brunei Press	12/14/2010	12/16/2010	Jarkarta, Indonesia	1	$4,161 	197611
Brunei	Regional Centers - Fiscal Year 2011 Department of Defense Training	Strategic Impact of Media on Crisis Management Workshop	N/A - N/A	Head of Media Services & Public Relations	12/14/2010	12/16/2010	Jarkarta, Indonesia	1	$4,161 	197611
Brunei	Regional Centers - Fiscal Year 2011 Department of Defense Training	Fiscal Year 2011 Program Totals						2	$8,322 	197611
Brunei	Service Academies - Fiscal Year 2011 Department of Defense Training	United States Naval Academy, Academic Year 2010-2011	USNA - N/A		10/1/2010	9/30/2011	USNA	1	$71,148 	197611
Brunei	Service Academies - Fiscal Year 2011 Department of Defense Training	Fiscal Year 2011 Program Totals						1	$71,148 	197611
Cambodia	CTFP - Fiscal Year 2011 Department of Defense Training	COMBATING TERRORISM LANGUAGE PROGRAM (CTLP)	MARSHALL CENTER - N/A	National Counter-Terrorism Committee	5/20/2011	6/23/2011	MARSHALL CENTER	1	$7,875 	197611
Cambodia	CTFP - Fiscal Year 2011 Department of Defense Training	COMPREHENSIVE SECURITY RESPONSES TO TERRORISM	ASIA PACIFIC CTR FOR SECURITY STUDIES - N/A	Gendarmerie Headquarter	2/24/2011	3/25/2011	ASIA PACIFIC CTR FOE SECURITY STUDIES	1	$10,000 	197611
Cambodia	CTFP - Fiscal Year 2011 Department of Defense Training	COMPREHENSIVE SECURITY RESPONSES TO TERRORISM	ASIA PACIFIC CTR FOR SECURITY STUDIES - N/A	National Counter-Terrorism Committee	2/24/2011	3/25/2011	ASIA PACIFIC CTR FOE SECURITY STUDIES	1	$10,000 	197611
Cambodia	CTFP - Fiscal Year 2011 Department of Defense Training	INTERNATIONAL ANTI-TERRORISM/ANTI PIRACY (IATP)	NETSAFA INTERNATIONAL TRAINING CENTER PENSACOLA FL - N/A	Royal Cambodian Navy	2/14/2011	3/10/2011	NETSAFA INTERNATIONAL TRAINING CENTER PENSACOLA FL	1	$8,764 	197611
Cambodia	CTFP - Fiscal Year 2011 Department of Defense Training	INTERNATIONAL BOARDING OFFICER COURSE	ACAD FLETC CHARLESTON - N/A	General Department of Customs and Excises USCG MARITIME LAW ENFORCEMENT	8/29/2011	9/23/2011	USCG MARITIME LAW ENFORCEMENT ACAD FLETC CHARLESTON	1	$14,970 	197611
Cambodia	CTFP - Fiscal Year 2011 Department of Defense Training	INTL INTELL FELLOWS PGM	DEFENSE INTELLIGENCE AGENCY - N/A	Royal Gendarmerie fo Siem Reap Province	8/18/2011	9/2/2011	dEFENSE INTELLIGENCE AGENCY	1	$9,147 	197611
Cambodia	CTFP - Fiscal Year 2011 Department of Defense Training	PROGRAM ON TERRORISM AND SECURITY STUDIES	MARSHALL CENTER - N/A	National Counter-Terrorism Committee	6/24/2011	7/29/2011	MARSHALL CENTER	1	$9,600 	197611
Cambodia	CTFP - Fiscal Year 2011 Department of Defense Training	SEMINAR ON TRANSATLANTIC CIVIL SECURITY (STACS)	MARSHALL CENTER - N/A	National Counter -Terrorism Committee	2/1/2011	2/23/2011	MARSHALL CENTER	1	$6,000 	197611
Cambodia	CTFP - Fiscal Year 2011 Department of Defense Training	SPECIAL OPS COMBTNG TERRORISM	Tampa Florida (JSOU - Joint Spec Ops University) - N/A	Gendarmerie Headquarter	1/24/2011	2/4/2011	DMCDJSFLTA	1	$13,706 	197611
Cambodia	CTFP - Fiscal Year 2011 Department of Defense Training	Fiscal Year 2011 Program Totals						9	$90,062 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	AMERICAN LANGUAGE COURSE GET AND SET	DLIELC, LACKLAND AFB TX - N/A	3rd Platoon, Air Defense Company	10/18/2010	12/24/2010	DLIELC, LACKLAND AFB TX	1	$12,718 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	AMERICAN LANGUAGE COURSE GET AND SET	DLIELC, LACKLAND AFB TX - N/A	National Headquaters of Counter Terrorism Special Forces	5/9/2011	8/19/2011	DLIELC, LACKLAND AFB TX	1	$16,978 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	BASIC ALC INSTRUCTOR COURSE	DLIELC, LACKLAND AFB TX - N/A	Defense University	1/10/2011	7/15/2011	DLIELC, LACKLAND AFB TX	1	$26,179 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	BASIC AMERICAN LANGUAGE INSTRUCTOR COURSE	DLIELC, LACKLAND AFB TX - N/A	NATIONAL DEFENSE UNIVERSITY	5/17/2010	11/19/2010	DLIELC, LACKLAND AFB TX	2	$49,170 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	DLI Tech (Ms. Josephine Nelson)	U.S. Army - N/A	National Counter Terrorsim Special Force	12/1/2010	7/31/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	4	$ 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	DLI Tech (Ms. Josephine Nelson)	U.S. Army - N/A	NDU	12/1/2010	7/31/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	75	$94,750 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	IDNG MTT	U.S. Army - N/A	Brigade 31	2/1/2011	2/19/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	4	$ 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	IDNG MTT	U.S. Army - N/A	Brigade 90	2/1/2011	2/19/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	9	$66,530 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	IDNG MTT	U.S. Army - N/A	Logistic and Finance Dept	2/1/2011	2/19/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	10	$ 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	IDNG MTT	U.S. Army - N/A	Materials and Techniques	2/1/2011	2/19/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	15	$ 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	IDNG MTT	U.S. Army - N/A	National Center for Peacekeeping and ERW Clearance	2/1/2011	2/19/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	5	$ 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	IDNG MTT	U.S. Army - N/A	National Counter Terrorism Security Force	2/1/2011	2/19/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	5	$ 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	IDNG MTT	U.S. Army - N/A	PTU, Material and Techniques	2/1/2011	2/19/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	8	$ 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	IDNG MTT	U.S. Army - N/A	Ream Naval Base	2/1/2011	2/19/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	5	$ 	197611
Cambodia	FMF - Fiscal Year 2011 Department of State Training	IDNG MTT	U.S. Army - N/A	Takeo	2/1/2011	2/19/2011	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	1	$ 	197611
