country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Afghanistan	ALP - Fiscal Year 2011 Department of Defense Training	ALC ALP SCHOLARSHIP	DLIELC, LACKLAND AFB TX - N/A	Army Air Corps	11/30/2009	12/5/2010	DLIELC, LACKLAND AFB TX	1	$30,637 	197614
Afghanistan	ALP - Fiscal Year 2011 Department of Defense Training	ALC ALP SCHOLARSHIP	DLIELC, LACKLAND AFB TX - N/A	MINISTRYT OF DEFENSE	10/18/2010	12/5/2010	DLIELC, LACKLAND AFB TX	1	$10,084 	197614
Afghanistan	ALP - Fiscal Year 2011 Department of Defense Training	INTRO FLT TRNG/ALP	COLUMBUS AFB MS - N/A	Army Air Corps	2/14/2011	4/29/2011	COLOMBUS AFB MS	1	$8,387 	197614
Afghanistan	ALP - Fiscal Year 2011 Department of Defense Training	INTRO FLT TRNG/ALP	COLUMBUS AFB MS - N/A	MINISTRYT OF DEFENSE	3/21/2011	5/21/2011	COLOMBUS AFB MS	1	$6,343 	197614
Afghanistan	ALP - Fiscal Year 2011 Department of Defense Training	ORAL PROF AV ALP SCHLRSHP	DLIELC, LACKLAND AFB TX - N/A	Army Air Corps	12/6/2010	2/5/2011	DLIELC, LACKLAND AFB TX	1	$4,307 	197614
Afghanistan	ALP - Fiscal Year 2011 Department of Defense Training	ORAL PROF AV ALP SCHLRSHP	DLIELC, LACKLAND AFB TX - N/A	MINISTRYT OF DEFENSE	12/6/2010	3/18/2011	DLIELC, LACKLAND AFB TX	1	$6,738 	197614
Afghanistan	ALP - Fiscal Year 2011 Department of Defense Training	T-6 ALP SCHOLARSHIP	COLUMBUS AFB MS - N/A	Afghanistan Air Force	10/27/2009	11/22/2010	COLOMBUS AFB MS	1	$37,290 	197614
Afghanistan	ALP - Fiscal Year 2011 Department of Defense Training	Fiscal Year 2011 Program Totals						7	$103,786 	197614
Afghanistan	CTFP - Fiscal Year 2011 Department of Defense Training	AF/PK CONFIDENCE BUILDING SEMINAR	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU) - N/A	Ministry of Defense	3/14/2011	3/25/2011	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	$11,282 	197614
Afghanistan	CTFP - Fiscal Year 2011 Department of Defense Training	AF/PK CONFIDENCE BUILDING SEMINAR	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU) - N/A	Ministry of Interior	3/14/2011	3/25/2011	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	3	$33,846 	197614
Afghanistan	CTFP - Fiscal Year 2011 Department of Defense Training	AF/PK CONFIDENCE BUILDING SEMINAR	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU) - N/A	MoFA	3/14/2011	3/25/2011	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	2	$22,564 	197614
Afghanistan	CTFP - Fiscal Year 2011 Department of Defense Training	AMERICAN LANGUAGE COURSE GET AND SET	DLIELC, LACKLAND AFB TX - N/A	MINISTRY OF DEFENSE	3/14/2011	7/8/2011	DLIELC, LACKLAND AFB TX	1	$19,322 	197614
Afghanistan	CTFP - Fiscal Year 2011 Department of Defense Training	AMERICAN LANGUAGE COURSE GET AND SET	DLIELC, LACKLAND AFB TX - N/A	MINISTRY OF DEFENSE	6/13/2011	8/19/2011	DLIELC, LACKLAND AFB TX	1	$13,238 	197614
Afghanistan	CTFP - Fiscal Year 2011 Department of Defense Training	COMBATING TERRORISM EXECUTIVE SEMINAR - MID LEVEL	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU) - N/A	MINISTRY OF INTERIOR	1/18/2011	2/2/2011	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	$9,000 	197614
