country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	BOATSWAINS MATE A	COGARD TRAINING CENTER YORKTOWN VA - N/A	Antigua and Barbuda Coast Guard	11/15/2010	2/18/2011	COGARD TRAINING CENTER YORKTOWN VA	1	$7,744 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	CHIEF PETTY OFFICER ACAD	US COAST GUARD TRAINING CENTER PETALUMA CA - N/A	Antigua and Barbuda Coast Guard	6/27/2011	7/29/2011	US COAST GUARD TRAINING CENTER PETALUMA CA	1	$8,732 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	ENGINEERING PETTY OFFICER ADMIN ASHORE	COGARD TRAINING CENTER YORKTOWN VA - N/A	ANTIGUA AND BARBUDA COAST GUARD	6/27/2011	7/1/2011	COGARD TRAINING CENTER YORKTOWN VA	1	$3,047 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	HEALTH CARE SPECIALISTS	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL - N/A	Antigua and Barbuda Defence Force	11/8/2010	3/18/2011	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	$23,322 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	HEALTH CARE SPECIALISTS	Medical Education Training Campus - N/A	ANTIGUA AND BARBUDA DEFENSE FORCE	6/15/2011	9/30/2011	083	1	$20,601 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	HORIZONTAL CONSTRUCTION ENGINEER	ENGINEER SCHOOL - N/A	Antigua and Barbuda Defence Force	10/5/2010	10/13/2010	ENGINEER SCHOOL	1	$4,535 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	HORIZONTAL CONSTRUCTION ENGINEER	ENGINEER SCHOOL - N/A	Antigua and Barbuda Defence Force	10/14/2010	10/20/2010	ENGINEER SCHOOL	1	$657 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	HORIZONTAL CONSTRUCTION ENGINEER	ENGINEER SCHOOL - N/A	Antigua and Barbuda Defence Force	10/21/2010	11/18/2010	ENGINEER SCHOOL	1	$2,451 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	HORIZONTAL CONSTRUCTION ENGINEER	ENGINEER SCHOOL - N/A	Antigua and Barbuda Defence Force	11/19/2010	11/26/2010	ENGINEER SCHOOL	1	$725 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	INTL MARITIME OFF	COGARD TRAINING CENTER YORKTOWN VA - N/A	Antigua and Barbuda Coast Guard	3/14/2011	6/24/2011	COGARD TRAINING CENTER YORKTOWN VA	1	$20,533 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	MANEUVER CAPTAINS CAREER (LEGACY)	USATC - N/A	ANTIGUA DEFENCE FORCE	9/23/2010	12/16/2010	USATC	1	$7,637 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	NCO PROFESSIONAL DEVELOPMENT (ENGLISH)	WESTERN HEMIS INSTITUTE FOR SECURITY COOP - N/A	ANTIGUA AND BARBUDA DEFENSE FORCE	6/15/2011	8/5/2011	WESTERN HEMIS INSTITUTE FOR SECURITY COOP	2	$18,012 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	OJT TECHNICAL ENLISTED	COMDT COGARD WASHINGTON DC - N/A	ANTIGUA AND BARBUDA COAST GUARD	7/4/2011	7/15/2011	WASHINGTON, DC	1	$2,121 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	PHASE 5--B174005	MANSCEN ARMY TRAINING CENTER - N/A	Antigua and Barbuda Defence Force	11/29/2010	12/3/2010	MANSCEN ARMY TRAINING CENTER	1	$2,895 	197615
Antigua and Barbuda	IMET-1 - Fiscal Year 2011 Department of State Training	Fiscal Year 2011 Program Totals						15	$123,012 	197615
Antigua and Barbuda	Misc DOD/DOS Non-SA - Fiscal Year 2011 Department of Defense Training	HIV/AIDS CONFERENCE	DIMO - N/A	Antigua & Barbuda Defence Force	12/5/2010	12/10/2010	DIMO	1	$7,744 	197615
Antigua and Barbuda	Misc DOD/DOS Non-SA - Fiscal Year 2011 Department of Defense Training	Fiscal Year 2011 Program Totals						1	$7,744 	197615
Antigua and Barbuda	Regional Centers - Fiscal Year 2011 Department of Defense Training	Advanced Policymaking Seminar	N/A - N/A	CHDS	5/10/2011	5/14/2011	Bridgetown, Barbados	4	$19,000 	197615
Antigua and Barbuda	Regional Centers - Fiscal Year 2011 Department of Defense Training	Strategy and International Security	N/A - N/A	CHDS	10/13/2010	11/4/2010	CHDS	1	$10,500 	197615
Antigua and Barbuda	Regional Centers - Fiscal Year 2011 Department of Defense Training	Fiscal Year 2011 Program Totals						5	$29,500 	197615
Argentina	CTFP - Fiscal Year 2011 Department of Defense Training	INTER-AGENCY COORDINATION AND COMBATING TERRORISM	CTR FOR HEMISPHERIC DEF STUDIES - N/A	Buenos Aires Provincial Police	6/6/2011	6/24/2011	CTR FOR HEMISPHERIC DEF STUDIES (NDU)	1	$10,000 	197615
Argentina	CTFP - Fiscal Year 2011 Department of Defense Training	PROGRAM IN ADVANCED SECURITY STUDIES (PASS)	MARSHALL CENTER - N/A	maritime Security Institute Argentine Coast Guard	9/24/2010	12/17/2010	MARSHALL CENTER	1	$11,800 	197615
Argentina	CTFP - Fiscal Year 2011 Department of Defense Training	Fiscal Year 2011 Program Totals						2	$21,800 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	AIR ASSAULT	ARNG WARRIOR TRNG CTR - N/A	601st Air Assault Regiment	12/1/2010	12/10/2010	ARNG WARRIOR TRNG CTR	1	$501 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	AIR DEFENSE ARTILLERY CAPTAINS CAREER	Air Defense Artillery School - N/A	Army Military Academy	8/9/2010	1/14/2011	441S	1	$8,157 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	AIR WAR COLLEGE	MAXWELL AFB, AL - N/A	Air Operations Command	7/26/2010	5/26/2011	MAXWELL AFB, AL	1	$15,450 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	ARMY WAR COLLEGE (RESIDENT COURSE)	ARMY WAR COLLEGE - N/A	Strategic Planning Directorate	8/2/2010	6/11/2011	ARMY WAR COLLEGE	1	$14,330 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	EXPEDITIONARY WARFARE SCH	COMMANDING GENERAL, EDUCATION COMMAND QUANTICO VA - N/A	Naval Inteligence Directorate	7/26/2010	5/12/2011	COMMANDING GENERAL, EDUCATION COMMAND QUANTICO VA	1	$11,009 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	INTERNATIONAL OFFCR SUPPLY COURSE (IOSCO)- RESIDENT	U.S. Navy - N/A	Intendencia Naval Base Puerto Belgrano	9/7/2010	10/15/2010	NAVY SUPPLY CORPS SCHOOL ATHENS GA	1	$10,960 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	INTERNATIONAL OFFCR SUPPLY COURSE (IOSCO)- RESIDENT	U.S. Navy - N/A	Ministery of Defense Logistic Directoriate	9/7/2010	10/15/2010	NAVY SUPPLY CORPS SCHOOL ATHENS GA	1	$2,882 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	INTL DEF TRANSFORMATION	CIVIL-MILITARY RELATIONS NPS CENTER FOR MONTEREY CA - N/A	Defense Operations and Logistic Planning Undersecretariat	10/25/2010	11/5/2010	CIVIL-MILITARY RELATIONS NPS CENTER FOR MONTEREY CA	1	$11,043 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	INTL DEF TRANSFORMATION	CIVIL-MILITARY RELATIONS NPS CENTER FOR MONTEREY CA - N/A	Undersecretariat for Education	10/25/2010	11/5/2010	CIVIL-MILITARY RELATIONS NPS CENTER FOR MONTEREY CA	1	$11,043 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	INTL LOG/SUPPLY MGMT CRS	INTER AMERICAN AIR FORCES ACADEMY, LACKLAND AFB, TX - N/A	Defense Logistics Department	9/30/2010	12/9/2010	INTER AMERICAN AIR FORCES ACADEMY, LACKLAND AFB, TX	1	$1,040 	197615
Argentina	IMET-1 - Fiscal Year 2011 Department of State Training	INTL SUPPLY/WAREHOUSE PRIN	INTER AMERICAN AIR FORCES ACADEMY, LACKLAND AFB, TX - N/A	Material Command	9/30/2010	12/9/2010	INTER AMERICAN AIR FORCES ACADEMY, LACKLAND AFB, TX	1	$1,040 	197615
