country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	American Language Course General English Training Only	DLIELC, LACKLAND AFB TX	Security and Intelligence Department	2/4/2013	3/8/2013	DLIELC, LACKLAND AFB TX	1	$11,179 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	American Language Course General English Training Only	DLIELC, LACKLAND AFB TX	Military Intelligence Office	7/8/2013	9/20/2013	DLIELC, LACKLAND AFB TX	1	$18,014 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Civil-Military RESP To Terrorism	CENTER FOR CIVIL-MILITARY RELATIONS MONTEREY CA	Security and Intelligence Department	9/9/2013	9/20/2013	CIVIL-MILITARY RELATIONS NPS CENTER FOR MONTEREY CA	1	$13,989 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	COMB STRAT INTEL Training Program	Defense Intelligence Agency (CSITP)	Algerian Intelligence &amp; Security Department	9/24/2012	11/9/2012	Defense Intelligence Agency (CSITP)	1	$10,685 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Combating Terrorism Executive Seminar - Senior LEV	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	National Gendarmerie	1/15/2013	1/29/2013	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	$9,000 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Combating Terrorism Language Program (CTLP)	N/A	Algeria Ministry of Defense	1/25/2013	2/28/2013	Garmisch-Partenkirchen, Germany	1	$9,411 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Combating Terrorism Language Program (CTLP)	MARSHALL CENTER	Intelligence and Security Department	1/25/2013	2/28/2013	MARSHALL CENTER	1	$7,475 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Combating Terrorism Language Program (CTLP)	N/A	Algeria Ministry of Internal Affairs	5/24/2013	6/27/2013	Garmisch-Partenkirchen, Germany	1	$9,195 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Combating Terrorism Language Program (CTLP)	MARSHALL CENTER	NAtional Security Department	5/24/2013	6/27/2013	MARSHALL CENTER	1	$7,475 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Combating Terrorism Language Program (CTLP)	N/A	Algeria Ministry of Defense	8/23/2013	9/26/2013	Garmisch-Partenkirchen, Germany	1	$14,923 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Combating Terrorism Language Program (CTLP)	MARSHALL CENTER	Algerian Intelligence and Security Department	8/23/2013	9/26/2013	MARSHALL CENTER	1	$7,475 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	International Counterterrorism Fellows Program	NATIONAL DEFENSE UNIVERSITY	104eme RMO	8/22/2012	6/21/2013	NATIONAL DEFENSE UNIVERSITY	1	$155,458 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	International Officer Tactical Intelligence	INTELLIGENCE SCHOOL	Intelligence and Security Department	1/14/2013	2/22/2013	INTELLIGENCE SCHOOL	1	$28,669 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Legal Aspects Combating Terrorism	DEFENSE INSTITUTE OF INTERNATIONAL LEGAL STUDIES NEWPORT RI	Security and Intelligence Department	3/18/2013	4/5/2013	NEWPORT, RI	1	$10,969 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	NESA Combating Transnational Threats Executive Seminar	N/A	Ministry of National Defense	6/11/2013	6/25/2013	Washington, DC, United States	1	$262 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	NESA Combating Transnational Threats Senior Executive	N/A	Ministry of National Defense	1/15/2013	1/29/2013	Washington, DC, United States	1	$1,755 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	NESA Executive Seminar	N/A	Ministry of National Defense	10/16/2012	10/30/2012	Washington, DC, United States	1	$1,740 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	NESA Executive Seminar	N/A	Ministry of National Defense	2/26/2013	3/13/2013	Washington, DC, United States	1	$1,533 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	NESA Senior Executive Seminar	N/A	Ministry of National Defense	2/4/2013	2/15/2013	Washington, DC, United States	1	$1,838 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Program On Terrorism And Security Studies	N/A	Algeria Ministry of Defense	3/1/2013	4/5/2013	Garmisch-Partenkirchen, Germany	1	$8,514 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Program On Terrorism and Security Studies	MARSHALL CENTER	Intelligence and Security Department	3/1/2013	4/5/2013	MARSHALL CENTER	1	$10,675 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Program On Terrorism And Security Studies	N/A	Algeria Ministry of Internal Affairs	6/28/2013	8/2/2013	Garmisch-Partenkirchen, Germany	1	$8,197 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Program On Terrorism and Security Studies	MARSHALL CENTER	NAtional Security Department	6/28/2013	8/2/2013	MARSHALL CENTER	1	$10,675 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Seminar ON CBT WMD/T (SCWMD/T)	N/A	Algeria Ministry of Defense	3/8/2013	3/22/2013	Garmisch-Partenkirchen, Germany	1	$3,397 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Seminar On CBT WMD/T (SCWMD/T)	MARSHALL CENTER	Algerian Army	3/8/2013	3/22/2013	MARSHALL CENTER	1	$3,775 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Special Operations Combating Terrorism	JSOU - MACDILL AFB	Algerian Special Forces	8/19/2013	8/30/2013	DMACJSOU	1	$13,184 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Special Operations -MS	NAVAL POSTGRADUATE SCHOOL MONTEREY CA	Navy	10/1/2012	12/14/2012	MONTEREY, CA	1	$26,164 	230215
Algeria	CTFP - Fiscal Year 2013 Department of Defense Training	Fiscal Year 2013 Program Totals						27	$405,626 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Air COMD & Staff College	MAXWELL AFB, AL	Algerian Air Defense Command	8/8/2012	6/10/2013	MAXWELL AFB, AL	1	$56,251 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Air Traffic Control Operator	AVIATION SCHOOL	Algerian Air Defense Command	5/21/2013	9/20/2013	AVIATION SCHOOL	1	$16,518 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Air War College	MAXWELL AFB, AL	Algerian Air Force	7/23/2012	5/23/2013	MAXWELL AFB, AL	1	$79,383 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Airfield Operations Officer	KEESLER AFB, MS	Algerian Air Defense Command	3/18/2013	6/26/2013	KEESLER AFB, MS	1	$11,707 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	ALC Specialized English Training Only	DLIELC, LACKLAND AFB TX	Algerian Air Defense Command	3/11/2013	5/10/2013	DLIELC, LACKLAND AFB TX	1	$15,722 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	AMEDD Basic Officer Leader Course Common Core	Academy of Health Sciences	Military Medical Directorate	10/10/2012	12/4/2012	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	$8,255 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	AMEDD Basic Officer Leader Course Common Core	Academy of Health Sciences	Algerian Medical Military Command	7/16/2013	9/6/2013	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	$11,770 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	AMEDD Captains Career	Academy of Health Sciences	Algerian Military Medical Department	3/20/2013	5/22/2013	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	$10,965 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	AMEDD Captains Career PH 1	Academy of Health Sciences	Algerian Military Medical Department	2/7/2013	3/21/2013	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	$6,891 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	American Language Course General English Training Only	DLIELC, LACKLAND AFB TX	Algerian Special Forces	9/24/2012	12/28/2012	DLIELC, LACKLAND AFB TX	1	$22,454 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	American Language Course General English Training Only	DLIELC, LACKLAND AFB TX	Algerian Military Medical Department	11/5/2012	1/25/2013	DLIELC, LACKLAND AFB TX	1	$19,529 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	American Language Course GET and SET	DLIELC, LACKLAND AFB TX	EOD Squad, Algerian Ground Forces	10/1/2012	10/19/2012	DLIELC, LACKLAND AFB TX	1	$4,346 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	American Language Course GET and SET	DLIELC, LACKLAND AFB TX	Algerian Navy	12/3/2012	1/7/2013	DLIELC, LACKLAND AFB TX	1	$12,084 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	American Language Course GET and SET	DLIELC, LACKLAND AFB TX	Algerian Air Defense Command	12/17/2012	3/8/2013	DLIELC, LACKLAND AFB TX	1	$19,379 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Army War College (Resident Course)	ARMY WAR COLLEGE	Special Forces	8/6/2012	6/8/2013	ARMY WAR COLLEGE	1	$63,774 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Basic American Language Instructor Course (BALIC)	DLIELC, LACKLAND AFB TX	Algerian Land Forces	7/16/2012	1/18/2013	DLIELC, LACKLAND AFB TX	1	$36,243 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Eisenhower School	Eisenhower School for National Security	Algerian Air Defense Command	8/13/2012	6/13/2013	INDUSTRIAL COLLEGE OF THE ARMED FORCES	1	$92,667 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	IF Preparatory Course	NATIONAL WAR COLLEGE	Algerian Air Forces	6/24/2013	8/9/2013	NATIONAL WAR COLLEGE	1	$58,885 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Information Systems Management	SIGNAL SCHOOL	Algerian Signal Corp	11/6/2012	1/31/2013	SIGNAL SCHOOL	1	$15,421 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Information Systems Management	SIGNAL SCHOOL	Algerian Signal Corp	2/1/2013	6/21/2013	SIGNAL SCHOOL	1	$16,946 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Intermediate Level EDUC	COMMAND & GENERAL STAFF COLLEGE	Algerian Land Forces	8/13/2012	6/14/2013	COMMAND & GENERAL STAFF COLLEGE	1	$65,258 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	International Boarding Officer Course	USCG MARITIME LAW ENFORCEMENT ACAD FLETC CHARLESTON	Algerian Coast Guard	8/5/2013	8/30/2013	USCG MARITIME LAW ENFORCEMENT ACAD FLETC CHARLESTON	1	$11,411 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	International Fellows Orientation	ARMY WAR COLLEGE	Reconnaissance Division	6/24/2013	8/2/2013	ARMY WAR COLLEGE	1	$13,199 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Maritime Search and Rescue Planning	COGARD TRAINING CENTER YORKTOWN VA	Algerian Coast Guard	9/3/2013	9/27/2013	COGARD TRAINING CENTER YORKTOWN VA	1	$4,285 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Medical Logistics Officer Course	Academy of Health Sciences	Military Medical Directorate	1/7/2013	3/1/2013	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	$10,312 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	MS-FLD MED ASST/MEDEVAC Basic Officer Leader	Academy of Health Sciences	Military Medical Directorate	12/5/2012	12/18/2012	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	$3,689 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	MS-FLD MED ASST/MEDEVAC Basic Officer Leader	Academy of Health Sciences	Algerian Medical Military Command	9/9/2013	9/20/2013	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	$3,689 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Naval Command College	NAVAL COMMAND COLLEGE NEWPORT RI	Algerian Naval Special Forces	7/31/2012	6/21/2013	NAVAL COMMAND COLLEGE NEWPORT RI	1	$122,674 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Naval Staff College	NAVAL STAFF COLLEGE NEWPORT RI	Algerian Navy	7/31/2012	6/21/2013	NAVAL STAFF COLLEGE NEWPORT RI	1	$111,848 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Naval Staff College	NAVAL STAFF COLLEGE NEWPORT RI	Algerian Navy	1/16/2013	6/21/2013	NAVAL STAFF COLLEGE NEWPORT RI	1	$56,126 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	OBS MED/Health/HYG-CONUS	Academy of Health Sciences	Algerian Military Medical Directorate	9/5/2013	9/20/2013	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	$9,303 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	SOS International OFF School Course	MAXWELL AFB, AL	Algerian Air Force	9/4/2012	10/17/2012	MAXWELL AFB, AL	1	$25,171 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Squadron Officer School	MAXWELL AFB, AL	Algerian Air Force	10/22/2012	12/14/2012	MAXWELL AFB, AL	1	$6,136 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Transportation Basic Officer Leader-Branch	ALU - Leader Courses	Algerian Equipment Command	8/27/2012	12/18/2012	ARMY LOG MGT COLLEGE - HUNTSVILLE CAMPUS	1	$23,728 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Transportation Basic Officer Leader-Branch	ALU - Leader Courses	Transportation Branch, Algerian Army	1/7/2013	4/26/2013	ARMY LOG MGT COLLEGE - HUNTSVILLE CAMPUS	1	$25,760 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	USAWC International Fellows Academic Preparation	ARMY WAR COLLEGE	Reconnaissance Division	4/15/2013	6/21/2013	ARMY WAR COLLEGE	1	$45,998 	230215
Algeria	IMET-1 - Fiscal Year 2013 Department of State Training	Fiscal Year 2013 Program Totals						36	$1,117,777 	230215
Algeria	Regional Centers - Fiscal Year 2013 Department of Defense Training	2nd Regional Seminar on Civilian Security & Justice Sector Reform	N/A	Nord Sud Ventures Consultancy Centre	6/4/2013	6/7/2013	Washington, DC, United States	1	$0 	230215
Algeria	Regional Centers - Fiscal Year 2013 Department of Defense Training	Language Testing Seminar, 13-03	N/A		9/16/2013	9/27/2013	Garmisch, Germany	1	$907 	230215
Algeria	Regional Centers - Fiscal Year 2013 Department of Defense Training	NESA Civilian Security and Justice Sector Reform	N/A	A.S. Ben Hadid & Associates	2/19/2013	2/23/2013	Washington, DC, United States	1	$0 	230215
Algeria	Regional Centers - Fiscal Year 2013 Department of Defense Training	NESA Civilian Security and Justice Sector Reform	N/A	Independent Law Firm	2/19/2013	2/23/2013	Washington, DC, United States	1	$0 	230215
Algeria	Regional Centers - Fiscal Year 2013 Department of Defense Training	NESA Civilian Security and Justice Sector Reform	N/A	Nord Sud Ventures Consultancy Centre	2/19/2013	2/23/2013	Washington, DC, United States	1	$0 	230215
Algeria	Regional Centers - Fiscal Year 2013 Department of Defense Training	Fiscal Year 2013 Program Totals						5	$907 	230215
Bahrain	IMET-1 - Fiscal Year 2013 Department of State Training	ADA Basic Officer Leader-Branch	Air Defense Artillery School	ROYAL BAHRAIN LAND FORCES	7/8/2013	9/11/2013	441S	1	$7,675 	230215
Bahrain	IMET-1 - Fiscal Year 2013 Department of State Training	Advance CALIBR MEAS & DIAGNOST	KEESLER AFB, MS	ROYAL BAHRAIN AIR FORCE	6/10/2013	7/24/2013	KEESLER AFB, MS	1	$1,010 	230215
Bahrain	IMET-1 - Fiscal Year 2013 Department of State Training	Aerospace GRD EQ Technician	SHEPPARD AFB, TX	ROYAL BAHRAIN AIR FORCE	7/22/2013	8/13/2013	SHEPPARD AFB, TX	2	$1,580 	230215
Bahrain	IMET-1 - Fiscal Year 2013 Department of State Training	AIC International Basic	CSCS FLEET ANTI-SUBMARINE WARFARE TRAINING CENTER	ROYAL BAHRAIN NAVAL FORCE	8/5/2013	8/30/2013	CSCS FLEET ANTI-SUBMARINE WARFARE TRAINING CENTER	2	$3,284 	230215
Bahrain	IMET-1 - Fiscal Year 2013 Department of State Training	Aircraft Maintenance OFF	SHEPPARD AFB, TX	ROYAL BAHRIAN AIR FORCE	9/5/2012	12/12/2012	SHEPPARD AFB, TX	1	$4,640 	230215
Bahrain	IMET-1 - Fiscal Year 2013 Department of State Training	Aircraft Maintenance OFF	SHEPPARD AFB, TX	ROYAL BAHRAIN AIR FORCE	4/29/2013	8/2/2013	SHEPPARD AFB, TX	1	$2,340 	230215
Bahrain	IMET-1 - Fiscal Year 2013 Department of State Training	Aircraft Maintenance OFF	SHEPPARD AFB, TX	ROYAL BAHRAIN AIR FORCE	6/10/2013	9/13/2013	SHEPPARD AFB, TX	1	$2,340 	230215
Bahrain	IMET-1 - Fiscal Year 2013 Department of State Training	Aircraft Metals Technology Apprentice	SHEPPARD AFB, TX	ROYAL BAHRAIN AIR FORCE	5/10/2013	8/30/2013	SHEPPARD AFB, TX	1	$3,240 	230215
Bahrain	IMET-1 - Fiscal Year 2013 Department of State Training	Aircrew Flight Equipment Apprentice	SHEPPARD AFB, TX	ROYAL BAHRAIN AIR FORCE	6/14/2013	9/3/2013	SHEPPARD AFB, TX	1	$2,360 	230215
