country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Algeria	CTFP - Fiscal Year 2016 Department of Defense Training	American Language Course General English Training Only	DLIELC, Lackland AFB TX	Military Intelligence Office	8/1/2016	9/16/2016	Lackland AFB, TX, US	1	$16,427 	275295
Algeria	CTFP - Fiscal Year 2016 Department of Defense Training	COMB STRAT INTEL Training Program	Defense Intelligence Agency (CSITP)	Algerian Land Forces Command	9/28/2015	11/13/2015	DIA, Washington, DC, DC, US	1	$11,190 	275295
Algeria	CTFP - Fiscal Year 2016 Department of Defense Training	Emerging Threats In Contemporary Security Environment	College Of International Security Affairs	Algerian Land Forces	6/13/2016	6/24/2016	Ft. Mcnair, NDU, DC, US	1	$6,954 	275295
Algeria	CTFP - Fiscal Year 2016 Department of Defense Training	International Counterterrorism Fellows Program	College Of International Security Affairs	Algerian Land Froces Command	8/3/2015	6/10/2016	Ft. Mcnair, NDU, DC, US	1	$157,730 	275295
Algeria	CTFP - Fiscal Year 2016 Department of Defense Training	International INTELL Fellows PGM	Defense Intelligence Agency	Military Intelligence Office	7/7/2016	7/22/2016	DIA, Washington, DC, DC, US	1	$12,072 	275295
Algeria	CTFP - Fiscal Year 2016 Department of Defense Training	Fiscal Year 2016 Program Totals						5	$204,373 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Air Command & Staff College (ACSC Resident Course)	Maxwell AFB, AL	Algerian Air Defense Command	8/5/2015	6/6/2016	Maxwell AFB, AL, US	1	$48,080 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Air Field Operations Officer	Keesler AFB, MS	Algerian Air Defense Command	9/14/2015	1/13/2016	Keesler AFB, MS, US	1	$13,195 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Air Traffic Control Operator	Aviation School	Algerian Air Defense Command	9/11/2015	1/29/2016	Ft. Rucker, AL, US	1	$18,860 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Air War College (AWC) Resident Program	Maxwell AFB, AL	Algerian Air Force	7/20/2015	5/19/2016	Maxwell AFB, AL, US	1	$48,032 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	AMEDD Basic Officer Leader Course Common Core	Academy Of Health Sciences	Algerian Medical Military Directorate	7/15/2016	9/7/2016	Ft. Sam Houston, TX, US	1	$14,077 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	American Language Course General English Training Only	DLIELC, Lackland AFB TX	Algerian Security And Intelligence Department	11/16/2015	1/1/2016	Lackland AFB, TX, US	1	$13,490 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	American Language Course General English Training Only	DLIELC, Lackland AFB TX	Algerian Navy	12/28/2015	2/26/2016	Lackland AFB, TX, US	1	$16,189 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	American Language Course General English Training Only	DLIELC, Lackland AFB TX	Court Of Bechar, Ministry Of Justice	5/2/2016	7/22/2016	Lackland AFB, TX, US	1	$20,168 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	American Language Course GET And SET	DLIELC, Lackland AFB TX	Algerian Air Defense Command	5/2/2016	6/17/2016	Lackland AFB, TX, US	1	$14,023 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Chief Information Officer/Leadership Development	Information Resource Management College	Algerian Security And Intelligence Department	1/4/2016	4/15/2016	Ft. Mcnair, NDU, DC, US	1	$45,659 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Command & Staff College (USMC)	Commanding General, Education Command QUANTIC	Algerian Navy	7/20/2015	6/8/2016	Quantico, VA, US	1	$77,019 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Command And General Staff Officer's Course	Command & General Staff College	4th RMO Regiment	8/10/2015	6/10/2016	Ft. Leavenworth, KS, US	1	$70,605 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Command And General Staff Officer's Course PREP	Command & General Staff College	Algerian Special Forces Command	7/20/2016	7/29/2016	Ft. Leavenworth, KS, US	1	$4,106 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Eisenhower School	Eisenhower School For National Security	Algerian Combat Engineering School	8/3/2015	6/10/2016	Ft. Mcnair, NDU, DC, US	1	$130,290 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Emerging Threats In Contemporary Security Environment	College Of International Security Affairs	Algerian Combat Engineering School	6/13/2016	6/24/2016	Ft. Mcnair, NDU, DC, US	1	$7,253 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Engineer CCC International STU PREP	Manscen Army Training Center	Algerian Combat Enginner Corp	9/30/2015	10/16/2015	Ft. Leonard Wood, MO, US	1	$2,874 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	IF Preparatory Course	National War College	Algerian Air Defense Command	6/20/2016	8/7/2016	Ft. Mcnair, NDU, DC, US	1	$55,819 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	IMS Medical Insurance Review	Physical Training LOC Not Required	Algerian Air Force	6/6/2016	6/6/2016	N/A	2	$180 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	IMS Medical Insurance Review	Physical Training LOC Not Required	Algerian Air Forces	6/6/2016	6/6/2016	N/A	1	$90 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	International EOD Phase II Navy	Naval School Explosive Ordnance Disposal EGLI	Combat Engineering Branch	11/2/2015	11/16/2015	Eglin AFB, FL, US	1	$5,298 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	International EOD Phase II Surface	Naval School Explosive Ordnance Disposal EGLI	Combat Engineering Branch	7/13/2015	10/30/2015	Eglin AFB, FL, US	1	$20,552 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	International Off School (For ACSC)	Maxwell AFB, AL	Algerian Air Force	6/6/2016	7/28/2016	Maxwell AFB, AL, US	2	$34,538 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	International Off School (For AWC)	Maxwell AFB, AL	Algerian Air Forces	6/6/2016	7/14/2016	Maxwell AFB, AL, US	1	$14,872 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	International Officer INTEL Captains Career	Intelligence School	National Security Department	2/1/2016	6/28/2016	Ft. Huachuca, AZ, US	1	$23,087 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	International Officer Intelligence CCC PREP	Intelligence School	National Security Department	1/15/2016	1/29/2016	Ft. Huachuca, AZ, US	1	$12,061 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	International Officer Intelligence CCC PREP	Intelligence School	Department Of Intelligence And Security	7/11/2016	7/22/2016	Ft. Huachuca, AZ, US	1	$9,340 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	International Officer Preparatory	Command & General Staff College	Algerian Special Forces Command	6/28/2016	7/15/2016	Ft. Leavenworth, KS, US	1	$9,204 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	International Shipyard Management	Naval Ship Yard Pearl Harbor HI	Algerian Navy	2/29/2016	4/8/2016	Pearl Harbor, HI, US	1	$21,727 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Law Of Armed Conflict And Human Rights	Defense Institute Of International Legal STUD	Military Justice Department	4/18/2016	5/5/2016	DILS, Newport, RI, US	1	$14,306 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Legal Aspects Combating Terrorism	Defense Institute Of International Legal STUD	Military Justice Department	3/21/2016	4/7/2016	DILS, Newport, RI, US	1	$14,472 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Legal Aspects Of Defense SUP Of Civil Authorities	Defense Institute Of International Legal STUD	Court Of Bechar, Ministry Of Justice	7/25/2016	8/11/2016	DILS, Newport, RI, US	1	$10,736 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	MS-FLD MED ASST/MEDEVAC Basic Officer Leader	Academy Of Health Sciences	Algerian Medical Military Directorate	9/8/2016	9/21/2016	Ft. Sam Houston, TX, US	1	$2,299 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Naval Command College	Naval Command College Newport RI	Algerian Navy	7/27/2015	6/22/2016	Newport, RI, US	1	$110,534 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	On-the-job Training NAVSEA International Shipyard Management	Naval Ship Yard Pearl Harbor HI	Algerian Navy	4/11/2016	4/15/2016	Pearl Harbor, HI, US	1	$3,089 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Principles Of Defense Acquisition Management	International Defense Acquisition Resource MA	Training Department	3/7/2016	3/18/2016	Monterey, CA, US	1	$11,572 	275295
Algeria	IMET-1 - Fiscal Year 2016 Department of State Training	Principles Of Defense Procurement & Contracting	International Defense Acquisition Resource MA	Training Department	3/21/2016	4/1/2016	Monterey, CA, US	1	$6,999 	275295
