country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Brunei	CTFP - Fiscal Year 2017 Department of Defense Training	Comprehensive Security Responses To Terrorism	ASIA PACIFIC CTR FOR SECURITY STUDIES	DIRECTORATE OF INTELLIGENCE	7/13/2017	8/10/2017	Honolulu, HI, US	1	$11,000 	284930
Brunei	CTFP - Fiscal Year 2017 Department of Defense Training	Fiscal Year 2017 Program Totals						1	$11,000 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	11th SEAN Defense Minister's Meeting plus Expert Working Group on HADR	APCSS	Dirrectorate of Defence Policy	9/12/2017	9/14/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$0 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	11th SEAN Defense Minister's Meeting plus Expert Working Group on HADR	APCSS	Royal Brunei Armed Forces	9/12/2017	9/14/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$0 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	Building Maritime Shared Awareness in Southeast Asia III	APCSS	Brunei Ministry of Defense	5/15/2017	5/18/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$319 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	Building Maritime Shared Awareness in Southeast Asia III	APCSS	Brunei Prime Minister's Office	5/15/2017	5/18/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	2	$638 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	Building Maritime Shared Awareness in Southeast Asia III	APCSS	Royal Brunei Police Force	5/15/2017	5/18/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$284 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	Maritime Security Challenges	APCSS	Brunei Ministry of Defense	10/3/2016	10/6/2016	Victoria, Canada	1	$224 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	National Security Coordination in Southeast Asia	APCSS	Brunei Prime Minister's Office	8/29/2017	9/1/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	3	$3,645 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	Transnational Security Cooperation Course	APCSS	Brunei Prime Minister's Office	11/14/2016	11/18/2016	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$410 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	Transnational Security Cooperation Course	APCSS	Royal Brunei Police Force	5/22/2017	5/26/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$412 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	Violent Extremism in Southeast Asia: Emerging Trends	APCSS	Brunei Ministry of Defense	3/21/2017	3/23/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$770 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	Violent Extremism in Southeast Asia: Emerging Trends	APCSS	Prime Minister Office	3/21/2017	3/23/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$727 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	Violent Extremism in Southeast Asia: Emerging Trends	APCSS	Royal Brunei Armed Forces	3/21/2017	3/23/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$727 	284930
Brunei	Regional Centers - Fiscal Year 2017 Department of Defense Training	Fiscal Year 2017 Program Totals						15	$8,156 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	Center for Strategic and International Studies	9/22/2016	10/26/2016	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$362 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	Myanmar Ministry fo Social Welfare, Relief and Resettlement	9/22/2016	10/26/2016	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$378 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	Myanmar Ministry of Defense	9/22/2016	10/26/2016	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	3	$1,134 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	Myanmar Police Force	9/22/2016	10/26/2016	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$378 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	United Nations Headquarters	9/22/2016	10/26/2016	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$362 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	Myanmar Army	3/30/2017	5/3/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$484 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	Myanmar Ministry of Defense	3/30/2017	5/3/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	3	$1,452 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	Myanmar Ministry of Education	3/30/2017	5/3/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$537 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	Myanmar Ministry of Foreign Affairs	3/30/2017	5/3/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$484 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	Myanmar Ministry of Immigration and Population	3/30/2017	5/3/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$484 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Advanced Security Cooperation Course	APCSS	Myanmar Police Force	3/30/2017	5/3/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$484 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Building Maritime Shared Awareness in Southeast Asia III	APCSS	Myanmar Forest Department	5/15/2017	5/18/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$319 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Building Maritime Shared Awareness in Southeast Asia III	APCSS	Myanmar Ministry of Defense	5/15/2017	5/18/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	2	$638 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Building Maritime Shared Awareness in Southeast Asia III	APCSS	Myanmar Ministry of Foreign Affairs	5/15/2017	5/18/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$319 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Building Maritime Shared Awareness in Southeast Asia III	APCSS	Myanmar Police Force	5/15/2017	5/18/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$319 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Comprehensive Crisis Management	APCSS	Myanmar Government	2/9/2017	3/15/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$514 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Comprehensive Crisis Management	APCSS	Myanmar Ministry of Defense	2/9/2017	3/15/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	4	$2,056 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Comprehensive Crisis Management	APCSS	Myanmar Ministry of Health	2/9/2017	3/15/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	2	$1,028 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Comprehensive Crisis Management	APCSS	Myanmar Office of the President	2/9/2017	3/15/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$514 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Comprehensive Security Responses to Terrorism Course	APCSS	Ministry of Home Affairs of Myanmar	7/13/2017	8/10/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	2	$1,192 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Comprehensive Security Responses to Terrorism Course	APCSS	Myanmar Ministry of Defense	7/13/2017	8/10/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$596 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Comprehensive Security Responses to Terrorism Course	APCSS	Myanmar Ministry of Education	7/13/2017	8/10/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$596 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Comprehensive Security Responses to Terrorism Course	APCSS	Myanmar Ministry of Foreign Affairs	7/13/2017	8/10/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	2	$1,192 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Comprehensive Security Responses to Terrorism Course	APCSS	Myanmar National Defence College	7/13/2017	8/10/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$816 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Comprehensive Security Responses to Terrorism Course	APCSS	Myanmar Police Force	7/13/2017	8/10/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$596 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Disaster Response Regional Architectures: Assessing Future Possibilities	APCSS	Myanmar Ministry fo Social Welfare, Relief and Resettlement	7/18/2017	7/20/2017	Bangkok, Thailand	2	$5,102 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Maritime Security Challenges	APCSS	Myanmar Ministry of Foreign Affairs	10/3/2016	10/6/2016	Victoria, Canada	1	$0 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Myanmar Security Dialogue	APCSS	Myanmar Government	3/30/2017	3/31/2017	Naypyitaw, Myanmar	31	$0 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Myanmar Security Dialogue	APCSS	Myanmar Ministry of Defense	3/30/2017	3/31/2017	Naypyitaw, Myanmar	2	$0 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Myanmar Security Dialogue	APCSS	Myanmar Ministry of Education	3/30/2017	3/31/2017	Naypyitaw, Myanmar	1	$0 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Myanmar Security Dialogue	APCSS	Myanmar Office of the President	3/30/2017	3/31/2017	Naypyitaw, Myanmar	1	$0 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Myanmar Security Dialogue	APCSS	Myanmar Police Force	3/30/2017	3/31/2017	Naypyitaw, Myanmar	1	$0 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	National Security Coordination in Southeast Asia	APCSS	Myanmar Army	8/29/2017	9/1/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$1,180 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	National Security Coordination in Southeast Asia	APCSS	Myanmar Ministry of the Office of the State Counsellor	8/29/2017	9/1/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$1,215 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	National Security Coordination in Southeast Asia	APCSS	Myanmar Police Force	8/29/2017	9/1/2017	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	1	$1,215 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Security Sector Development in the Indian Ocean	APCSS	Myanmar Army	12/5/2016	12/9/2016	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	2	$1,022 	284930
Burma	Regional Centers - Fiscal Year 2017 Department of Defense Training	Security Sector Development in the Indian Ocean	APCSS	Myanmar Ministry of Defense	12/5/2016	12/9/2016	Daniel K. Inouye Asia-Pacific Center for Security Studies, Honolulu, HI	2	$1,022 	284930
