country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Albania	CTFP - FY 2007 DoD Training	CIV-MIL RESP TO TERRORISM	US unit not specified in 2007-2008 report	Navy	9/10/2007	9/21/2007	CIVIL-MILITARY RELATIONS NPS CENTER FOR MONTEREY CA	4	41048 	126575
Albania	CTFP - FY 2007 DoD Training	CNTRTERRORISM FEL PRGM-CT	US unit not specified in 2007-2008 report	Army	7/23/2007	9/30/2007	NATIONAL DEFENSE UNIVERSITY	1	97935 	126575
Albania	CTFP - FY 2007 DoD Training	COMB STRAT INTEL TNG PRGM	US unit not specified in 2007-2008 report	Air Force	7/9/2007	8/24/2007	Defense Intelligence Agency (CSITP)	1	11136 	126575
Albania	CTFP - FY 2007 DoD Training	MET CT- REGIONAL CIV-MIL	US unit not specified in 2007-2008 report	Navy	6/4/2007	6/8/2007	MACEDONIA (IN COUNTRY TRAINING)	3	3360 	126575
Albania	CTFP - FY 2007 DoD Training	PROGRAM ON TERRORISM SECURITY STUDIES (PTSS)	US unit not specified in 2007-2008 report	Army	1/26/2007	3/2/2007	MARSHALL CENTER	2	12606 	126575
Albania	CTFP - FY 2007 DoD Training		US unit not specified in 2007-2008 report					11	$166,085 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Diving Specialist, RENEA Forces, Ministry of Inter	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Diving Specialist, RENEA Forces, Ministry of Inter	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Weapons Officer, Albanian Navy	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Delta Force, Ministry of Interior, Tirana, Albania	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Boat Radio Operator, Albanian Navy	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Boat Commander, Albanian Navy	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Border Police, Ministry of Interior	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Maritime Anti- Contraband Unit, Ministry of Financ	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Boat Radio Operator, Albanian Navy	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Maritime Anti Contraband Unit, Ministry of Finance	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Border Police	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Delta Force, Ministry of Interior, Tirana, Albania	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Coast Guard Boat Commander, Albanian Navy	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Vessel Commander, Border Police, Ministry of Inter	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Navigation Officer, Albanian Navy	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Anti- Contraband, Ministry of Finance	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Delta Force, Ministry of Interior, Tirana, Albania	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Vessel Commander, Border Police, Ministry of Inter	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Deputy Shif Chief, Port Security Forces, Ministry	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Diving Specialist, RENEA Forces, Ministry of Inte	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Delta Force, Ministry of Interior, Tirana, Albania	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Port Security Forces, Ministry of Public Work, Tra	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Maritime Anti Contraband Unit, Ministry of Finance	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Deputy Shift Chief, Port Security Forces, Ministry	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Deputy Director, Port Security Forces, Ministry of	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Diving Specialist, RENEA Forces, Ministry of Inter	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training	MTT MLE ADV BOARD OFF	US unit not specified in 2007-2008 report	Delta Force, Ministry of Interior, Tirana, Albania	4/13/2007	4/29/2007	COGARD INTL TRNG DET TRACEN YORKTOWN VA	1	0 	126575
Albania	DOHS/USCG - FY 2007 DOHS Training		US unit not specified in 2007-2008 report					27	$0 	126575
Albania	IMET-1 - FY 2007 DoS Training	AMERICAN LANGUAGE COURSE	US unit not specified in 2007-2008 report	Navy	12/4/2006	2/2/2007	DLIELC, LACKLAND AFB TX	2	17824 	126575
Albania	IMET-1 - FY 2007 DoS Training	COMB STRAT INTEL TNG PRGM	US unit not specified in 2007-2008 report	Air Force	1/8/2007	2/23/2007	Defense Intelligence Agency (CSITP)	1	10219 	126575
Albania	IMET-1 - FY 2007 DoS Training	COMBINED LOG CPT CAREER	US unit not specified in 2007-2008 report	Army	9/11/2006	11/2/2006	ARMY LOGISTICS MANAGEMENT COLLEGE	1	6603 	126575
