country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Algeria	CTFP - FY 2007 DoD Training	699 SPECIAL OPERATIONS -MS	US unit not specified in 2007-2008 report	Navy	10/1/2006	9/30/2007	MONTEREY, CA	1	77048 	126576
Algeria	CTFP - FY 2007 DoD Training	CNTRTERRORISM FEL PRGM-CT	US unit not specified in 2007-2008 report	Army	10/1/2006	6/7/2007	NATIONAL DEFENSE UNIVERSITY	2	260300 	126576
Algeria	CTFP - FY 2007 DoD Training	CNTRTERRORISM FEL PRGM-CT	US unit not specified in 2007-2008 report	Army	7/23/2007	9/30/2007	NATIONAL DEFENSE UNIVERSITY	1	95661 	126576
Algeria	CTFP - FY 2007 DoD Training	COMB STRAT INTEL TNG PRGM	US unit not specified in 2007-2008 report	Air Force	7/9/2007	8/24/2007	Defense Intelligence Agency (CSITP)	1	11836 	126576
Algeria	CTFP - FY 2007 DoD Training	GENERAL ENGLISH ONLY	US unit not specified in 2007-2008 report	Army	4/23/2007	5/18/2007	DLIELC, LACKLAND AFB TX	2	15385 	126576
Algeria	CTFP - FY 2007 DoD Training	INTERNATIONAL OFFICER INTELLIGENCE CCC PREP	US unit not specified in 2007-2008 report	Army	4/16/2007	4/27/2007	INTELLIGENCE SCHOOL	1	6253 	126576
Algeria	CTFP - FY 2007 DoD Training	INTERNATIONAL SPECIAL FORCES TRAINING	US unit not specified in 2007-2008 report	Army	6/5/2007	9/14/2007	JFK SPECIAL WARFARE CENTER	2	24880 	126576
Algeria	CTFP - FY 2007 DoD Training	MILITARY INTELLIGENCE CAPTAINS CAREER	US unit not specified in 2007-2008 report	Army	4/30/2007	9/24/2007	INTELLIGENCE SCHOOL	1	23158 	126576
Algeria	CTFP - FY 2007 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2007-2008 report	Army	1/26/2007	3/2/2007	MARSHALL CENTER	1	6303 	126576
Algeria	CTFP - FY 2007 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2007-2008 report	Army	2/26/2007	3/9/2007	AFRICA CTR FOR SECURITY STUDIES	1	4879 	126576
Algeria	CTFP - FY 2007 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2007-2008 report	Army	8/7/2007	8/23/2007	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	1 	126576
Algeria	CTFP - FY 2007 DoD Training		US unit not specified in 2007-2008 report					14	$525,704 	126576
Algeria	IMET-1 - FY 2007 DoS Training	ADVANCED ENGLISH LANG. PGM	US unit not specified in 2007-2008 report	Air Force	9/18/2006	1/5/2007	DLIELC, LACKLAND AFB TX	2	20296 	126576
Algeria	IMET-1 - FY 2007 DoS Training	ADVANCED ENGLISH LANG. PGM	US unit not specified in 2007-2008 report	Air Force	11/20/2006	3/9/2007	DLIELC, LACKLAND AFB TX	1	10267 	126576
Algeria	IMET-1 - FY 2007 DoS Training	AIR COMD & STAFF COLLEGE	US unit not specified in 2007-2008 report	Air Force	8/9/2006	6/11/2007	MAXWELL AFB, AL	1	41297 	126576
Algeria	IMET-1 - FY 2007 DoS Training	AIR WAR COLLEGE	US unit not specified in 2007-2008 report	Air Force	7/24/2006	5/29/2007	MAXWELL AFB, AL	1	48800 	126576
Algeria	IMET-1 - FY 2007 DoS Training	AMERICAN LANGUAGE COURSE	US unit not specified in 2007-2008 report	Navy	10/9/2006	12/29/2006	DLIELC, LACKLAND AFB TX	1	11814 	126576
Algeria	IMET-1 - FY 2007 DoS Training	ARMOR BASIC OFFICER LEADER	US unit not specified in 2007-2008 report	Army	10/27/2006	3/2/2007	ARMOR SCHOOL	1	16374 	126576
Algeria	IMET-1 - FY 2007 DoS Training	COMB STRAT INTEL TNG PRGM	US unit not specified in 2007-2008 report	Air Force	9/25/2006	11/9/2006	Defense Intelligence Agency (CSITP)	1	9760 	126576
Algeria	IMET-1 - FY 2007 DoS Training	DISAM INTL-PURCHASER (IT)	US unit not specified in 2007-2008 report	Air Force	7/18/2007	8/2/2007	WRIGHT PATTERSON AFB , OH - DISAM	2	12122 	126576
Algeria	IMET-1 - FY 2007 DoS Training	GENERAL ENGLISH LANG TNG	US unit not specified in 2007-2008 report	Air Force	10/9/2006	11/17/2006	DLIELC, LACKLAND AFB TX	1	6879 	126576
Algeria	IMET-1 - FY 2007 DoS Training	GENERAL ENGLISH LANG TNG	US unit not specified in 2007-2008 report	Navy	10/9/2006	12/29/2006	DLIELC, LACKLAND AFB TX	1	11814 	126576
