country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Antigua And Barbuda	CTFP - FY 2007 DoD Training	MTT REGIONAL PORT SECURITY	US unit not specified in 2007-2008 report	Navy	1/8/2007	1/19/2007	DOMINICA (IN COUNTRY TRAINING)	2	664 	126578
Antigua And Barbuda	CTFP - FY 2007 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2007-2008 report	Army	12/4/2006	12/8/2006	MARSHALL CENTER	1	520 	126578
Antigua And Barbuda	CTFP - FY 2007 DoD Training		US unit not specified in 2007-2008 report					3	$1,184 	126578
Antigua And Barbuda	IMET-1 - FY 2007 DoS Training	ARNG PRE-RANGER COURSE	US unit not specified in 2007-2008 report	Army	6/23/2007	7/8/2007	ARNG WARRIOR TRNG CTR	1	4805 	126578
Antigua And Barbuda	IMET-1 - FY 2007 DoS Training	BOATSWAINS MATE A	US unit not specified in 2007-2008 report	Navy	7/16/2007	9/28/2007	COGARD TRAINING CENTER YORKTOWN VA	1	6143 	126578
Antigua And Barbuda	IMET-1 - FY 2007 DoS Training	DENTAL SPECIALIST	US unit not specified in 2007-2008 report	Army	5/16/2007	7/10/2007	ARMY MEDICAL DEPARTMENT CENTER & SCHOOL	1	9066 	126578
Antigua And Barbuda	IMET-1 - FY 2007 DoS Training	ELECTRICIANS MATE A	US unit not specified in 2007-2008 report	Navy	5/21/2007	9/28/2007	COGARD TRAINING CENTER YORKTOWN VA	1	7483 	126578
Antigua And Barbuda	IMET-1 - FY 2007 DoS Training	HEAVY CONST EQUIP OPR	US unit not specified in 2007-2008 report	Army	9/18/2006	11/8/2006	MANSCEN ARMY TRAINING CENTER	1	5187 	126578
Antigua And Barbuda	IMET-1 - FY 2007 DoS Training	INFANTRY BASIC OFFICER LDR	US unit not specified in 2007-2008 report	Army	11/27/2006	3/13/2007	INFANTRY SCHOOL	1	12385 	126578
Antigua And Barbuda	IMET-1 - FY 2007 DoS Training	LEGAL ASPECTS CMBTERRORISM	US unit not specified in 2007-2008 report	Navy	12/4/2006	12/15/2006	NEWPORT, RI	1	9431 	126578
Antigua And Barbuda	IMET-1 - FY 2007 DoS Training	MACHINERY TECHNICIAN A	US unit not specified in 2007-2008 report	Navy	7/31/2006	10/21/2006	COGARD TRAINING CENTER YORKTOWN VA	1	7989 	126578
Antigua And Barbuda	IMET-1 - FY 2007 DoS Training	OJT TECHNICAL ENLISTED	US unit not specified in 2007-2008 report	Navy	10/23/2006	10/27/2006	COGARD TRAINING CENTER YORKTOWN VA	1	1150 	126578
