country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Angola	IMET-1 - FY 2008 DoS Training	AIR COMD & STAFF COLLEGE	US unit not specified in 2008-2009 report	Department of Weapons and Technical	8/8/2007	6/9/2008	MAXWELL AFB, AL	1	44218 	152766
Angola	IMET-1 - FY 2008 DoS Training	AIRBORNE	US unit not specified in 2008-2009 report	Special Forces, 8th Military Region	10/9/2007	10/26/2007	INFANTRY SCHOOL	1	3378 	152766
Angola	IMET-1 - FY 2008 DoS Training	INFANTRY BASIC OFFICER LEADER	US unit not specified in 2008-2009 report	Special Forces, 8th Military Region	7/2/2007	10/2/2007	INFANTRY SCHOOL	1	10331 	152766
Angola	IMET-1 - FY 2008 DoS Training	LANGUAGE INSTRUCTOR	US unit not specified in 2008-2009 report	Chief of the General Staff	5/28/2007	11/30/2007	DLIELC, LACKLAND AFB TX	1	20588 	152766
Angola	IMET-1 - FY 2008 DoS Training	LANGUAGE INSTRUCTOR	US unit not specified in 2008-2009 report	Chief of the General Staff	5/28/2007	11/30/2007	DLIELC, LACKLAND AFB TX	1	16597 	152766
Angola	IMET-1 - FY 2008 DoS Training	FY 2008 Program Totals	US unit not specified in 2008-2009 report					5	$95,112 	152766
Angola	Regional Centers - FY 2008 DoD Training	African Defense Attaché Seminar	US unit not specified in 2008-2009 report	Embassy of Angola	11/13/2007	11/21/2007	Washington, DC	1	1288 	152766
Angola	Regional Centers - FY 2008 DoD Training	Senior Leaders Seminar	US unit not specified in 2008-2009 report	Ministry of Defense	6/29/2008	7/11/2008	Washington, DC	2	32050 	152766
Angola	Regional Centers - FY 2008 DoD Training	FY 2008 Program Totals	US unit not specified in 2008-2009 report					3	$33,338 	152766
Benin	CTFP - FY 2008 DoD Training	REGIONAL DIILS - MET	US unit not specified in 2008-2009 report	GROUND FORCES	3/31/2008	4/4/2008	GUINEA (IN COUNTRY TRAINING)	1	2875 	152766
Benin	CTFP - FY 2008 DoD Training	REGIONAL DIILS - MET	US unit not specified in 2008-2009 report	CIVILIAN	3/31/2008	4/4/2008	GUINEA (IN COUNTRY TRAINING)	1	2875 	152766
Benin	CTFP - FY 2008 DoD Training	FY 2008 Program Totals	US unit not specified in 2008-2009 report					2	$5,750 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin CAX Cadre Training	US unit not specified in 2008-2009 report	N/A	3/10/2008	3/21/2008	Ouidah	24	56230 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin CAX TtT	US unit not specified in 2008-2009 report	N/A	9/8/2008	9/18/2008	Benbereke	17	54356 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin Field Medical Training	US unit not specified in 2008-2009 report	N/A	4/28/2008	5/10/2008	Cotonou	20	159500 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin PSO Company Grade Officer Training	US unit not specified in 2008-2009 report	N/A	4/28/2008	5/9/2008	Boacan	8	43760 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin PSO Company Grade Officer Training	US unit not specified in 2008-2009 report	BenBatt 10	9/1/2008	9/12/2008	Benbereke	16	32070 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin PSO Mechanized Operations Training	US unit not specified in 2008-2009 report	N/A	5/25/2008	6/6/2008	Benbereke	118	47148 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin PSO NCO Leadership Training	US unit not specified in 2008-2009 report	N/A	4/28/2008	5/9/2008	Boacan	28	39648 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin PSO NCO Leadership Training	US unit not specified in 2008-2009 report	BenBatt 10	9/1/2008	9/12/2008	Benbereke	34	31887 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin PSOSST	US unit not specified in 2008-2009 report	N/A	10/15/2007	11/2/2007	Cana	582	139836 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin PSOSST	US unit not specified in 2008-2009 report	N/A	3/17/2008	4/11/2008	Boacan	241	412042 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin PSOSST	US unit not specified in 2008-2009 report	N/A	5/19/2008	6/6/2008	Boacan	296	412014 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin TPMD/CSOS/CPX/CAX	US unit not specified in 2008-2009 report	N/A	4/23/2008	5/23/2008	Porto Novo	32	444640 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin TPMD/CSOS/CPX/CAX	US unit not specified in 2008-2009 report	BenBatt 10	8/27/2008	9/26/2008	Benbereke	10	195610 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Benin Training Planning Management and Development (TPMD), CSOS/CPX/CAX	US unit not specified in 2008-2009 report	N/A	3/3/2008	4/3/2008	Boacan	66	230887 	152766
Benin	GPOI - FY 2008 DoS Training	ACOTA Ghana PSOSST	US unit not specified in 2008-2009 report	N/A	3/24/2008	4/11/2008	Bundase	246	81404 	152766
Benin	GPOI - FY 2008 DoS Training	FY 2008 Program Totals	US unit not specified in 2008-2009 report					1738	$2,381,032 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	GROUND FORCES	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	OPERATIONS DIVISION	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	MINISTRY OF FOREIGN AFFAIRS	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	MINISTRY OF FOREIGN AFFAIRS	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	HIGH AUTHORITY OF AUDIOVISUAL AND COMMUNICATION	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	1ST BALLATION IN CHARGE OF NATERIALS	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	MINISTRY OF FOREIGN AFFAIRS	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	NATIONAL GENDARMERIE	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	NATIONAL GENDARMERIE	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	EMPLOYMENT AND TRAINING DIVISION	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	GROUND FORCES	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	MINITRY OF FOREIGN AFFAIRS	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	46698 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	1ST MILITARY ENGINEER BATTALION	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	RADIO TELEVISION JOURNALIST	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	MINISTRY OFFOREIGN AFFAIRS	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	OPERATIONS DIVISION	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	INTERNATIONAL ORGANAZATIONS DIVISION	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	EMPLOYMENT AND TRAINING DIVISION	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
Benin	IMET-1 - FY 2008 DoS Training	DIILS SEMINARS - MET	US unit not specified in 2008-2009 report	MINISTRY OF NATIONAL DEFENSE	7/28/2008	8/2/2008	BENIN (IN COUNTRY TRAINING)	1	0 	152766
