country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Brunei	GPOI - FY 2008 DoS Training	Pirap Jabiru CPX	US unit not specified in 2008-2009 report	N/A	8/20/2008	8/29/2008	UN Economic and Social Committee for Asia/Pacific Conference Center, Bangkok, Thailand	2	998 	152767
Brunei	GPOI - FY 2008 DoS Training	Pre-Deployment Training	US unit not specified in 2008-2009 report	N/A	8/25/2008	8/29/2008	Malaysian PTC, Port Dickson, Malaysia	7	7945 	152767
Brunei	GPOI - FY 2008 DoS Training	Shanti Doot 2 CPX	US unit not specified in 2008-2009 report	N/A	4/1/2008	4/11/2008	Dhaka Cantonment Area, Dhaka, Bangladesh	2	17766 	152767
Brunei	GPOI - FY 2008 DoS Training	Shanti Doot 2 FTX	US unit not specified in 2008-2009 report	N/A	4/1/2008	4/20/2008	BIPSOT, Rajendrapur, Bangladesh	31	275381 	152767
Brunei	GPOI - FY 2008 DoS Training	UN Logistics Officer Course	US unit not specified in 2008-2009 report	N/A	7/7/2008	7/25/2008	Malaysian PTC, Port Dickson, Malaysia	1	1135 	152767
Brunei	GPOI - FY 2008 DoS Training	UN Military Observers Course	US unit not specified in 2008-2009 report	N/A	6/9/2008	6/27/2008	Malaysian PTC, Port Dickson, Malaysia	1	1135 	152767
Brunei	GPOI - FY 2008 DoS Training	UN Peace Support Operations Instructors Course	US unit not specified in 2008-2009 report	N/A	10/29/2007	11/9/2007	Malaysian PTC, Port Dickson, Malaysia	2	2270 	152767
Brunei	GPOI - FY 2008 DoS Training	UN Peace Support Operations Instructors Course	US unit not specified in 2008-2009 report	N/A	2/11/2008	2/22/2008	Malaysian PTC, Port Dickson, Malaysia	1	1135 	152767
Brunei	GPOI - FY 2008 DoS Training	UN Peace Support Operations Instructors Course	US unit not specified in 2008-2009 report	N/A	8/11/2008	8/22/2008	Malaysian PTC, Port Dickson, Malaysia	2	2270 	152767
Brunei	GPOI - FY 2008 DoS Training	UN Staff Officer Course	US unit not specified in 2008-2009 report	N/A	12/3/2007	12/14/2007	Malaysian PTC, Port Dickson, Malaysia	1	1135 	152767
Brunei	GPOI - FY 2008 DoS Training	UN Staff Officer Course	US unit not specified in 2008-2009 report	N/A	3/24/2008	4/4/2008	Malaysian PTC, Port Dickson, Malaysia	1	1135 	152767
Brunei	GPOI - FY 2008 DoS Training	FY 2008 Program Totals	US unit not specified in 2008-2009 report					51	$312,305 	152767
Brunei	Regional Centers - FY 2008 DoD Training	Comprehensive Crisis Management CCM08-1	US unit not specified in 2008-2009 report	Ministry of Defense	1/23/2008	2/22/2008	Asia-Pacific Center for Security Studies, Honolulu, Hawaii	1	0 	152767
Brunei	Regional Centers - FY 2008 DoD Training	Comprehensive Crisis Management CCM08-1	US unit not specified in 2008-2009 report	Minister of Home Affairs	1/23/2008	2/22/2008	Asia-Pacific Center for Security Studies, Honolulu, Hawaii	1	0 	152767
Brunei	Regional Centers - FY 2008 DoD Training	Comprehensive Crisis Management CCM08-2	US unit not specified in 2008-2009 report	Royal Brunei Armed Forces	5/29/2008	6/27/2008	Asia-Pacific Center for Security Studies, Honolulu, Hawaii	1	0 	152767
Brunei	Regional Centers - FY 2008 DoD Training	Comprehensive Security Responses to Terrorism Course CS08-1	US unit not specified in 2008-2009 report	Internal Security Department	3/5/2008	3/27/2008	Asia-Pacific Center for Security Studies, Honolulu, Hawaii	1	0 	152767
Brunei	Regional Centers - FY 2008 DoD Training	Executive Course EC07-2	US unit not specified in 2008-2009 report	Ministry of Defense	10/16/2007	12/5/2007	Asia-Pacific Center for Security Studies, Honolulu, Hawaii	1	0 	152767
Brunei	Regional Centers - FY 2008 DoD Training	Executive Course EC07-2	US unit not specified in 2008-2009 report	Ministry of Defence	10/16/2007	12/5/2007	Asia-Pacific Center for Security Studies, Honolulu, Hawaii	1	0 	152767
Brunei	Regional Centers - FY 2008 DoD Training	Managing Borders in the Maritime Domain OR08-04	US unit not specified in 2008-2009 report	Ministry of Defense	6/3/2008	6/11/2008	Kuala Lumpur, Malaysia	1	1200 	152767
Brunei	Regional Centers - FY 2008 DoD Training	Senior Executive Course SE08-2	US unit not specified in 2008-2009 report	Ministry of Defense	6/16/2008	6/20/2008	Asia-Pacific Center for Security Studies, Honolulu, Hawaii	1	5300 	152767
Brunei	Regional Centers - FY 2008 DoD Training	FY 2008 Program Totals	US unit not specified in 2008-2009 report					8	$6,500 	152767
Cambodia	CTFP - FY 2008 DoD Training	CT - LEGAL ASPECTS - MTT	US unit not specified in 2008-2009 report	Army	8/17/2008	8/23/2008	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	1	0 	152767
Cambodia	CTFP - FY 2008 DoD Training	CT - LEGAL ASPECTS - MTT	US unit not specified in 2008-2009 report	Army	8/17/2008	8/23/2008	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	1	0 	152767
Cambodia	CTFP - FY 2008 DoD Training	CT - LEGAL ASPECTS - MTT	US unit not specified in 2008-2009 report	Army	8/17/2008	8/23/2008	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	1	0 	152767
Cambodia	CTFP - FY 2008 DoD Training	CT - LEGAL ASPECTS - MTT	US unit not specified in 2008-2009 report	Army	8/17/2008	8/23/2008	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	1	0 	152767
Cambodia	CTFP - FY 2008 DoD Training	CT - LEGAL ASPECTS - MTT	US unit not specified in 2008-2009 report	Navy	8/17/2008	8/23/2008	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	1	0 	152767
Cambodia	CTFP - FY 2008 DoD Training	CT - LEGAL ASPECTS - MTT	US unit not specified in 2008-2009 report	Army	8/17/2008	8/23/2008	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	1	0 	152767
Cambodia	CTFP - FY 2008 DoD Training	CT - LEGAL ASPECTS - MTT	US unit not specified in 2008-2009 report	Navy	8/17/2008	8/23/2008	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	1	0 	152767
Cambodia	CTFP - FY 2008 DoD Training	CT - LEGAL ASPECTS - MTT	US unit not specified in 2008-2009 report	Army	8/17/2008	8/23/2008	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	1	0 	152767
Cambodia	CTFP - FY 2008 DoD Training	CT - LEGAL ASPECTS - MTT	US unit not specified in 2008-2009 report	Navy	8/17/2008	8/23/2008	KAMPUCHEA (CAMBODIA) (IN COUNTRY TRAINING)	1	0 	152767
