country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Afghanistan	ALP - FY 2008 DoD Training	GENERAL ENGLISH LANG TRAINING	US unit not specified in 2008-2009 report	Air Corps	8/13/2007	12/14/2007	DLIELC, LACKLAND AFB TX	1	6192 	152773
Afghanistan	ALP - FY 2008 DoD Training	INTRO FLT TRAINING	US unit not specified in 2008-2009 report	Air Corps	5/12/2008	7/18/2008	COLOMBUS AFB MS	1	6023 	152773
Afghanistan	ALP - FY 2008 DoD Training	ORAL PROF AV ALP SCHLRSHP	US unit not specified in 2008-2009 report	Air Corps	12/17/2007	5/2/2008	DLIELC, LACKLAND AFB TX	1	7420 	152773
Afghanistan	ALP - FY 2008 DoD Training	FY 2008 Program Totals	US unit not specified in 2008-2009 report					3	$19,635 	152773
Afghanistan	CTFP - FY 2008 DoD Training	AMERICAN LANGUAGE COURSE	US unit not specified in 2008-2009 report	Office of National Security Council	2/4/2008	4/18/2008	DLIELC, LACKLAND AFB TX	1	14911 	152773
Afghanistan	CTFP - FY 2008 DoD Training	CIV-MIL RESPONSE TO TERRORISM	US unit not specified in 2008-2009 report	Office of National Security Council	4/21/2008	5/2/2008	CIVIL-MILITARY RELATIONS NPS CENTER FOR MONTEREY CA	1	8261 	152773
Afghanistan	CTFP - FY 2008 DoD Training	COMBATING TERRORISM LANGUAGE PROGRAM	US unit not specified in 2008-2009 report	ONSC	11/5/2007	12/14/2007	MARSHALL CENTER	1	6783 	152773
Afghanistan	CTFP - FY 2008 DoD Training	COMBATING TERRORISM LANGUAGE PROGRAM	US unit not specified in 2008-2009 report	ONSC	11/5/2007	12/14/2007	MARSHALL CENTER	1	6783 	152773
Afghanistan	CTFP - FY 2008 DoD Training	COUNTERTERRORISM FELLOWSHIP PROGRAM	US unit not specified in 2008-2009 report	National Security Council	10/1/2007	6/12/2008	NATIONAL DEFENSE UNIVERSITY	1	70517 	152773
Afghanistan	CTFP - FY 2008 DoD Training	ENGLISH LANGUAGE COURSEE	US unit not specified in 2008-2009 report	OFFICE OF THE PRESIDENT	2/25/2008	7/18/2008	DLIELC, LACKLAND AFB TX	1	25660 	152773
Afghanistan	CTFP - FY 2008 DoD Training	ENGLISH LANGUAGE COURSEE	US unit not specified in 2008-2009 report	MoD IG	4/21/2008	6/20/2008	DLIELC, LACKLAND AFB TX	1	14554 	152773
Afghanistan	CTFP - FY 2008 DoD Training	GENERAL ENGLISH LANG TRAINING	US unit not specified in 2008-2009 report	205TH CORPS	2/4/2008	5/2/2008	DLIELC, LACKLAND AFB TX	1	12797 	152773
Afghanistan	CTFP - FY 2008 DoD Training	INTERNATIONAL FELLOWS ORIENTATION	US unit not specified in 2008-2009 report	MoD IG	6/23/2008	8/1/2008	ARMY WAR COLLEGE	1	13650 	152773
Afghanistan	CTFP - FY 2008 DoD Training	MID-LEVEL COMBATING TERRORISM EXECUTIVE SEMINAR	US unit not specified in 2008-2009 report	MOD	12/5/2007	12/19/2007	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	1 	152773
Afghanistan	CTFP - FY 2008 DoD Training	MID-LEVEL COMBATING TERRORISM EXECUTIVE SEMINAR	US unit not specified in 2008-2009 report	MOD	12/5/2007	12/19/2007	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	1 	152773
Afghanistan	CTFP - FY 2008 DoD Training	PROGRAM ON TERRORISM SECURITY STUDIES	US unit not specified in 2008-2009 report	ONSC	1/18/2008	2/22/2008	MARSHALL CENTER	1	7900 	152773
Afghanistan	CTFP - FY 2008 DoD Training	PROGRAM ON TERRORISM SECURITY STUDIES	US unit not specified in 2008-2009 report	MoD	1/18/2008	2/22/2008	MARSHALL CENTER	1	7900 	152773
Afghanistan	CTFP - FY 2008 DoD Training	PROGRAM ON TERRORISM SECURITY STUDIES	US unit not specified in 2008-2009 report	ONSC	1/18/2008	2/22/2008	MARSHALL CENTER	1	7900 	152773
Afghanistan	CTFP - FY 2008 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2008-2009 report	MoD	4/7/2008	4/17/2008	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	14000 	152773
Afghanistan	CTFP - FY 2008 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2008-2009 report	MoD	4/7/2008	4/17/2008	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	14000 	152773
Afghanistan	CTFP - FY 2008 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2008-2009 report	Ministry of Interior	4/7/2008	4/17/2008	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	14000 	152773
Afghanistan	CTFP - FY 2008 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2008-2009 report	MoD	4/7/2008	4/17/2008	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	14000 	152773
Afghanistan	CTFP - FY 2008 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2008-2009 report	Ministry of Interior	4/7/2008	4/17/2008	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	14000 	152773
Afghanistan	CTFP - FY 2008 DoD Training	REGIONAL CENTERS SEMINARS	US unit not specified in 2008-2009 report	MoD	4/7/2008	4/17/2008	NEAR E-S ASIA CTR FOR SECURITY STUDIES (NDU)	1	14000 	152773
Afghanistan	CTFP - FY 2008 DoD Training	SPEC/OPS COMBTNG TERRORISM	US unit not specified in 2008-2009 report	205TH CORPS	5/5/2008	5/16/2008	HURLBURT FIELD, FL	1	10421 	152773
Afghanistan	CTFP - FY 2008 DoD Training	FY 2008 Program Totals	US unit not specified in 2008-2009 report					21	$292,039 	152773
Afghanistan	FMF - FY 2008 DoS Training	CHAPLAIN BASIC OFFICER LEADER	US unit not specified in 2008-2009 report	RELIGIOUS AND CULTURAL AFFAIRS	7/7/2008	9/5/2008	CHAPLAIN SCHOOL	1	8551 	152773
Afghanistan	FMF - FY 2008 DoS Training	CHAPLAIN INITIAL MILITARY TRAINING	US unit not specified in 2008-2009 report	RELIGIOUS AND CULTURAL AFFAIRS	6/9/2008	7/3/2008	CHAPLAIN SCHOOL	1	4321 	152773
Afghanistan	FMF - FY 2008 DoS Training	DLI ENGLISH LANGUAGE TECH	US unit not specified in 2008-2009 report	Air Force	10/1/2007	11/1/2007	AFGHANISTAN (IN COUNTRY TRAINING)	4	17213 	152773
Afghanistan	FMF - FY 2008 DoS Training	DLI ENGLISH LANGUAGE TECH	US unit not specified in 2008-2009 report	Air Force	10/7/2007	6/13/2008	AFGHANISTAN (IN COUNTRY TRAINING)	2	133055 	152773
Afghanistan	FMF - FY 2008 DoS Training	DLI ENGLISH LANGUAGE TECH	US unit not specified in 2008-2009 report	Air Force	3/7/2008	6/8/2008	AFGHANISTAN (IN COUNTRY TRAINING)	2	41778 	152773
Afghanistan	FMF - FY 2008 DoS Training	DLI ENGLISH LANGUAGE TECH	US unit not specified in 2008-2009 report	Air Force	4/25/2008	9/30/2008	AFGHANISTAN (IN COUNTRY TRAINING)	2	102187 	152773
Afghanistan	FMF - FY 2008 DoS Training	DLI ENGLISH LANGUAGE TECH	US unit not specified in 2008-2009 report	Air Force	6/14/2008	9/16/2008	AFGHANISTAN (IN COUNTRY TRAINING)	2	39774 	152773
Afghanistan	FMF - FY 2008 DoS Training	DLI ENGLISH LANGUAGE TECH	US unit not specified in 2008-2009 report	Air Force	7/14/2008	9/30/2008	AFGHANISTAN (IN COUNTRY TRAINING)	2	33549 	152773
Afghanistan	FMF - FY 2008 DoS Training	ENGLISH LANGUAGE COURSEE	US unit not specified in 2008-2009 report	MOD	1/29/2007	11/16/2007	DLIELC, LACKLAND AFB TX	1	31984 	152773
Afghanistan	FMF - FY 2008 DoS Training	ENGLISH LANGUAGE COURSEE	US unit not specified in 2008-2009 report	RELIGIOUS AND CULTURAL AFFAIRS	4/21/2008	5/30/2008	DLIELC, LACKLAND AFB TX	1	8420 	152773
Afghanistan	FMF - FY 2008 DoS Training	ENGLISH LANGUAGE COURSEE	US unit not specified in 2008-2009 report	MoD	5/19/2008	7/25/2008	DLIELC, LACKLAND AFB TX	1	11316 	152773
Afghanistan	FMF - FY 2008 DoS Training	INTERMEDIATE LEVEL EDUCATION	US unit not specified in 2008-2009 report	3/2/203 Corps	2/13/2007	12/15/2007	COMMAND & GENERAL STAFF COLLEGE	1	43594 	152773
Afghanistan	FMF - FY 2008 DoS Training	ORDNANCE BASIC OFFICER LEADER	US unit not specified in 2008-2009 report	MOD	8/27/2007	12/5/2007	ORDNANCE MECHANICAL MAINTENANCE SCHOOL	1	16623 	152773
Afghanistan	FMF - FY 2008 DoS Training	ORDNANCE BASIC OFFICER LEADER	US unit not specified in 2008-2009 report	MOD	11/30/2007	3/21/2008	ORDNANCE MECHANICAL MAINTENANCE SCHOOL	1	18137 	152773
Afghanistan	FMF - FY 2008 DoS Training	FY 2008 Program Totals	US unit not specified in 2008-2009 report					22	$510,502 	152773
