country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Yugoslavia	DoS Europe Region, Yugoslavia, Marshall Center, FY01	Conferences	N/A	Montenegro & Serbian Attendance	11/11/00	9/28/01	5 Various		$4,253	10967
Algeria	DoS Near East Region, Algeria, Near East South Asia Center, FY01	Executive Seminar ES 01-01		Air Force (Open to all branches)	5/7/01	5/25/01	1 NESA Center		$0	10967
Algeria	DoS Near East Region, Algeria, Near East South Asia Center, FY01	Inaugural Seminar		Air Force (Open to all branches)	10/31/00	11/2/00	1 National Defense University		$0	10967
Algeria	DoS Near East Region, Algeria, Near East South Asia Center, FY01	Senior Executive Seminar		Air Force (Open to all branches)	7/23/01	7/27/01	1 NESA Center		$10,559	10967
Algeria	DoS Near East Region, Algeria, International Military Education and Training (IMET), FY01	AMERICAN LANGUAGE COURSE		HQ, Ministry of Defense	1/29/01	3/30/01	1 LACKLAND AFB, TX 78236		$2,270	10967
Algeria	DoS Near East Region, Algeria, International Military Education and Training (IMET), FY01	AMERICAN LANGUAGE COURSE		HQ, Ministry of Defense	1/29/01	3/30/01	1 LACKLAND AFB, TX 78236		$2,270	10967
Algeria	DoS Near East Region, Algeria, International Military Education and Training (IMET), FY01	AMERICAN LANGUAGE CRS		Ministry of Defense - Army	4/9/01	9/21/01	1 LACKLAND AFB, TX 78236-5259		$2,973	10967
Algeria	DoS Near East Region, Algeria, International Military Education and Training (IMET), FY01	AMERICAN LANGUAGE CRS		HQ, Ministry of Defense	12/26/00	6/7/01	1 LACKLAND AFB, TX 78236-5259		$5,945	10967
Algeria	DoS Near East Region, Algeria, International Military Education and Training (IMET), FY01	AMERICAN LANGUAGE CRS		HQ, Ministry of Defense	11/6/00	1/11/01	1 LACKLAND AFB, TX 78236-5259		$2,515	10967
Algeria	DoS Near East Region, Algeria, International Military Education and Training (IMET), FY01	COMB STRAT INTEL TNG PRGM		Air Force	1/16/01	3/2/01	1 WASHINGTON DC 20340-5100		$3,080	10967
Algeria	DoS Near East Region, Algeria, International Military Education and Training (IMET), FY01	CRISIS CMD/CTRL - SR MGRS		HQ, Ministry of Defense	6/11/01	6/22/01	1 YORKTOWN, VA 23690-5000		$1,909	10967
