country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Armenia	DoS NIS Region, Armenia, Marshall Center, FY01	Conferences	N/A	Multi Service Attendance	11/11/00	9/28/01	9 Various		$15,535	10968
Armenia	DoS NIS Region, Armenia, Marshall Center, FY01	Resident Courses	N/A	N/A	10/1/00	9/30/01	13 Marshall Center Garmish GE		$329,000	10968
Azerbaijan	DoS NIS Region, Azerbaijan, DoT/USCG Activities, FY01	MTT PORT SECURITY, VUL ASM		Navy	10/21/00	10/28/00	23 Azerbaijan		$0	10968
Azerbaijan	DoS NIS Region, Azerbaijan, DoT/USCG Activities, FY01	MTT SMALL BOAT OPS CG11		Navy	7/20/01	8/4/01	30 Azerbaijan		$0	10968
Azerbaijan	DoS NIS Region, Azerbaijan, DoT/USCG Activities, FY01	MTT SMALL BOAT OPS CG11		Navy	6/11/01	6/22/01	30 Azerbaijan		$0	10968
Azerbaijan	DoS NIS Region, Azerbaijan, Marshall Center, FY01	Conferences	N/A	Multi Service Attendance	11/11/00	9/28/01	52 Various		$132,227	10968
Azerbaijan	DoS NIS Region, Azerbaijan, Marshall Center, FY01	Resident Courses	N/A	N/A	10/1/00	9/30/01	15 Marshall Center Garmish GE		$381,000	10968
Belarus	DoS NIS Region, Belarus, Marshall Center, FY01	Conferences	N/A	Multi Service Attendance	11/11/00	9/28/01	15 Various		$32,000	10968
Belarus	DoS NIS Region, Belarus, Marshall Center, FY01	Resident Courses	N/A	N/A	10/1/00	9/30/01	8 Marshall Center Garmish GE		$208,000	10968
Georgia	DoS NIS Region, Georgia, Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	AMERICAN LANGUAGE CRS		Coast Guard, Poti base	1/29/01	9/20/01	1 LACKLAND AFB, TX 78236-5259		$8,346	10968
Georgia	DoS NIS Region, Georgia, Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	AMERICAN LANGUAGE CRS		Border Troops Academy	11/20/00	9/27/01	1 LACKLAND AFB, TX 78236-5259		$11,041	10968
Georgia	DoS NIS Region, Georgia, Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	JCET	NSWU-2, PC-5	GEORGIAN NAVAL INFANTRY	7/30/01	8/10/01	8 POTI		$29,000	10968
Georgia	DoS NIS Region, Georgia, Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	MTT ENG/LOG ADMIN TRNG		Georgian Border Guard	10/3/00	12/13/00	30 Georgia		$0	10968
