country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Afghanistan	DOD South Asia Region, Afghanistan, DoD Regional Centers for Strategic Studies, FY04	Conferences	N/A	Multiservice	10/1/2003	9/30/2004	Various	2	$0	45791
Afghanistan	DOD South Asia Region, Afghanistan, DoD Regional Centers for Strategic Studies, FY04	Executive Seminar 04-04		Foreign Ministry, Army, Navy, Air Force (open to all branches)	7/12/2004	7/30/2004	Near East South Asia Center (NESA)	2	$10,990	45791
Afghanistan	DOD South Asia Region, Afghanistan, DoD Regional Centers for Strategic Studies, FY04	Resident Course Training	N/A	Multiservice	6/25/2004	9/23/2004	Marshall Center, Garmisch, Germany	5	$33,027	45791
Afghanistan	DOD South Asia Region, Afghanistan, DoD Regional Centers for Strategic Studies, FY04	Senior Executive Seminar 0		Foreign Ministry, Army, Navy, Air Force (open to all branches)	8/23/2004	8/27/2004	Near East South Asia Center (NESA)	3	$8,158	45791
Afghanistan	DOS South Asia Region, Afghanistan, Foreign Military Financing (FMF), FY04	MTT-OTHER		Afghan National Army	1/19/2004	9/30/2004	FT BRAGG NC 28307-5000	360	$80,863	45791
Afghanistan	DOS South Asia Region, Afghanistan, Foreign Military Financing (FMF), FY04	TAT-TECH ASSIST TEAM		Afghan National Army	10/1/2003	9/30/2004	FT BRAGG NC 28307-5000	360	$263,176	45791
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET), FY04	COMMAND & GEN STAFF OFF		Afghan National Army	8/18/2003	6/18/2004	FT LEAVENWORTH KS 66027-1352	1	$48,557	45791
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET), FY04	DLI ENGLISH LANGUAGE TECH		Afghan National Army	6/18/2004	9/20/2004	VARIOUS	30	$15,712	45791
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET), FY04	DLI ENGLISH LANGUAGE TECH		Afghan National Army	6/18/2004	9/20/2004	VARIOUS	30	$7,868	45791
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET), FY04	DLI ENGLISH LANGUAGE TECH		Afghan National Army	6/18/2004	9/20/2004	VARIOUS	30	$0	45791
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET), FY04	DLI ENGLISH LANGUAGE TECH		Afghan National Army	6/18/2004	9/20/2004	VARIOUS	30	$25,194	45791
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET), FY04	ENGLISH LANGUAGE CRSE		Afghan National Army	9/8/2003	9/3/2004	SAN ANTONIO TX 78236-5259	1	$28,808	45791
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET), FY04	ENGLISH LANGUAGE CRSE		Afghan National Army	12/22/2003	1/25/2004	SAN ANTONIO TX 78236-5259	1	$5,238	45791
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET), FY04	ENGLISH LANGUAGE CRSE		Afghan National Army	9/1/2003	8/27/2004	SAN ANTONIO TX 78236-5259	1	$28,808	45791
Afghanistan	DOS South Asia Region, Afghanistan, International Military Education and Training (IMET), FY04	ENGLISH LANGUAGE CRSE		Afghan National Army	12/22/2003	7/9/2004	SAN ANTONIO TX 78236-5259	1	$19,622	45791
