country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	cost	source
Afghanistan	CTFP - FY 2006 DoD Training	AMERICAN LANGUAGE CRS (ALC)	-	Afghan National Army (ANA)	10/3/2005	2/3/2006	LACKLAND AFB, TX	1	11519	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	AMERICAN LANGUAGE CRS (ALC)	-	Afghan National Army (ANA)	5/29/2006	9/8/2006	LACKLAND AFB, TX	1	12596	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	AMERICAN LANGUAGE CRS (ALC)	-	Afghan National Army (ANA)	9/27/2006	9/30/2006	LACKLAND AFB, TX	1	2780	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	ARMY WAR COL (RES CRS)-CT	-	Afghan National Army (ANA)	8/7/2006	9/30/2006	CARLISE BARRACKS, PA	1	9618	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	CIV-MIL RESP TO TERRORISM	-	Afghan National Army (ANA)	9/11/2006	9/22/2006	MONTEREY, CA	1	7774	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	CNTRTERRORISM FELLOWS PRGM	-	Afghan National Army (ANA)	10/1/2005	4/21/2006	FORT MCNAIR, WASH DC	1	45224	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	ENGLISH LANGUAGE CRSE	-	Afghan National Army (ANA)	11/14/2005	12/30/2005	LACKLAND AFB, TX	1	2130	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	ENGLISH LANGUAGE CRSE	-	Afghan National Army (ANA)	2/13/2006	7/7/2006	LACKLAND AFB, TX	1	8325	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	ENGLISH LANGUAGE CRSE	-	Afghan National Army (ANA)	4/17/2006	6/23/2006	LACKLAND AFB, TX	1	3015	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	GENERAL ENGLISH ONLY	-	Afghan National Army (ANA)	12/5/2005	1/27/2006	LACKLAND AFB, TX	1	2425	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	INF CCC-CT CLS 003/06	-	Afghan National Army (ANA)	7/20/2006	9/30/2006	FORT BENNING, GA	1	3412	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	INFANTRY OFFICER BASIC	-	Afghan National Army (ANA)	1/9/2006	5/2/2006	FORT BENNING, GA	1	3409	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	INTL DEFENSE MGT CRS	-	Afghan National Army (ANA)	2/6/2006	4/19/2006	MONTEREY, CA	1	23138	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	INTL FELLOWS ORIENTATION	-	Afghan National Army (ANA)	7/3/2006	8/4/2006	CARLISE BARRACKS, PA	1	6729	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	INT'L OFF INTEL BASIC	-	Afghan National Army (ANA)	2/9/2006	5/2/2006	FORT HUACHUCA, AZ	1	6146	92088.htm
Afghanistan	CTFP - FY 2006 DoD Training	INT'L OFF PREP - INF OFF ADV	-	Afghan National Army (ANA)	7/10/2006	7/14/2006	FORT BENNING, GA	1	1999	92088.htm
