country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Combating Terrorism Language Program (CTLP)	MARSHALL CENTER	MoD	1/6/2012	2/9/2012	MARSHALL CENTER	1	$8,250 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Combating Terrorism Language Program (CTLP) 12-01	MC	Ministry of Defense	1/6/2012	2/9/2012	Garmisch-Partenkirchen, Germany	1	$8,706 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	NESA Executive Seminar 02-12	NESA	Ministry of Defense	4/24/2012	5/8/2012	Washington, DC, United States	1	$10,560 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Program in Advanced Security Studies (PASS) 12-05	MC	National Assembly	3/23/2012	5/31/2012	Garmisch-Partenkirchen, Germany	1	$11,291 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Program in Advanced Security Studies (PASS) 12-05	MC	Territories and population Protection Department	3/23/2012	5/31/2012	Garmisch-Partenkirchen, Germany	1	$11,275 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Program on Terrorism and Security Studies	MARSHALL CENTER	MoD	2/10/2012	3/16/2012	MARSHALL CENTER	1	$10,100 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Program on Terrorism and Security Studies (PTSS) 12-03	MC	Ministry of Defense	2/10/2012	3/16/2012	Garmisch-Partenkirchen, Germany	1	$9,430 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Senior Executive Seminar (SES)	MC	Ministry of Foreign Affairs	9/5/2012	9/13/2012	Garmisch-Partenkirchen, Germany	1	$5,180 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Senior Executive Seminar (SES)	MARSHALL CENTER	Ministry of Foreign Affairs	9/5/2012	9/13/2012	MARSHALL CENTER	1	$3,950 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Special OPS Combating Terrorism	Tampa Florida (JSOU - Joint Spec Ops University)	Intelligence Department of General Staff	5/7/2012	5/18/2012	DMCDJSFLTA	1	$11,484 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Special OPS Combating Terrorism	Tampa Florida (JSOU - Joint Spec Ops University)	CENTCOM	8/20/2012	8/31/2012	DMCDJSFLTA	1	$7,550 	213464
Armenia	CTFP - Fiscal Year 2012 Department of Defense Training	Fiscal Year 2012 Program Totals						11	$97,776 	213464
Armenia	FMF - Fiscal Year 2012 Department of State Training	Advanced Management PROG	INFORMATION RESOURCE MGMT COLLEGE	Defense Policy Department of MoD	1/23/2012	4/27/2012	INFORMATION RESOURCE MGMT COLLEGE	1	$45,053 	213464
