country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Antigua and Barbuda	CTFP - Fiscal Year 2013 Department of Defense Training	Caribbean Defense and Security Course	N/A	Antigua and Barbuda Defence Force	6/10/2013	6/21/2013	Washington, DC, United States	1	$2,054 	230219
Antigua and Barbuda	CTFP - Fiscal Year 2013 Department of Defense Training	Caribbean Defense and Security Course	N/A	Royal Police Force of Antigua and Barbuda	6/10/2013	6/21/2013	Washington, DC, United States	1	$2,054 	230219
Antigua and Barbuda	CTFP - Fiscal Year 2013 Department of Defense Training	Fiscal Year 2013 Program Totals						2	$4,108 	230219
Antigua and Barbuda	IMET-1 - Fiscal Year 2013 Department of State Training	Adjutant General Captains Career	ADJUTANT GENERAL SCHOOL	ANTIGUA AND BARBUDA DEFENCE FORCE	10/1/2012	3/5/2013	ADJUTANT GENERAL SCHOOL	1	$34,687 	230219
Antigua and Barbuda	IMET-1 - Fiscal Year 2013 Department of State Training	Intermediate Level EDUC	COMMAND & GENERAL STAFF COLLEGE	ANTIGUA AND BARBUDA DEFENCE FORCE	8/13/2012	6/14/2013	COMMAND & GENERAL STAFF COLLEGE	1	$65,258 	230219
Antigua and Barbuda	IMET-1 - Fiscal Year 2013 Department of State Training	International Boarding Officer Course	USCG MARITIME LAW ENFORCEMENT ACAD FLETC CHARLESTON	Antigua and Barbuda Coast Guard	8/5/2013	8/30/2013	USCG MARITIME LAW ENFORCEMENT ACAD FLETC CHARLESTON	1	$10,911 	230219
Antigua and Barbuda	IMET-1 - Fiscal Year 2013 Department of State Training	International Professional Advance Leadership (IPAL)	NETSAFA INTERNATIONAL TRAINING CENTER PENSACOLA FL	Antigua and Barbuda Coast Guard	10/15/2012	11/15/2012	NETSAFA INTERNATIONAL TRAINING CENTER PENSACOLA FL	1	$5,849 	230219
Antigua and Barbuda	IMET-1 - Fiscal Year 2013 Department of State Training	Machinery Technician A	COGARD TRAINING CENTER YORKTOWN VA	Antigua and Barbuda Coast Guard	2/19/2013	5/17/2013	COGARD TRAINING CENTER YORKTOWN VA	1	$7,837 	230219
Antigua and Barbuda	IMET-1 - Fiscal Year 2013 Department of State Training	Maneuver CCC IMSO PREP	USATC	Antigua and Barbuda Defence Force	8/5/2013	8/30/2013	USATC	1	$9,431 	230219
Antigua and Barbuda	IMET-1 - Fiscal Year 2013 Department of State Training	OJT Technical Enlisted	COGARD TRAINING CENTER YORKTOWN VA	Antigua and Barbuda Coast Guard	5/20/2013	5/31/2013	COGARD TRAINING CENTER YORKTOWN VA	1	$1,122 	230219
Antigua and Barbuda	IMET-1 - Fiscal Year 2013 Department of State Training	OJT Technical Enlisted	COGARD TRAINING CENTER YORKTOWN VA	Antigua and Barubda Coast Guard	8/5/2013	8/9/2013	COGARD TRAINING CENTER YORKTOWN VA	1	$4,833 	230219
