country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Afghanistan	ALP - Fiscal Year 2014 Department of Defense Training	ALC ALP Scholarship	DLIELC, Lackland AFB TX	Afghan Air Force, MOD	12/23/2013	1/10/2014	Lackland AFB, TX, US	1	$7,877 	243033
Afghanistan	ALP - Fiscal Year 2014 Department of Defense Training	Intro Flight Training/ALP	Columbus AFB MS	Ministry Of Defense	6/26/2013	10/23/2013	Columbus AFB, MS, US	1	$13,934 	243033
Afghanistan	ALP - Fiscal Year 2014 Department of Defense Training	Intro Flight Training/ALP	Columbus AFB MS	Afghan Air Force, MOD	4/8/2014	8/3/2014	Columbus AFB, MS, US	1	$10,387 	243033
Afghanistan	ALP - Fiscal Year 2014 Department of Defense Training	Oral Proficiency AV ALP Scholarship	DLIELC, Lackland AFB TX	Afghan Air Force, MOD	1/13/2014	4/4/2014	Lackland AFB, TX, US	1	$6,812 	243033
Afghanistan	ALP - Fiscal Year 2014 Department of Defense Training	Fiscal Year 2014 Program Totals						4	$39,010 	243033
Afghanistan	CTFP - Fiscal Year 2014 Department of Defense Training	Civil-Military Response To Terrorism	Center For Civil-Military Relations Monterey	MOD	9/1/2014	9/12/2014	Monterey, CA, US	1	$16,075 	243033
Afghanistan	CTFP - Fiscal Year 2014 Department of Defense Training	CTFP Homeland Defense Short Course	National Defense University	National Directorate Of Security	9/3/2013	12/13/2013	Ft. Mcnair, NDU, DC, US	1	$54,211 	243033
Afghanistan	CTFP - Fiscal Year 2014 Department of Defense Training	International Counterterrorism Fellows Program	National Defense University	National Directorate Of Security	8/21/2013	6/20/2014	Ft. Mcnair, NDU, DC, US	1	$158,675 	243033
Afghanistan	CTFP - Fiscal Year 2014 Department of Defense Training	International Counterterrorism Fellows Program	National Defense University	Office Of National Security Counsel	8/21/2013	6/20/2014	Ft. Mcnair, NDU, DC, US	1	$158,675 	243033
Afghanistan	CTFP - Fiscal Year 2014 Department of Defense Training	Program In Applied Security Studies	Marshall Center	National Derictorate Of Security	9/26/2013	12/6/2013	Garmisch, GY	1	$11,440 	243033
