country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Brunei	Regional Centers - Fiscal Year 2016 Department of Defense Training	Asia-Pacific Orientation Course	Daniel K. Inouye Asia-Pacific Center for Security Studies	Brunei Ministry of Defense	1/25/2016	1/29/2016	Honolulu, HI	1	$0 	275295
Brunei	Regional Centers - Fiscal Year 2016 Department of Defense Training	Asia-Pacific Orientation Course	Daniel K. Inouye Asia-Pacific Center for Security Studies	Dirrectorate of Defence Policy	1/25/2016	1/29/2016	Honolulu, HI	1	$0 	275295
Brunei	Regional Centers - Fiscal Year 2016 Department of Defense Training	Building Maritime Shared Awareness in Southeast Asia ll	Daniel K. Inouye Asia-Pacific Center for Security Studies	Brunei Ministry of Defense	5/16/2016	5/19/2016	Honolulu, HI	2	$2,616 	275295
Brunei	Regional Centers - Fiscal Year 2016 Department of Defense Training	CSC in Asia-Pacific:Next Steps Towards a Framework for Cooperation	Daniel K. Inouye Asia-Pacific Center for Security Studies	Royal Brunei Air Force	1/12/2016	1/14/2016	Honolulu, HI	2	$804 	275295
Brunei	Regional Centers - Fiscal Year 2016 Department of Defense Training	Fiscal Year 2016 Program Totals						6	$3,420 	275295
Burma	Regional Centers - Fiscal Year 2016 Department of Defense Training	Addressing Institutional Impediments to Inclusion in Security Sector	Daniel K. Inouye Asia-Pacific Center for Security Studies	Ministry of Home Affairs of Myanmar	8/23/2016	8/25/2016	Ulaanbaatar, Mongolia	1	$2,017 	275295
Burma	Regional Centers - Fiscal Year 2016 Department of Defense Training	Addressing Institutional Impediments to Inclusion in Security Sector	Daniel K. Inouye Asia-Pacific Center for Security Studies	Myanmar Ministry of Defense	8/23/2016	8/25/2016	Ulaanbaatar, Mongolia	1	$2,009 	275295
Burma	Regional Centers - Fiscal Year 2016 Department of Defense Training	Addressing Institutional Impediments to Inclusion in Security Sector	Daniel K. Inouye Asia-Pacific Center for Security Studies	Myanmar Police Force	8/23/2016	8/25/2016	Ulaanbaatar, Mongolia	1	$1,998 	275295
Burma	Regional Centers - Fiscal Year 2016 Department of Defense Training	Advanced Security Cooperation Course	Daniel K. Inouye Asia-Pacific Center for Security Studies	Ministry of Home Affairs of Myanmar	9/24/2015	10/29/2015	Honolulu, HI	1	$272 	275295
Burma	Regional Centers - Fiscal Year 2016 Department of Defense Training	Advanced Security Cooperation Course	Daniel K. Inouye Asia-Pacific Center for Security Studies	Myanmar Army	9/24/2015	10/29/2015	Honolulu, HI	2	$544 	275295
Burma	Regional Centers - Fiscal Year 2016 Department of Defense Training	Advanced Security Cooperation Course	Daniel K. Inouye Asia-Pacific Center for Security Studies	International Federation of Red Cross and Red Crescent Societies	3/31/2016	5/4/2016	Honolulu, HI	1	$552 	275295
Burma	Regional Centers - Fiscal Year 2016 Department of Defense Training	Advanced Security Cooperation Course	Daniel K. Inouye Asia-Pacific Center for Security Studies	Myanmar Army	3/31/2016	5/4/2016	Honolulu, HI	1	$552 	275295
